onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.113	8.5	Congruent	AttendLetter	n/a	0.588	1	1
41.928	8.5	Incongruent	AttendLetter	repeat	0.804	2	1
53.926	8.5	Congruent	AttendNumber	switch	0.585	1	1
67.124	8.5	Congruent	AttendNumber	repeat	1.797	1	1
80.322	8.5	Congruent	AttendLetter	switch	0.957	2	1
91.12	8.5	Congruent	AttendNumber	switch	2.038	2	1
103.118	8.5	Incongruent	AttendLetter	switch	0.739	2	1
116.316	8.5	Incongruent	AttendNumber	switch	0.608	2	1
127.114	8.5	Congruent	AttendLetter	switch	1.043	2	1
139.112	8.5	Congruent	AttendLetter	repeat	1.352	1	1
151.127	8.5	Congruent	AttendLetter	repeat	1.414	1	1
163.125	8.5	Congruent	AttendLetter	repeat	0.667	2	1
175.123	8.5	Congruent	AttendNumber	switch	1.217	2	1
185.922	8.5	Congruent	AttendNumber	repeat	1.3	2	1
196.72	8.5	Congruent	AttendNumber	repeat	0.663	1	1
209.918	8.5	Incongruent	AttendNumber	repeat	0.786	2	1
220.716	8.5	Incongruent	AttendLetter	switch	2.076	1	1
233.914	8.5	Incongruent	AttendNumber	switch	0.893	1	1
277.124	8.5	Congruent	AttendNumber	n/a	1.096	1	1
289.122	8.5	Incongruent	AttendLetter	switch	0.487	2	1
299.92	8.5	Congruent	AttendLetter	repeat	0.773	2	1
313.118	8.5	Incongruent	AttendNumber	switch	0.904	1	1
326.316	8.5	Congruent	AttendLetter	switch	1.115	1	1
338.314	8.5	Congruent	AttendLetter	repeat	0.608	2	1
350.312	8.5	Congruent	AttendNumber	switch	1.038	1	1
363.527	8.5	Congruent	AttendLetter	switch	1	1	1
374.325	8.5	Incongruent	AttendNumber	switch	1.185	1	0
385.123	8.5	Congruent	AttendLetter	switch	1.799	1	1
398.321	8.5	Incongruent	AttendLetter	repeat	0.912	2	0
410.319	8.5	Congruent	AttendNumber	switch	0.695	1	1
423.517	8.5	Incongruent	AttendNumber	repeat	0.614	1	1
436.715	8.5	Congruent	AttendNumber	repeat	1.504	2	1
447.513	8.5	Congruent	AttendNumber	repeat	0.874	1	1
458.312	8.5	Congruent	AttendLetter	switch	0.678	2	1
470.327	8.5	Incongruent	AttendNumber	switch	1.064	1	1
482.325	8.5	Congruent	AttendLetter	switch	1.724	2	1
523.118	8.5	Incongruent	AttendNumber	n/a	0.977	1	1
535.116	8.5	Congruent	AttendNumber	repeat	0.572	2	1
548.314	8.5	Congruent	AttendNumber	repeat	1.022	1	0
560.312	8.5	Congruent	AttendLetter	switch	1.979	1	1
573.527	8.5	Congruent	AttendNumber	switch	0.727	1	1
584.325	8.5	Congruent	AttendLetter	switch	0.969	2	1
595.123	8.5	Congruent	AttendLetter	repeat	0.799	2	1
608.321	8.5	Congruent	AttendNumber	switch	0.708	1	1
619.12	8.5	Congruent	AttendNumber	repeat	0.643	2	1
631.118	8.5	Incongruent	AttendLetter	switch	0.597	1	0
641.916	8.5	Incongruent	AttendLetter	repeat	0.956	2	1
655.114	8.5	Incongruent	AttendLetter	repeat	1.138	1	1
667.112	8.5	Incongruent	AttendLetter	repeat	0.926	2	1
677.927	8.5	Congruent	AttendNumber	switch	1.903	2	1
689.925	8.5	Congruent	AttendLetter	switch	1.226	2	1
700.723	8.5	Incongruent	AttendLetter	repeat	0.476	1	1
713.921	8.5	Incongruent	AttendNumber	switch	1.115	2	1
727.119	8.5	Congruent	AttendNumber	repeat	1.12	1	1
