onset	duration	trial_type	response_time	response_button	response_accuracy
30.609	5.3	AX	0.449	2	1
37.809	5.3	BY	0.39	1	1
46.209	5.3	Bng	n/a	n/a	1
53.409	5.3	AX	0.308	2	1
63.008	5.3	AX	0.365	2	1
70.208	5.3	Ang	n/a	n/a	1
78.608	5.3	BY	0.351	1	1
88.208	5.3	BY	0.334	1	1
96.608	5.3	AX	0.293	2	1
103.808	5.3	AX	0.399	2	1
113.407	5.3	BY	0.341	1	1
121.807	5.3	Bng	n/a	n/a	1
131.407	5.3	AY	0.471	1	1
139.807	5.3	BY	0.363	2	0
149.407	5.3	BX	0.312	1	1
156.607	5.3	AX	0.311	2	1
165.006	5.3	AX	0.327	2	1
173.406	5.3	BY	0.526	1	1
183.006	5.3	AY	0.422	1	1
190.206	5.3	BY	0.317	1	1
197.406	5.3	Ang	n/a	n/a	1
204.606	5.3	BY	0.358	1	1
214.205	5.3	BX	0.301	1	1
222.605	5.3	AX	0.259	2	1
262.204	5.3	BY	0.493	1	1
270.604	5.3	Bng	n/a	n/a	1
279.004	5.3	AX	0.265	2	1
286.204	5.3	BY	0.272	1	1
295.804	5.3	BY	0.31	1	1
305.403	5.3	AX	0.282	2	1
315.003	5.3	AY	0.435	1	1
323.403	5.3	AX	0.326	1	0
331.803	5.3	BX	0.328	1	1
341.403	5.3	BX	0.525	2	0
348.603	5.3	Ang	n/a	n/a	1
355.802	5.3	AX	0.398	2	1
363.002	5.3	BY	0.534	1	1
370.202	5.3	AX	0.407	2	1
378.602	5.3	AY	0.459	1	1
388.202	5.3	AX	0.281	2	1
396.602	5.3	BY	0.359	1	1
403.801	5.3	BY	0.393	1	1
412.201	5.3	Ang	n/a	n/a	1
421.801	5.3	BY	0.375	2	0
430.201	5.3	AX	0.342	2	1
439.801	5.3	BY	0.377	1	1
449.401	5.3	Bng	n/a	n/a	1
456.614	5.3	AX	0.275	2	1
493.813	5.3	AX	0.342	2	1
502.213	5.3	BY	0.324	1	1
510.613	5.3	AX	0.312	2	1
517.812	5.3	Bng	n/a	n/a	1
526.212	5.3	AX	0.338	2	1
535.812	5.3	BY	0.503	1	1
545.412	5.3	BX	0.319	1	1
555.012	5.3	BY	0.387	1	1
562.212	5.3	AX	0.324	2	1
571.811	5.3	BY	0.324	1	1
579.011	5.3	BY	0.401	1	1
586.211	5.3	Ang	n/a	n/a	1
594.611	5.3	AY	0.375	1	1
603.011	5.3	AX	0.453	2	1
612.611	5.3	BX	0.454	2	0
619.81	5.3	Ang	n/a	n/a	1
628.21	5.3	AX	0.49	2	1
635.41	5.3	AX	0.278	2	1
642.61	5.3	Bng	n/a	n/a	1
652.21	5.3	AX	0.301	2	1
661.81	5.3	BY	0.895	1	1
671.409	5.3	BY	0.365	1	1
679.809	5.3	AY	0.438	1	1
687.009	5.3	BY	0.372	1	1
