onset	duration	trial_type	response_time	response_button	response_accuracy
30.613	5.3	BY	0.422	1	1
37.812	5.3	BY	0.365	1	1
46.212	5.3	AY	0.404	1	1
55.812	5.3	BX	0.68	2	0
63.012	5.3	BY	0.423	1	1
72.612	5.3	AX	0.258	1	0
82.212	5.3	AY	0.414	1	1
89.411	5.3	BY	0.362	1	1
97.811	5.3	BY	0.387	1	1
106.211	5.3	BY	0.439	1	1
114.611	5.3	AX	0.348	1	0
121.811	5.3	AX	0.299	2	1
131.411	5.3	BY	0.382	1	1
139.81	5.3	AX	0.332	2	1
147.01	5.3	AX	0.64	1	0
155.41	5.3	BX	0.329	1	1
165.01	5.3	AX	0.382	2	1
174.61	5.3	BY	0.471	1	1
181.81	5.3	Ang	0.363	1	0
190.209	5.3	Ang	n/a	n/a	1
197.409	5.3	Bng	n/a	n/a	1
207.009	5.3	Bng	n/a	n/a	1
215.409	5.3	AX	0.427	2	1
225.009	5.3	AX	n/a	n/a	0
262.208	5.3	BY	0.425	1	1
270.608	5.3	BY	0.315	1	1
277.808	5.3	AX	0.588	1	0
286.207	5.3	BY	0.608	1	1
293.407	5.3	AY	0.689	1	1
303.007	5.3	AX	0.247	2	1
311.407	5.3	AX	0.322	2	1
318.607	5.3	BX	0.442	2	0
328.207	5.3	BX	0.507	1	1
336.606	5.3	AY	0.426	1	1
346.206	5.3	BY	0.308	1	1
355.806	5.3	BY	0.931	1	1
363.006	5.3	Ang	0.395	2	0
372.606	5.3	BY	0.636	1	1
381.005	5.3	AX	0.367	1	0
389.405	5.3	Ang	n/a	n/a	1
399.005	5.3	AX	0.321	2	1
406.205	5.3	Bng	n/a	n/a	1
413.405	5.3	AX	0.805	1	0
423.005	5.3	AX	0.686	1	0
432.604	5.3	AX	0.341	2	1
441.004	5.3	BY	0.595	1	1
448.204	5.3	Bng	n/a	n/a	1
456.604	5.3	BY	0.41	1	1
493.803	5.3	AY	0.41	1	1
501.003	5.3	AX	n/a	n/a	0
508.203	5.3	Bng	0.43	1	0
516.603	5.3	Ang	n/a	n/a	1
526.202	5.3	BY	0.371	1	1
533.402	5.3	AY	0.924	1	1
541.802	5.3	AX	0.324	1	0
550.202	5.3	BY	0.317	1	1
559.802	5.3	Ang	n/a	n/a	1
569.402	5.3	AX	0.298	2	1
577.801	5.3	BY	0.738	1	1
587.401	5.3	BX	0.555	1	1
594.601	5.3	BY	n/a	n/a	0
603.001	5.3	AX	0.291	2	1
612.601	5.3	BY	0.382	1	1
619.801	5.3	AX	n/a	n/a	0
627.014	5.3	Bng	n/a	n/a	1
636.614	5.3	AX	0.697	2	1
646.213	5.3	BX	0.306	2	0
653.413	5.3	BY	0.359	2	0
661.813	5.3	BY	0.42	2	0
669.013	5.3	AX	0.47	2	1
677.413	5.3	AX	0.501	2	1
685.813	5.3	BY	n/a	n/a	0
