onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.117	8.5	Congruent	AttendLetter	n/a	0.666	2	1
44.317	8.5	Congruent	AttendNumber	switch	0.784	1	0
55.117	8.5	Congruent	AttendLetter	switch	1.106	1	1
65.916	8.5	Congruent	AttendLetter	repeat	0.969	2	1
77.916	8.5	Congruent	AttendLetter	repeat	0.78	1	1
89.916	8.5	Congruent	AttendNumber	switch	0.764	1	1
103.116	8.5	Incongruent	AttendLetter	switch	0.555	1	1
113.915	8.5	Congruent	AttendNumber	switch	0.625	1	1
125.915	8.5	Congruent	AttendLetter	switch	0.484	2	1
139.115	8.5	Incongruent	AttendNumber	switch	0.727	1	1
149.915	8.5	Congruent	AttendLetter	switch	0.645	2	1
163.128	8.5	Congruent	AttendNumber	switch	0.6	1	1
175.128	8.5	Incongruent	AttendLetter	switch	0.69	1	1
188.327	8.5	Incongruent	AttendLetter	repeat	0.559	1	0
199.127	8.5	Incongruent	AttendNumber	switch	0.773	1	1
211.127	8.5	Congruent	AttendNumber	repeat	0.581	2	1
221.927	8.5	Incongruent	AttendNumber	repeat	0.652	1	1
233.926	8.5	Congruent	AttendNumber	repeat	0.539	1	1
277.125	8.5	Congruent	AttendNumber	n/a	0.537	1	1
289.125	8.5	Incongruent	AttendNumber	repeat	0.414	1	0
302.325	8.5	Incongruent	AttendNumber	repeat	0.729	2	1
313.125	8.5	Congruent	AttendNumber	repeat	0.671	2	1
326.324	8.5	Congruent	AttendLetter	switch	0.593	1	1
339.524	8.5	Congruent	AttendNumber	switch	0.638	2	1
350.324	8.5	Congruent	AttendLetter	switch	0.854	2	1
361.124	8.5	Incongruent	AttendLetter	repeat	0.677	2	1
373.123	8.5	Incongruent	AttendLetter	repeat	0.675	2	1
385.123	8.5	Congruent	AttendLetter	repeat	0.671	2	1
398.323	8.5	Congruent	AttendLetter	repeat	0.612	1	1
411.523	8.5	Congruent	AttendLetter	repeat	0.655	2	1
423.522	8.5	Incongruent	AttendNumber	switch	1.571	1	0
434.322	8.5	Incongruent	AttendLetter	switch	0.608	2	0
447.522	8.5	Congruent	AttendNumber	switch	0.673	1	1
458.322	8.5	Incongruent	AttendNumber	repeat	0.801	2	1
470.321	8.5	Congruent	AttendNumber	repeat	0.563	1	1
482.321	8.5	Congruent	AttendLetter	switch	1.203	2	0
523.12	8.5	Congruent	AttendLetter	n/a	0.478	1	1
533.92	8.5	Congruent	AttendLetter	repeat	0.822	2	1
547.12	8.5	Congruent	AttendNumber	switch	0.561	1	1
560.32	8.5	Congruent	AttendNumber	repeat	0.937	2	1
571.119	8.5	Incongruent	AttendNumber	repeat	1.045	1	0
583.119	8.5	Congruent	AttendLetter	switch	0.512	2	1
595.119	8.5	Congruent	AttendLetter	repeat	1.263	1	1
608.319	8.5	Congruent	AttendLetter	repeat	0.815	2	1
620.318	8.5	Incongruent	AttendNumber	switch	0.626	1	1
631.118	8.5	Congruent	AttendNumber	repeat	1.539	2	1
643.118	8.5	Incongruent	AttendNumber	repeat	1.748	2	1
653.918	8.5	Incongruent	AttendLetter	switch	1.095	1	1
667.117	8.5	Congruent	AttendNumber	switch	0.691	1	1
677.917	8.5	Incongruent	AttendLetter	switch	0.872	2	0
689.917	8.5	Congruent	AttendLetter	repeat	0.704	1	1
701.917	8.5	Congruent	AttendNumber	switch	1.536	1	1
715.116	8.5	Incongruent	AttendLetter	switch	0.799	1	0
725.916	8.5	Congruent	AttendNumber	switch	0.587	2	1
