onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.815	10.4	NP	5	0.725	2	1
45.215	10.4	NN	8	1.092	1	1
59.615	10.4	NN	8	0.734	1	1
72.828	10.4	NP	5	0.764	2	1
86.027	10.4	NN	6	0.74	1	1
100.427	10.4	NP	8	0.732	1	0
112.427	10.4	NN	5	0.713	1	1
125.627	10.4	NP	7	0.732	2	1
138.826	10.4	NN	5	0.704	1	1
153.226	10.4	NP	5	0.559	2	1
165.226	10.4	NP	7	0.523	2	1
178.426	10.4	NP	8	0.75	2	1
192.825	10.4	NN	7	0.61	1	1
204.825	10.4	NP	6	0.619	2	1
216.825	10.4	RN	5	0.756	1	1
258.824	10.4	NN	6	0.634	1	1
273.224	10.4	NN	8	0.591	1	1
285.223	10.4	NP	7	0.712	1	0
299.623	10.4	NP	7	0.797	1	0
311.623	10.4	NP	8	0.588	2	1
326.023	10.4	NP	5	0.985	2	1
339.222	10.4	NN	7	0.735	1	1
353.622	10.4	NP	5	0.774	2	1
366.822	10.4	NN	8	0.796	1	1
378.821	10.4	RN	5	0.796	1	1
390.821	10.4	NN	5	1.07	1	1
404.021	10.4	NP	8	0.75	1	0
418.421	10.4	NP	8	0.749	2	1
431.62	10.4	NP	5	0.51	2	1
444.82	10.4	NN	5	0.706	1	1
486.819	10.4	NN	5	0.684	1	1
498.819	10.4	NP	5	0.954	2	1
510.819	10.4	NP	8	0.708	2	1
524.019	10.4	RN	5	0.701	1	1
536.018	10.4	NN	8	0.908	2	0
549.218	10.4	NP	7	0.635	2	1
563.618	10.4	NP	8	0.584	2	1
575.617	10.4	NN	5	0.627	1	1
590.017	10.4	NP	6	0.564	2	1
604.417	10.4	RN	8	1.013	1	1
618.817	10.4	NP	5	0.695	2	1
632.016	10.4	NN	8	0.89	1	1
645.216	10.4	NP	5	0.653	2	1
658.416	10.4	NN	7	0.736	1	1
672.815	10.4	NN	7	0.671	1	1
