onset	duration	trial_type	response_time	response_button	response_accuracy
30.612	5.3	AX	0.493	2	1
40.212	5.3	AX	0.471	2	1
47.412	5.3	Bng	n/a	n/a	1
55.825	5.3	BY	0.785	1	1
63.025	5.3	AX	0.637	2	1
72.625	5.3	AY	0.632	1	1
79.824	5.3	BX	0.631	2	0
88.224	5.3	BX	0.711	1	1
97.824	5.3	BY	0.601	1	1
107.424	5.3	Ang	n/a	n/a	1
115.824	5.3	BY	0.644	1	1
123.024	5.3	AX	0.465	2	1
131.424	5.3	AY	0.504	1	1
139.823	5.3	AX	0.527	2	1
149.423	5.3	BY	0.511	1	1
157.823	5.3	Bng	n/a	n/a	1
166.223	5.3	AX	0.546	2	1
175.823	5.3	Ang	n/a	n/a	1
183.023	5.3	BY	0.539	1	1
190.222	5.3	AX	0.399	2	1
198.622	5.3	BY	0.463	1	1
208.222	5.3	BY	0.434	1	1
215.422	5.3	BY	0.447	1	1
225.022	5.3	AX	0.328	2	1
262.221	5.3	AX	0.428	2	1
269.421	5.3	BY	0.575	1	1
277.821	5.3	BY	0.354	1	1
286.221	5.3	AX	0.452	1	0
293.421	5.3	AX	0.492	2	1
300.621	5.3	Bng	n/a	n/a	1
307.82	5.3	BY	0.524	1	1
316.22	5.3	BX	0.527	2	0
324.62	5.3	AX	0.39	2	1
334.22	5.3	AX	0.365	2	1
343.82	5.3	AX	0.349	2	1
353.42	5.3	BY	0.45	1	1
363.019	5.3	BY	0.476	1	1
370.219	5.3	Ang	n/a	n/a	1
377.419	5.3	Ang	n/a	n/a	1
385.819	5.3	BY	0.541	1	1
395.419	5.3	BY	0.59	1	1
405.019	5.3	Bng	n/a	n/a	1
414.619	5.3	AY	0.492	1	1
421.818	5.3	BY	0.44	1	1
431.418	5.3	AX	0.616	2	1
438.618	5.3	BX	0.564	2	0
447.018	5.3	AY	0.52	1	1
455.418	5.3	AX	0.483	2	1
493.817	5.3	BY	0.482	1	1
503.417	5.3	Ang	n/a	n/a	1
511.817	5.3	BY	0.462	1	1
519.017	5.3	BX	0.664	2	0
528.617	5.3	BY	0.409	1	1
535.816	5.3	BY	0.488	1	1
545.416	5.3	AX	0.618	2	1
553.816	5.3	Bng	n/a	n/a	1
562.216	5.3	AX	0.486	2	1
569.416	5.3	AY	0.488	1	1
577.816	5.3	Bng	n/a	n/a	1
585.016	5.3	AX	0.487	2	1
594.615	5.3	BY	0.519	1	1
601.815	5.3	AX	0.534	2	1
611.415	5.3	BY	0.557	1	1
618.615	5.3	AX	0.465	2	1
627.015	5.3	AY	0.483	1	1
636.615	5.3	AX	0.634	2	1
646.215	5.3	AX	0.579	2	1
654.614	5.3	BY	0.654	1	1
661.814	5.3	BX	0.979	2	0
671.414	5.3	Ang	n/a	n/a	1
679.814	5.3	AX	0.46	2	1
688.214	5.3	BY	0.515	1	1
