onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.117	8.5	Congruent	AttendNumber	n/a	1.022	1	1
43.116	8.5	Congruent	AttendLetter	switch	0.764	2	1
56.316	8.5	Incongruent	AttendNumber	switch	0.839	1	1
67.116	8.5	Congruent	AttendNumber	repeat	1.23	2	1
80.316	8.5	Incongruent	AttendNumber	repeat	1.099	1	1
93.516	8.5	Congruent	AttendLetter	switch	1.237	2	1
105.515	8.5	Incongruent	AttendLetter	repeat	1.144	1	1
117.515	8.5	Incongruent	AttendLetter	repeat	1.105	2	1
128.315	8.5	Congruent	AttendLetter	repeat	0.731	2	1
139.115	8.5	Congruent	AttendNumber	switch	0.737	1	1
151.115	8.5	Congruent	AttendNumber	repeat	1.111	1	1
163.114	8.5	Congruent	AttendLetter	switch	0.978	1	1
175.114	8.5	Incongruent	AttendNumber	switch	1.619	1	1
188.314	8.5	Congruent	AttendNumber	repeat	1.586	2	1
201.514	8.5	Incongruent	AttendLetter	switch	1.422	1	1
212.314	8.5	Congruent	AttendLetter	repeat	0.939	1	1
223.113	8.5	Congruent	AttendNumber	switch	0.981	1	1
233.913	8.5	Congruent	AttendLetter	switch	1.475	2	1
277.112	8.5	Incongruent	AttendNumber	n/a	1.316	2	1
290.312	8.5	Congruent	AttendNumber	repeat	1.056	1	1
302.312	8.5	Incongruent	AttendNumber	repeat	0.908	2	1
315.512	8.5	Congruent	AttendNumber	repeat	0.796	2	1
327.512	8.5	Congruent	AttendLetter	switch	1.899	2	1
338.311	8.5	Incongruent	AttendLetter	repeat	0.91	2	1
351.511	8.5	Congruent	AttendNumber	switch	0.913	2	1
362.311	8.5	Congruent	AttendNumber	repeat	1.054	1	1
373.111	8.5	Congruent	AttendLetter	switch	1.77	1	1
385.111	8.5	Incongruent	AttendNumber	switch	1.355	2	1
395.91	8.5	Incongruent	AttendNumber	repeat	0.834	1	0
406.71	8.5	Congruent	AttendNumber	repeat	1.376	1	1
418.71	8.5	Incongruent	AttendLetter	switch	1.279	2	1
431.91	8.5	Incongruent	AttendLetter	repeat	2.416	1	1
445.109	8.5	Congruent	AttendLetter	repeat	1.052	1	1
457.109	8.5	Congruent	AttendLetter	repeat	1.464	2	1
470.309	8.5	Congruent	AttendLetter	repeat	0.966	2	1
482.309	8.5	Congruent	AttendLetter	repeat	2.595	1	1
523.108	8.5	Congruent	AttendNumber	n/a	1.769	2	1
533.908	8.5	Incongruent	AttendNumber	repeat	1.951	2	1
545.908	8.5	Incongruent	AttendLetter	switch	1.787	1	0
557.908	8.5	Congruent	AttendNumber	switch	0.858	1	1
571.107	8.5	Congruent	AttendNumber	repeat	0.729	2	1
583.107	8.5	Congruent	AttendLetter	switch	1.036	2	1
593.907	8.5	Congruent	AttendLetter	repeat	1.752	2	1
607.107	8.5	Congruent	AttendNumber	switch	0.844	1	1
617.906	8.5	Congruent	AttendLetter	switch	1.658	1	1
631.106	8.5	Congruent	AttendNumber	switch	0.835	1	1
644.306	8.5	Congruent	AttendNumber	repeat	1.471	2	1
657.506	8.5	Congruent	AttendLetter	switch	1.555	1	1
669.506	8.5	Congruent	AttendLetter	repeat	1.747	1	1
681.519	8.5	Congruent	AttendLetter	repeat	1.479	2	1
693.518	8.5	Incongruent	AttendLetter	repeat	1.085	1	1
704.318	8.5	Incongruent	AttendNumber	switch	2.815	1	1
717.518	8.5	Incongruent	AttendLetter	switch	1.066	1	1
728.318	8.5	Incongruent	AttendNumber	switch	n/a	n/a	0
