onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Congruent	AttendLetter	n/a	0.972	1	1
44.31	8.5	Congruent	AttendNumber	switch	0.912	2	1
57.51	8.5	Congruent	AttendLetter	switch	1.007	2	1
70.71	8.5	Congruent	AttendNumber	switch	0.71	1	1
81.51	8.5	Incongruent	AttendNumber	repeat	0.617	1	1
93.51	8.5	Incongruent	AttendLetter	switch	0.816	2	0
105.509	8.5	Congruent	AttendLetter	repeat	1.097	1	1
116.309	8.5	Incongruent	AttendLetter	repeat	1.486	2	1
127.109	8.5	Congruent	AttendNumber	switch	0.698	1	1
139.109	8.5	Congruent	AttendLetter	switch	1.002	1	1
149.909	8.5	Congruent	AttendLetter	repeat	1.045	2	1
161.908	8.5	Congruent	AttendNumber	switch	1.142	2	1
172.708	8.5	Congruent	AttendNumber	repeat	1.31	2	1
185.908	8.5	Incongruent	AttendNumber	repeat	1.439	2	1
196.708	8.5	Incongruent	AttendNumber	repeat	1.08	2	1
208.708	8.5	Incongruent	AttendLetter	switch	0.868	2	1
221.907	8.5	Congruent	AttendLetter	repeat	1.698	2	1
235.107	8.5	Congruent	AttendNumber	switch	0.915	1	1
277.12	8.5	Incongruent	AttendNumber	n/a	1.496	2	1
287.92	8.5	Congruent	AttendNumber	repeat	1.339	1	1
298.719	8.5	Congruent	AttendLetter	switch	0.837	1	1
309.519	8.5	Congruent	AttendLetter	repeat	1.129	2	1
321.519	8.5	Congruent	AttendLetter	repeat	0.919	2	1
334.719	8.5	Congruent	AttendNumber	switch	2.181	2	1
347.918	8.5	Congruent	AttendLetter	switch	0.897	1	1
361.118	8.5	Congruent	AttendLetter	repeat	0.716	2	1
373.118	8.5	Congruent	AttendNumber	switch	1.196	1	1
385.118	8.5	Incongruent	AttendNumber	repeat	2.167	1	1
397.118	8.5	Incongruent	AttendNumber	repeat	0.928	1	1
409.117	8.5	Incongruent	AttendNumber	repeat	1.197	2	0
419.917	8.5	Congruent	AttendLetter	switch	1.361	1	1
430.717	8.5	Congruent	AttendLetter	repeat	1.236	2	1
443.917	8.5	Incongruent	AttendLetter	repeat	0.801	1	1
457.117	8.5	Congruent	AttendNumber	switch	1.383	1	1
470.316	8.5	Incongruent	AttendLetter	switch	1.29	2	1
481.116	8.5	Congruent	AttendNumber	switch	1.068	1	1
523.115	8.5	Incongruent	AttendLetter	n/a	0.817	2	1
535.115	8.5	Incongruent	AttendLetter	repeat	0.874	2	1
547.115	8.5	Congruent	AttendLetter	repeat	2.176	1	0
560.315	8.5	Congruent	AttendLetter	repeat	0.735	1	1
571.115	8.5	Incongruent	AttendNumber	switch	0.638	2	1
583.114	8.5	Incongruent	AttendLetter	switch	0.753	1	1
596.314	8.5	Congruent	AttendNumber	switch	0.755	2	1
609.514	8.5	Congruent	AttendLetter	switch	1.082	2	1
620.314	8.5	Incongruent	AttendLetter	repeat	1.456	1	1
631.114	8.5	Congruent	AttendNumber	switch	0.947	2	1
644.313	8.5	Congruent	AttendNumber	repeat	1.702	2	1
657.513	8.5	Incongruent	AttendLetter	switch	0.938	2	1
669.513	8.5	Congruent	AttendNumber	switch	0.893	1	1
681.513	8.5	Incongruent	AttendNumber	repeat	1.381	1	1
692.312	8.5	Congruent	AttendNumber	repeat	1.124	1	1
705.512	8.5	Congruent	AttendLetter	switch	1.019	2	1
716.312	8.5	Congruent	AttendNumber	switch	1.247	2	0
728.312	8.5	Congruent	AttendNumber	repeat	1.101	2	1
