onset	duration	trial_type	response_time	response_button	response_accuracy
30.61	5.3	Bng	n/a	n/a	1
37.808	5.3	AX	0.26	2	1
46.207	5.3	Bng	n/a	n/a	1
53.406	5.3	AX	0.492	2	1
60.605	5.3	BY	0.412	1	1
69.003	5.3	BY	0.334	1	1
78.619	5.3	AY	0.569	1	1
88.217	5.3	AX	0.492	2	1
96.616	5.3	BY	0.72	1	1
106.214	5.3	BY	0.309	1	1
115.813	5.3	BX	0.236	1	1
123.011	5.3	Ang	n/a	n/a	1
131.41	5.3	BY	0.447	1	1
139.809	5.3	AY	0.452	1	1
149.407	5.3	BY	0.456	1	1
159.006	5.3	AX	0.341	2	1
166.205	5.3	AX	0.308	2	1
175.803	5.3	BY	0.477	2	0
184.218	5.3	BX	0.425	1	1
191.417	5.3	AX	0.319	2	1
201.016	5.3	Ang	n/a	n/a	1
208.214	5.3	BY	0.488	1	1
215.413	5.3	AX	0.355	2	1
223.812	5.3	AX	0.405	2	1
262.206	5.3	BX	0.534	1	1
269.405	5.3	AX	0.331	2	1
279.003	5.3	AY	0.478	1	1
287.418	5.3	AX	0.356	2	1
295.817	5.3	BY	0.483	1	1
304.216	5.3	BY	n/a	n/a	0
311.415	5.3	Bng	n/a	n/a	1
321.013	5.3	BY	0.644	1	1
329.412	5.3	AX	0.459	2	1
339.01	5.3	BY	0.544	1	1
348.609	5.3	AX	0.26	2	1
355.807	5.3	BY	n/a	n/a	0
363.006	5.3	Ang	n/a	n/a	1
371.405	5.3	AY	0.522	1	1
381.003	5.3	Bng	n/a	n/a	1
389.419	5.3	Ang	n/a	n/a	1
396.618	5.3	AX	0.474	2	1
403.816	5.3	BY	0.414	1	1
411.015	5.3	AX	0.417	2	1
420.614	5.3	BX	0.662	1	1
429.012	5.3	BY	0.531	1	1
437.411	5.3	BY	0.333	1	1
447.009	5.3	AX	0.336	2	1
456.608	5.3	AX	0.34	2	1
493.819	5.3	Ang	n/a	n/a	1
502.217	5.3	AX	0.35	2	1
509.416	5.3	AX	0.317	2	1
516.615	5.3	AX	0.3	2	1
525.014	5.3	Bng	n/a	n/a	1
534.612	5.3	AX	0.459	2	1
543.011	5.3	BY	0.394	1	1
552.609	5.3	Bng	n/a	n/a	1
559.808	5.3	AX	0.271	2	1
568.207	5.3	BY	0.432	2	0
577.805	5.3	BY	0.403	1	1
587.404	5.3	BX	0.351	1	1
594.619	5.3	AY	0.469	1	1
604.218	5.3	AX	0.421	2	1
612.616	5.3	BY	0.458	1	1
622.215	5.3	BX	0.893	1	1
629.414	5.3	AX	0.301	2	1
639.012	5.3	AX	0.307	2	1
646.211	5.3	BY	0.368	1	1
653.41	5.3	BY	0.299	1	1
661.808	5.3	BY	0.46	1	1
670.207	5.3	Ang	n/a	n/a	1
677.406	5.3	BY	0.447	1	1
685.805	5.3	AY	0.419	1	1
