onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.105	8.5	Congruent	AttendLetter	n/a	1.313	2	1
43.12	8.5	Congruent	AttendNumber	switch	0.629	2	1
53.918	8.5	Congruent	AttendNumber	repeat	0.762	1	1
64.716	8.5	Incongruent	AttendLetter	switch	0.693	1	1
77.914	8.5	Incongruent	AttendNumber	switch	1.941	1	1
91.112	8.5	Congruent	AttendLetter	switch	1.175	1	1
103.11	8.5	Incongruent	AttendLetter	repeat	0.939	2	1
116.308	8.5	Congruent	AttendLetter	repeat	0.854	2	1
128.306	8.5	Congruent	AttendLetter	repeat	2.409	1	0
139.121	8.5	Congruent	AttendNumber	switch	0.869	2	1
151.119	8.5	Incongruent	AttendNumber	repeat	1.495	1	1
164.317	8.5	Congruent	AttendNumber	repeat	1.185	1	1
175.115	8.5	Incongruent	AttendLetter	switch	0.97	1	1
188.313	8.5	Incongruent	AttendNumber	switch	2.048	1	1
199.111	8.5	Congruent	AttendNumber	repeat	1.417	1	1
211.109	8.5	Congruent	AttendNumber	repeat	2.139	1	1
221.908	8.5	Congruent	AttendLetter	switch	0.586	1	1
235.105	8.5	Congruent	AttendLetter	repeat	0.874	2	1
277.115	8.5	Incongruent	AttendLetter	n/a	1.956	1	1
290.313	8.5	Congruent	AttendNumber	switch	2.135	1	1
302.311	8.5	Incongruent	AttendNumber	repeat	2.25	2	1
313.11	8.5	Congruent	AttendNumber	repeat	1.819	2	1
326.307	8.5	Congruent	AttendNumber	repeat	1.216	1	1
337.106	8.5	Incongruent	AttendNumber	repeat	2.964	2	1
350.32	8.5	Congruent	AttendLetter	switch	2.908	1	1
362.318	8.5	Incongruent	AttendNumber	switch	1.139	2	1
373.117	8.5	Congruent	AttendLetter	switch	2.046	2	1
385.115	8.5	Congruent	AttendLetter	repeat	n/a	n/a	0
395.913	8.5	Incongruent	AttendLetter	repeat	0.892	2	1
409.111	8.5	Congruent	AttendNumber	switch	n/a	n/a	0
421.109	8.5	Congruent	AttendLetter	switch	1.129	2	1
431.907	8.5	Incongruent	AttendLetter	repeat	0.577	2	1
445.105	8.5	Incongruent	AttendNumber	switch	0.945	1	0
457.12	8.5	Congruent	AttendLetter	switch	2.726	2	1
467.918	8.5	Congruent	AttendLetter	repeat	0.601	1	1
479.916	8.5	Congruent	AttendNumber	switch	0.821	2	1
523.109	8.5	Incongruent	AttendLetter	n/a	1.416	2	1
535.107	8.5	Congruent	AttendNumber	switch	2.074	1	1
545.906	8.5	Incongruent	AttendLetter	switch	n/a	n/a	0
559.12	8.5	Congruent	AttendNumber	switch	2.467	2	1
572.318	8.5	Congruent	AttendNumber	repeat	2.759	1	1
583.116	8.5	Congruent	AttendLetter	switch	1.751	1	1
596.314	8.5	Congruent	AttendNumber	switch	2.749	1	0
607.112	8.5	Congruent	AttendLetter	switch	1.132	2	1
619.111	8.5	Congruent	AttendNumber	switch	1.547	2	1
631.109	8.5	Incongruent	AttendNumber	repeat	0.908	2	1
643.107	8.5	Congruent	AttendLetter	switch	2.648	1	1
653.905	8.5	Congruent	AttendLetter	repeat	0.543	1	1
664.72	8.5	Congruent	AttendNumber	switch	1.999	1	1
677.918	8.5	Incongruent	AttendNumber	repeat	1.857	1	1
689.916	8.5	Incongruent	AttendNumber	repeat	0.654	2	1
701.914	8.5	Incongruent	AttendLetter	switch	2.705	1	1
712.712	8.5	Congruent	AttendLetter	repeat	n/a	n/a	0
725.91	8.5	Congruent	AttendLetter	repeat	1.419	2	1
