onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.126	8.5	Congruent	AttendNumber	n/a	1.282	1	1
41.924	8.5	Congruent	AttendLetter	switch	1.962	1	1
53.922	8.5	Congruent	AttendLetter	repeat	0.834	1	1
65.92	8.5	Congruent	AttendNumber	switch	1.038	2	1
76.718	8.5	Congruent	AttendNumber	repeat	0.569	1	1
88.717	8.5	Congruent	AttendNumber	repeat	1.858	1	1
101.931	8.5	Congruent	AttendLetter	switch	1.392	1	1
115.129	8.5	Incongruent	AttendNumber	switch	3.127	2	1
128.327	8.5	Congruent	AttendNumber	repeat	0.832	2	1
139.125	8.5	Congruent	AttendLetter	switch	1.648	2	1
152.323	8.5	Incongruent	AttendNumber	switch	1.313	1	1
163.121	8.5	Incongruent	AttendLetter	switch	0.708	2	1
173.92	8.5	Incongruent	AttendLetter	repeat	2.931	2	0
187.117	8.5	Congruent	AttendNumber	switch	0.775	2	1
199.116	8.5	Congruent	AttendLetter	switch	1.698	1	0
211.13	8.5	Congruent	AttendLetter	repeat	1.843	2	1
223.128	8.5	Incongruent	AttendNumber	switch	n/a	n/a	0
233.927	8.5	Incongruent	AttendLetter	switch	n/a	n/a	0
277.12	8.5	Congruent	AttendLetter	n/a	2.29	2	1
287.918	8.5	Congruent	AttendLetter	repeat	1.563	2	1
301.116	8.5	Congruent	AttendNumber	switch	1.304	2	1
314.33	8.5	Congruent	AttendNumber	repeat	3.016	2	0
327.528	8.5	Congruent	AttendLetter	switch	1.387	2	1
338.327	8.5	Incongruent	AttendNumber	switch	0.831	1	1
350.325	8.5	Incongruent	AttendNumber	repeat	2.08	2	1
362.323	8.5	Congruent	AttendLetter	switch	n/a	n/a	0
373.121	8.5	Incongruent	AttendLetter	repeat	1.375	2	1
385.119	8.5	Congruent	AttendNumber	switch	0.464	1	1
398.317	8.5	Incongruent	AttendLetter	switch	0.669	1	1
410.315	8.5	Congruent	AttendNumber	switch	0.677	1	1
421.13	8.5	Incongruent	AttendNumber	repeat	0.679	1	1
433.128	8.5	Incongruent	AttendNumber	repeat	2.323	1	1
443.926	8.5	Congruent	AttendLetter	switch	2.26	2	1
457.124	8.5	Congruent	AttendLetter	repeat	0.78	1	1
467.922	8.5	Congruent	AttendLetter	repeat	2.585	1	1
481.12	8.5	Congruent	AttendNumber	switch	1.081	1	1
523.13	8.5	Congruent	AttendLetter	n/a	1.467	1	1
533.929	8.5	Congruent	AttendNumber	switch	1.362	1	1
545.927	8.5	Incongruent	AttendLetter	switch	0.437	1	1
557.925	8.5	Congruent	AttendNumber	switch	2.766	2	1
569.923	8.5	Incongruent	AttendLetter	switch	0.798	2	1
583.121	8.5	Congruent	AttendLetter	repeat	0.653	2	1
593.919	8.5	Incongruent	AttendLetter	repeat	0.778	2	1
607.117	8.5	Congruent	AttendNumber	switch	0.518	2	0
620.315	8.5	Incongruent	AttendLetter	switch	1.361	2	1
631.13	8.5	Congruent	AttendNumber	switch	2.792	2	1
644.327	8.5	Congruent	AttendLetter	switch	0.598	2	1
655.126	8.5	Congruent	AttendNumber	switch	2.774	1	1
665.924	8.5	Congruent	AttendLetter	switch	0.902	2	1
677.922	8.5	Incongruent	AttendLetter	repeat	1.829	1	1
691.12	8.5	Congruent	AttendNumber	switch	2.259	2	1
703.118	8.5	Incongruent	AttendNumber	repeat	0.49	2	1
716.316	8.5	Incongruent	AttendNumber	repeat	0.429	1	1
727.131	8.5	Congruent	AttendNumber	repeat	0.571	2	1
