onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.819	10.4	NP	5	0.81	2	1
45.216	10.4	NN	8	1.108	1	1
58.414	10.4	NN	8	0.886	1	1
71.612	10.4	NP	5	1.302	2	1
86.01	10.4	NN	6	0.948	1	1
98.008	10.4	NP	8	0.811	2	1
110.006	10.4	NN	5	0.929	1	1
123.22	10.4	NP	7	0.898	2	1
137.618	10.4	NN	5	0.698	1	1
149.616	10.4	NP	5	1.202	2	1
162.814	10.4	NP	7	0.878	2	1
176.012	10.4	NP	8	0.86	2	1
190.41	10.4	NN	7	0.972	1	1
204.807	10.4	NP	6	n/a	n/a	0
216.805	10.4	RN	5	1.306	1	1
258.815	10.4	NN	6	1.133	1	1
270.813	10.4	NN	8	0.827	1	1
284.011	10.4	NP	7	0.998	2	1
296.009	10.4	NP	7	1.012	2	1
310.407	10.4	NP	8	1.004	2	1
324.805	10.4	NP	5	0.756	2	1
336.82	10.4	NN	7	0.961	1	1
348.818	10.4	NP	5	1.088	2	1
363.215	10.4	NN	8	1.379	1	1
376.413	10.4	RN	5	n/a	n/a	0
389.611	10.4	NN	5	1.973	2	0
401.609	10.4	NP	8	1.261	2	1
414.807	10.4	NP	8	0.725	2	1
428.005	10.4	NP	5	0.711	2	1
442.419	10.4	NN	5	0.905	1	1
486.812	10.4	NN	5	0.813	1	1
498.81	10.4	NP	5	0.836	2	1
513.208	10.4	NP	8	0.648	2	1
526.406	10.4	RN	5	0.753	1	1
539.62	10.4	NN	8	0.805	1	1
554.018	10.4	NP	7	1.045	2	1
567.216	10.4	NP	8	0.776	2	1
579.214	10.4	NN	5	1.482	1	1
592.412	10.4	NP	6	1.592	1	0
604.41	10.4	RN	8	n/a	n/a	0
616.408	10.4	NP	5	1.037	2	1
630.806	10.4	NN	8	0.811	1	1
642.821	10.4	NP	5	0.89	1	0
657.218	10.4	NN	7	0.995	1	1
671.616	10.4	NN	7	1.766	1	1
