onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.11	8.5	Congruent	AttendLetter	n/a	1.613	2	1
41.925	8.5	Congruent	AttendLetter	repeat	1.554	2	1
55.123	8.5	Incongruent	AttendLetter	repeat	1.32	2	1
68.321	8.5	Congruent	AttendNumber	switch	1.563	1	1
79.119	8.5	Congruent	AttendLetter	switch	0.887	1	1
91.117	8.5	Congruent	AttendLetter	repeat	1.269	2	1
103.115	8.5	Incongruent	AttendNumber	switch	1.952	2	1
113.913	8.5	Congruent	AttendNumber	repeat	1.274	1	1
127.111	8.5	Congruent	AttendNumber	repeat	1.012	2	1
139.109	8.5	Incongruent	AttendLetter	switch	1.63	2	1
152.324	8.5	Congruent	AttendLetter	repeat	2.175	1	1
163.122	8.5	Congruent	AttendLetter	repeat	1.246	1	1
175.12	8.5	Incongruent	AttendNumber	switch	1.21	1	1
187.118	8.5	Congruent	AttendNumber	repeat	0.946	1	1
197.917	8.5	Incongruent	AttendNumber	repeat	2.317	2	1
209.915	8.5	Incongruent	AttendLetter	switch	1.445	1	1
223.113	8.5	Congruent	AttendNumber	switch	1.595	2	1
236.311	8.5	Congruent	AttendNumber	repeat	1.022	2	1
277.121	8.5	Congruent	AttendNumber	n/a	1.471	1	1
290.319	8.5	Congruent	AttendLetter	switch	0.781	1	1
302.317	8.5	Incongruent	AttendNumber	switch	0.856	1	1
313.115	8.5	Congruent	AttendNumber	repeat	1.548	1	1
326.313	8.5	Incongruent	AttendNumber	repeat	1.401	2	1
338.311	8.5	Congruent	AttendLetter	switch	1.292	2	1
350.309	8.5	Congruent	AttendNumber	switch	1.855	1	1
361.124	8.5	Congruent	AttendNumber	repeat	1.687	2	1
371.923	8.5	Congruent	AttendNumber	repeat	1.602	1	1
385.12	8.5	Incongruent	AttendLetter	switch	1.566	1	1
397.119	8.5	Congruent	AttendLetter	repeat	1.832	2	1
410.316	8.5	Incongruent	AttendLetter	repeat	2.504	2	1
421.115	8.5	Congruent	AttendLetter	repeat	1.351	1	1
434.313	8.5	Incongruent	AttendNumber	switch	1.081	1	1
445.111	8.5	Congruent	AttendLetter	switch	0.956	2	1
457.109	8.5	Incongruent	AttendNumber	switch	0.915	1	1
469.124	8.5	Congruent	AttendLetter	switch	1.307	1	1
479.922	8.5	Congruent	AttendLetter	repeat	1.796	2	1
523.115	8.5	Incongruent	AttendLetter	n/a	0.95	1	1
533.914	8.5	Congruent	AttendNumber	switch	1.13	2	1
544.712	8.5	Congruent	AttendLetter	switch	1.22	2	1
556.71	8.5	Incongruent	AttendLetter	repeat	1.416	2	1
569.925	8.5	Incongruent	AttendLetter	repeat	1.861	2	1
580.723	8.5	Congruent	AttendLetter	repeat	0.982	2	1
592.721	8.5	Congruent	AttendNumber	switch	0.741	1	1
604.719	8.5	Incongruent	AttendLetter	switch	1.37	1	1
617.917	8.5	Congruent	AttendLetter	repeat	0.85	2	1
631.115	8.5	Congruent	AttendLetter	repeat	1.278	1	1
643.113	8.5	Congruent	AttendNumber	switch	0.932	2	1
653.911	8.5	Incongruent	AttendNumber	repeat	2.364	2	1
665.909	8.5	Incongruent	AttendNumber	repeat	1.579	1	1
677.924	8.5	Congruent	AttendNumber	repeat	0.952	2	1
691.122	8.5	Congruent	AttendNumber	repeat	1.011	1	1
704.32	8.5	Congruent	AttendNumber	repeat	0.791	1	1
717.518	8.5	Incongruent	AttendLetter	switch	1.079	2	1
728.316	8.5	Congruent	AttendNumber	switch	2.633	2	1
