onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.823	10.4	NP	5	0.699	2	1
42.821	10.4	NN	8	1.048	1	1
56.019	10.4	NN	8	1.278	1	1
70.417	10.4	NP	5	1.088	1	0
82.415	10.4	NN	6	0.91	1	1
94.43	10.4	NP	8	1.061	2	1
108.827	10.4	NN	5	1.022	1	1
123.225	10.4	NP	7	1.252	2	1
135.223	10.4	NN	5	0.843	1	1
149.621	10.4	NP	5	1.098	2	1
162.819	10.4	NP	7	1.329	2	1
174.817	10.4	NP	8	1.361	2	1
188.015	10.4	NN	7	0.899	1	1
201.229	10.4	NP	6	0.956	2	1
215.627	10.4	RN	5	1.028	2	0
258.82	10.4	NN	6	1.127	1	1
272.018	10.4	NN	8	1.033	1	1
285.216	10.4	NP	7	1.166	2	1
298.431	10.4	NP	7	1.069	2	1
312.828	10.4	NP	8	1.078	2	1
327.226	10.4	NP	5	0.802	2	1
340.424	10.4	NN	7	1.094	1	1
352.422	10.4	NP	5	1.021	2	1
366.82	10.4	NN	8	1.12	1	1
378.818	10.4	RN	5	1.315	1	1
390.816	10.4	NN	5	1.309	1	1
405.23	10.4	NP	8	1.06	2	1
418.428	10.4	NP	8	1.084	2	1
430.426	10.4	NP	5	1.468	2	1
444.824	10.4	NN	5	0.999	1	1
486.818	10.4	NN	5	0.861	1	1
501.215	10.4	NP	5	1.1	2	1
515.63	10.4	NP	8	1.047	2	1
530.027	10.4	RN	5	0.834	1	1
542.025	10.4	NN	8	1.562	1	1
556.423	10.4	NP	7	0.87	2	1
568.421	10.4	NP	8	n/a	n/a	0
581.619	10.4	NN	5	0.79	1	1
593.617	10.4	NP	6	0.596	2	1
605.615	10.4	RN	8	1.297	1	1
618.83	10.4	NP	5	1.125	2	1
630.828	10.4	NN	8	0.974	1	1
644.026	10.4	NP	5	1.081	2	1
657.224	10.4	NN	7	0.841	1	1
670.422	10.4	NN	7	0.891	1	1
