onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.719	2	InCon	MC	0.979	1
34.318	2	Con	MC	0.987	1
39.117	2	InCon	MC	0.8905	1
45.117	2	Con	MC	1.049	1
49.916	2	Con	MC	0.9925	1
55.915	2	Con	MC	0.8745	1
59.514	2	Con	MC	0.872	1
65.513	2	Con	PC50	0.876	1
70.312	2	Con	MC	1.0675	1
76.311	2	Con	PC50	0.8815	1
81.111	2	Con	PC50	0.8715	1
84.727	2	InCon	PC50	1.0865	1
88.326	2	Con	MC	0.9885	1
91.926	2	InCon	PC50	1.1835	1
95.525	2	Con	MC	1.1835	1
101.524	2	Con	MC	0.8955	1
107.523	2	Con	MC	0.951	1
113.522	2	Con	MC	0.9105	1
118.321	2	InCon	MC	1.233	1
123.121	2	InCon	PC50	1.059	1
127.92	2	Con	PC50	0.993	1
131.519	2	InCon	PC50	1.454	1
137.518	2	Con	MC	0.989	1
142.318	2	Con	PC50	0.974	1
145.917	2	Con	MC	1.065	1
149.516	2	InCon	MC	1.0395	1
154.316	2	Con	MC	0.797	1
160.315	2	Con	MC	0.9205	1
165.114	2	Con	PC50	0.8765	1
168.713	2	Con	MC	1.084	1
172.313	2	InCon	PC50	1.004	1
175.912	2	InCon	MC	0.9445	1
180.711	2	InCon	PC50	0.9655	1
186.727	2	InCon	MC	1.1525	1
192.726	2	Con	MC	0.9595	1
197.525	2	Con	MC	0.903	1
233.52	2	InCon	MC	1.019	1
237.119	2	Con	PC50	0.9875	1
240.719	2	Con	PC50	0.977	1
245.518	2	InCon	PC50	0.8645	1
251.517	2	Con	MC	0.958	1
257.516	2	Con	MC	1.021	1
263.515	2	InCon	MC	0.99	1
269.514	2	Con	MC	1.0125	1
273.113	2	Con	MC	1.43	1
277.913	2	InCon	PC50	0.88	1
281.512	2	Con	MC	0.7655	1
286.311	2	Con	MC	1.19	1
291.127	2	InCon	MC	1.2185	1
295.926	2	InCon	PC50	1.0805	1
299.526	2	InCon	PC50	1.0875	1
305.525	2	Con	MC	0.946	1
311.524	2	Con	PC50	0.8825	1
317.523	2	Con	MC	0.9035	1
321.122	2	InCon	PC50	0.942	1
324.722	2	Con	PC50	0.901	1
329.521	2	Con	MC	1.109	1
333.12	2	Con	PC50	1.28	1
339.119	2	Con	MC	1.081	1
343.919	2	Con	MC	0.985	1
348.718	2	InCon	PC50	0.9745	1
354.717	2	Con	MC	0.8875	1
359.516	2	Con	MC	0.849	1
364.315	2	Con	MC	1.1715	1
367.915	2	Con	MC	0.926	1
371.514	2	Con	MC	0.823	1
375.114	2	Con	MC	0.8475	1
381.113	2	InCon	MC	0.869	1
385.912	2	InCon	MC	1.139	1
391.911	2	InCon	MC	0.9355	1
397.927	2	Con	PC50	0.9005	1
401.526	2	Con	MC	1.153	1
436.321	2	InCon	PC50	0.9385	1
441.12	2	Con	MC	0.9475	1
445.919	2	Con	PC50	1.013	1
450.718	2	Con	PC50	1.0795	1
456.717	2	Con	MC	0.9975	1
460.317	2	InCon	MC	1.0065	1
463.916	2	Con	MC	1.3395	1
469.915	2	Con	MC	0.9445	1
475.914	2	Con	MC	0.957	1
481.913	2	Con	MC	0.9045	1
485.513	2	InCon	MC	1.083	1
490.312	2	Con	PC50	0.9065	1
493.911	2	InCon	PC50	1.302	1
499.927	2	Con	MC	1.15	1
503.527	2	Con	MC	1.5145	1
508.326	2	InCon	PC50	0.92	1
514.325	2	Con	MC	0.8355	1
517.924	2	Con	MC	0.8785	1
522.723	2	Con	MC	0.804	1
526.323	2	Con	MC	0.906	1
532.322	2	Con	PC50	0.857	1
538.321	2	Con	MC	1.0735	1
543.12	2	Con	PC50	1.0375	1
547.919	2	Con	PC50	1.0305	1
551.519	2	InCon	MC	0.95	1
557.518	2	Con	MC	0.831	1
562.317	2	InCon	MC	0.9635	1
567.116	2	Con	MC	0.862	1
570.716	2	InCon	MC	0.8335	1
574.315	2	InCon	PC50	0.8715	1
579.114	2	Con	MC	0.872	1
585.113	2	InCon	MC	1.0845	1
588.713	2	InCon	PC50	0.813	1
592.312	2	Con	MC	0.834	1
598.311	2	Con	MC	0.8185	1
604.327	2	InCon	PC50	1.01	1
