onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.709	2	Con	MC	1.162	1
34.309	2	Con	MC	0.881	1
40.308	2	Con	MC	0.942	1
46.307	2	Con	MC	0.8555	1
51.106	2	InCon	MC	0.982	1
54.705	2	InCon	PC50	1.1175	1
59.505	2	InCon	MC	1.028	1
63.104	2	Con	MC	1.025	1
69.103	2	Con	PC50	1.109	1
73.902	2	InCon	PC50	0.99	1
79.901	2	Con	MC	0.8835	1
83.501	2	InCon	MC	0.9615	1
88.317	2	Con	PC50	1.126	1
91.916	2	InCon	PC50	1.117	1
97.915	2	Con	MC	0.853	1
102.714	2	InCon	MC	1.1425	1
106.314	2	Con	MC	0.968	1
111.113	2	Con	MC	0.8685	1
114.712	2	Con	MC	1.114	1
120.711	2	Con	MC	0.8445	1
126.71	2	Con	MC	0.7965	1
132.71	2	InCon	PC50	0.5645	1
137.509	2	Con	MC	0.831	1
142.308	2	InCon	MC	0.982	1
145.907	2	Con	MC	1.075	1
151.906	2	Con	MC	1.066	1
156.706	2	InCon	PC50	0.883	1
161.505	2	Con	MC	0.939	1
165.104	2	Con	PC50	0.908	1
168.704	2	Con	MC	0.9355	1
172.303	2	InCon	MC	0.9575	1
178.302	2	Con	PC50	0.889	1
181.902	2	InCon	PC50	0.874	1
187.901	2	Con	PC50	0.9615	1
192.717	2	Con	PC50	0.917	1
198.716	2	Con	MC	0.9355	1
233.51	2	Con	MC	0.982	1
238.309	2	Con	PC50	0.8285	1
243.109	2	Con	MC	0.8785	1
246.708	2	InCon	MC	1.0905	1
252.707	2	InCon	MC	0.9325	1
256.306	2	Con	MC	0.933	1
261.106	2	Con	PC50	0.943	1
264.705	2	InCon	PC50	0.9295	1
270.704	2	InCon	MC	0.825	1
274.304	2	Con	MC	0.951	1
280.303	2	Con	MC	0.8675	1
286.302	2	Con	MC	0.9085	1
291.101	2	Con	PC50	1.0595	1
294.717	2	Con	MC	0.9065	1
298.316	2	InCon	PC50	0.941	1
301.916	2	InCon	PC50	1.0825	1
306.715	2	Con	MC	0.892	1
312.714	2	Con	MC	1.023	1
318.713	2	InCon	PC50	0.993	1
323.512	2	Con	MC	1.111	1
328.312	2	InCon	MC	1.044	1
334.311	2	Con	MC	0.829	1
339.11	2	Con	MC	1.031	1
345.109	2	Con	MC	0.8235	1
348.708	2	Con	MC	0.915	1
354.707	2	Con	PC50	0.823	1
359.507	2	InCon	PC50	1.148	1
364.306	2	Con	MC	0.9995	1
369.105	2	Con	MC	1.0655	1
375.104	2	Con	MC	0.781	1
379.903	2	Con	MC	0.756	1
385.902	2	InCon	MC	0.875	1
391.901	2	InCon	MC	0.9615	1
395.501	2	InCon	PC50	1.1405	1
399.117	2	Con	PC50	0.924	1
402.716	2	Con	PC50	1.18	1
436.311	2	Con	MC	0.97	1
442.31	2	Con	MC	0.777	1
448.309	2	Con	MC	0.743	1
451.908	2	InCon	PC50	1.0605	1
456.708	2	Con	MC	1.026	1
460.307	2	InCon	PC50	0.9385	1
466.306	2	Con	PC50	1.073	1
471.105	2	Con	PC50	0.9615	1
474.705	2	InCon	MC	0.976	1
479.504	2	Con	MC	0.8505	1
483.103	2	Con	MC	1.0995	1
489.102	2	Con	PC50	0.856	1
493.902	2	Con	MC	0.9065	1
499.901	2	Con	PC50	0.858	1
505.916	2	Con	MC	0.9505	1
509.516	2	Con	MC	0.8495	1
514.315	2	InCon	PC50	0.853	1
517.915	2	Con	MC	0.928	1
522.714	2	InCon	PC50	0.8755	1
526.313	2	Con	MC	0.934	1
532.312	2	InCon	PC50	0.839	1
535.912	2	Con	MC	1.0335	1
540.711	2	InCon	MC	0.994	1
546.71	2	Con	MC	0.872	1
551.509	2	Con	MC	0.7745	1
557.508	2	Con	PC50	0.722	1
561.108	2	Con	MC	0.981	1
565.907	2	InCon	MC	1.1465	1
571.906	2	InCon	MC	1.0045	1
576.705	2	Con	PC50	1.1145	1
582.704	2	Con	MC	0.9615	1
587.503	2	InCon	PC50	0.896	1
592.303	2	InCon	MC	0.8875	1
595.902	2	Con	MC	0.869	1
601.901	2	Con	MC	0.8735	1
605.501	2	InCon	MC	1.0095	1
