onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.724	2	Con	MC	1.048	1
34.323	2	Con	MC	1.1075	1
37.923	2	InCon	MC	0.9615	1
43.922	2	InCon	MC	0.7225	1
48.721	2	Con	MC	0.8685	1
53.52	2	Con	PC50	0.7685	1
59.519	2	Con	PC50	0.734	1
64.318	2	InCon	PC50	0.8485	1
67.918	2	Con	MC	0.8205	1
73.917	2	InCon	PC50	0.861	1
79.916	2	Con	MC	0.746	1
83.515	2	InCon	PC50	0.98	1
88.315	2	Con	PC50	0.7405	1
93.114	2	Con	PC50	0.764	1
99.113	2	Con	MC	0.6975	1
102.712	2	Con	MC	0.7375	1
108.711	2	Con	MC	0.6835	1
112.311	2	Con	PC50	0.7015	1
115.91	2	InCon	PC50	0.8225	1
121.909	2	Con	MC	0.6515	1
127.925	2	InCon	MC	0.89	1
132.724	2	InCon	PC50	0.8755	1
136.324	2	Con	MC	0.765	1
141.123	2	InCon	MC	0.8965	1
145.922	2	Con	MC	0.65	1
151.921	2	InCon	PC50	0.723	1
155.521	2	Con	MC	0.585	1
161.52	2	Con	MC	0.677	1
166.319	2	Con	MC	0.576	1
171.118	2	Con	MC	0.64	1
175.917	2	Con	MC	0.6695	1
181.916	2	InCon	MC	0.78	1
186.716	2	Con	PC50	0.7055	1
190.315	2	Con	MC	0.678	1
193.914	2	InCon	MC	0.7515	1
199.913	2	Con	MC	0.7015	1
233.525	2	Con	MC	0.935	1
237.124	2	InCon	MC	0.784	1
241.923	2	InCon	MC	0.8315	1
246.723	2	Con	MC	0.7	1
252.722	2	Con	MC	0.7065	1
258.721	2	Con	MC	0.656	1
262.32	2	Con	MC	0.6115	1
267.119	2	Con	MC	0.625	1
271.919	2	Con	PC50	0.659	1
277.918	2	InCon	PC50	0.7855	1
283.917	2	Con	MC	0.734	1
287.516	2	InCon	PC50	0.7335	1
291.115	2	Con	MC	0.5875	1
294.715	2	InCon	PC50	0.729	1
299.514	2	InCon	MC	1.0275	1
303.114	2	InCon	MC	0.849	1
309.113	2	Con	PC50	0.639	1
313.912	2	Con	PC50	0.5715	1
319.911	2	Con	MC	0.62	1
323.51	2	Con	PC50	0.528	1
328.309	2	Con	MC	0.5645	1
334.325	2	Con	PC50	0.67	1
337.925	2	Con	MC	0.7415	1
342.724	2	InCon	MC	0.943	1
348.723	2	Con	MC	0.8035	1
354.722	2	Con	MC	0.695	1
358.321	2	Con	PC50	0.689	1
363.121	2	InCon	MC	0.8325	1
369.12	2	InCon	PC50	0.7625	1
375.119	2	Con	MC	0.737	1
378.718	2	InCon	PC50	0.808	1
382.317	2	Con	MC	0.6535	1
387.117	2	InCon	PC50	0.7685	1
390.716	2	Con	MC	0.6605	1
395.515	2	Con	MC	0.619	1
401.514	2	Con	MC	0.633	1
436.309	2	Con	MC	0.613	1
442.325	2	InCon	PC50	0.7705	1
448.324	2	Con	MC	0.7415	1
454.323	2	Con	MC	0.722	1
457.922	2	Con	PC50	0.5835	1
462.721	2	InCon	MC	0.805	1
467.52	2	Con	MC	0.687	1
473.52	2	Con	MC	0.6585	1
477.119	2	InCon	PC50	0.7975	1
480.718	2	Con	MC	0.602	1
485.518	2	Con	PC50	0.6865	1
490.317	2	Con	MC	0.6305	1
493.916	2	Con	PC50	0.6345	1
499.915	2	Con	MC	0.7035	1
504.715	2	InCon	PC50	0.9935	1
509.514	2	Con	MC	0.621	1
514.313	2	Con	PC50	0.7	1
517.912	2	Con	MC	0.5685	1
523.911	2	Con	MC	0.7165	1
527.511	2	Con	MC	0.5875	1
531.11	2	InCon	MC	0.846	1
534.71	2	InCon	MC	0.765	1
540.709	2	Con	MC	0.6295	1
546.724	2	InCon	MC	0.941	1
551.524	2	InCon	PC50	0.7355	1
557.523	2	InCon	MC	0.724	1
561.122	2	Con	MC	0.6535	1
565.921	2	Con	MC	0.961	1
569.521	2	Con	PC50	0.66	1
575.52	2	InCon	MC	0.716	1
580.319	2	Con	PC50	0.6785	1
586.318	2	Con	MC	0.731	1
591.117	2	Con	MC	0.6415	1
594.717	2	Con	MC	0.741	1
598.316	2	InCon	PC50	0.9055	1
604.315	2	InCon	PC50	0.767	1
