onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.116	8.5	Congruent	AttendNumber	n/a	1.173	1	1
41.914	8.5	Congruent	AttendLetter	switch	0.842	2	1
55.112	8.5	Congruent	AttendNumber	switch	1.288	1	1
67.11	8.5	Congruent	AttendNumber	repeat	0.791	1	1
77.909	8.5	Incongruent	AttendLetter	switch	0.685	1	1
91.106	8.5	Congruent	AttendLetter	repeat	0.705	2	1
101.905	8.5	Incongruent	AttendNumber	switch	1.517	1	1
113.903	8.5	Congruent	AttendLetter	switch	0.73	1	1
127.101	8.5	Congruent	AttendLetter	repeat	0.826	2	1
139.116	8.5	Incongruent	AttendNumber	switch	0.978	1	1
152.313	8.5	Congruent	AttendNumber	repeat	1.713	2	1
164.312	8.5	Incongruent	AttendNumber	repeat	2.295	1	1
175.11	8.5	Congruent	AttendNumber	repeat	0.845	2	1
187.108	8.5	Congruent	AttendLetter	switch	0.581	1	1
197.906	8.5	Congruent	AttendNumber	switch	1.877	1	1
208.705	8.5	Incongruent	AttendLetter	switch	0.604	2	1
221.902	8.5	Incongruent	AttendLetter	repeat	1.804	1	1
235.1	8.5	Congruent	AttendLetter	repeat	1.183	2	1
277.11	8.5	Incongruent	AttendLetter	n/a	0.961	2	1
287.909	8.5	Congruent	AttendNumber	switch	0.89	2	1
301.107	8.5	Incongruent	AttendNumber	repeat	0.78	2	1
314.304	8.5	Incongruent	AttendNumber	repeat	0.721	2	1
325.103	8.5	Congruent	AttendLetter	switch	0.855	2	1
338.301	8.5	Congruent	AttendNumber	switch	2.279	2	1
349.116	8.5	Congruent	AttendNumber	repeat	1.367	1	1
361.114	8.5	Congruent	AttendLetter	switch	1.449	2	1
373.112	8.5	Incongruent	AttendLetter	repeat	2.044	1	1
385.11	8.5	Incongruent	AttendLetter	repeat	2.286	2	1
398.308	8.5	Congruent	AttendLetter	repeat	0.882	2	1
409.106	8.5	Congruent	AttendNumber	switch	1.514	1	1
422.304	8.5	Congruent	AttendLetter	switch	1.725	1	1
435.502	8.5	Congruent	AttendNumber	switch	1.587	1	1
447.5	8.5	Congruent	AttendLetter	switch	0.943	1	1
458.315	8.5	Incongruent	AttendNumber	switch	1.77	1	0
470.313	8.5	Incongruent	AttendNumber	repeat	2.598	2	1
482.311	8.5	Congruent	AttendLetter	switch	1.349	1	1
523.105	8.5	Incongruent	AttendLetter	n/a	0.717	2	1
533.903	8.5	Congruent	AttendLetter	repeat	0.865	2	1
545.901	8.5	Congruent	AttendNumber	switch	1.176	1	1
559.116	8.5	Congruent	AttendNumber	repeat	1.899	2	1
571.114	8.5	Congruent	AttendNumber	repeat	1.961	2	1
584.312	8.5	Incongruent	AttendNumber	repeat	1.288	2	1
595.11	8.5	Congruent	AttendNumber	repeat	0.943	2	1
608.308	8.5	Incongruent	AttendNumber	repeat	2.096	1	1
619.106	8.5	Congruent	AttendLetter	switch	1.536	2	1
631.104	8.5	Congruent	AttendLetter	repeat	0.852	1	1
643.102	8.5	Congruent	AttendNumber	switch	2.264	2	0
656.3	8.5	Congruent	AttendLetter	switch	1.895	1	1
667.115	8.5	Incongruent	AttendLetter	repeat	1.285	1	1
679.113	8.5	Incongruent	AttendNumber	switch	2.259	2	1
689.912	8.5	Congruent	AttendLetter	switch	1.803	2	1
700.71	8.5	Congruent	AttendLetter	repeat	2.265	1	1
713.908	8.5	Incongruent	AttendLetter	repeat	2.801	1	1
725.906	8.5	Congruent	AttendNumber	switch	2.078	1	1
