onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.708	2	InCon	PC50	1.0695	1
36.707	2	Con	MC	0.736	1
42.707	2	Con	MC	0.6865	1
46.306	2	InCon	PC50	0.9895	1
51.105	2	Con	MC	0.759	1
57.104	2	Con	MC	0.8425	1
60.704	2	Con	MC	1.077	1
66.703	2	InCon	PC50	0.966	1
70.302	2	Con	MC	0.6875	1
75.118	2	Con	MC	0.695	1
79.917	2	Con	MC	0.856	1
84.717	2	Con	MC	0.6925	1
88.316	2	InCon	PC50	0.8695	1
93.115	2	Con	PC50	0.7445	1
99.114	2	InCon	MC	1.016	1
102.714	2	Con	MC	0.8275	1
106.313	2	Con	MC	0.7525	1
111.112	2	Con	MC	0.785	1
115.912	2	Con	PC50	1.114	1
119.511	2	Con	MC	0.7685	1
123.11	2	InCon	MC	0.9675	1
129.109	2	InCon	MC	0.8525	1
135.109	2	Con	MC	0.9965	1
141.108	2	Con	MC	0.753	1
145.907	2	Con	MC	0.7765	1
151.906	2	Con	PC50	0.7835	1
156.705	2	Con	PC50	0.8225	1
160.305	2	InCon	PC50	1.161	1
165.104	2	InCon	PC50	1.1855	1
171.103	2	InCon	MC	0.878	1
175.902	2	Con	MC	0.649	1
179.518	2	InCon	MC	1.3935	1
184.317	2	Con	MC	0.7905	1
187.917	2	Con	PC50	0.8615	1
193.916	2	Con	PC50	0.7715	1
199.915	2	InCon	MC	0.844	1
233.51	2	Con	MC	1.1775	1
239.509	2	InCon	MC	0.7835	1
245.508	2	InCon	MC	0.8325	1
249.107	2	InCon	PC50	0.819	1
253.906	2	Con	MC	0.647	1
259.905	2	InCon	MC	0.7915	1
265.904	2	InCon	PC50	0.82	1
270.704	2	InCon	MC	0.7465	1
275.503	2	InCon	MC	0.72	1
279.102	2	Con	MC	0.715	1
282.702	2	Con	MC	0.804	1
287.518	2	Con	MC	0.6235	1
291.117	2	Con	PC50	0.7055	1
294.717	2	Con	MC	0.6965	1
300.716	2	Con	PC50	0.735	1
305.515	2	Con	MC	0.6335	1
311.514	2	Con	MC	0.6745	1
315.113	2	InCon	PC50	1.0585	1
318.713	2	Con	PC50	0.9415	1
323.512	2	Con	MC	0.711	1
328.311	2	Con	PC50	0.7535	1
334.31	2	Con	MC	0.864	1
339.11	2	Con	MC	0.7985	1
345.109	2	Con	MC	0.794	1
348.708	2	Con	PC50	0.8675	1
353.507	2	Con	MC	0.791	1
359.506	2	Con	PC50	0.866	0
364.306	2	InCon	PC50	1.0265	1
367.905	2	InCon	PC50	0.978	1
371.504	2	Con	MC	0.843	1
376.304	2	InCon	MC	0.73	1
382.303	2	Con	MC	0.7115	1
388.302	2	Con	MC	0.7405	1
391.918	2	Con	MC	0.777	1
397.917	2	InCon	PC50	0.775	1
401.516	2	Con	MC	0.815	1
436.311	2	InCon	MC	0.716	1
441.11	2	InCon	MC	0.8175	1
447.109	2	InCon	MC	0.7625	1
453.108	2	InCon	PC50	0.716	1
456.708	2	Con	MC	0.7265	1
462.707	2	Con	MC	0.688	1
466.306	2	Con	MC	0.7875	1
469.905	2	Con	MC	0.802	1
473.505	2	Con	MC	0.84	1
478.304	2	InCon	PC50	0.8085	1
483.103	2	Con	PC50	0.7195	1
489.102	2	Con	MC	0.6945	1
493.902	2	Con	MC	0.723	1
499.917	2	Con	MC	0.769	1
503.517	2	InCon	PC50	0.857	1
507.116	2	Con	PC50	0.86	1
510.716	2	Con	MC	0.838	1
516.715	2	InCon	MC	0.8435	1
522.714	2	InCon	MC	0.798	1
528.713	2	Con	MC	0.8625	1
533.512	2	Con	MC	0.7945	1
538.311	2	InCon	PC50	0.8145	1
543.111	2	Con	MC	0.7085	1
546.71	2	Con	PC50	0.794	1
551.509	2	Con	PC50	0.7095	0
556.308	2	Con	MC	0.719	1
559.908	2	Con	PC50	0.712	0
564.707	2	Con	PC50	0.7075	1
569.506	2	Con	MC	0.6465	1
575.505	2	Con	MC	0.675	1
581.504	2	InCon	PC50	0.9415	1
585.104	2	Con	MC	0.6765	1
591.103	2	Con	MC	0.8735	1
594.702	2	InCon	MC	1.162	1
600.718	2	Con	MC	0.7535	1
604.317	2	InCon	PC50	1.0305	1
