onset	duration	trial_type	response_time	response_button	response_accuracy
30.622	5.3	AX	0.57	2	1
40.222	5.3	BY	0.44	1	1
48.622	5.3	BY	0.413	1	1
58.222	5.3	Ang	0.407	1	0
66.622	5.3	AY	0.672	1	1
73.822	5.3	Bng	n/a	n/a	1
82.222	5.3	BY	0.347	1	1
90.621	5.3	AX	0.288	2	1
97.821	5.3	AY	0.419	1	1
105.021	5.3	AX	0.279	2	1
112.221	5.3	BY	0.362	1	1
121.821	5.3	AX	0.395	2	1
131.421	5.3	AX	0.309	2	1
139.821	5.3	BY	0.278	1	1
148.221	5.3	Ang	n/a	n/a	1
155.421	5.3	BX	0.55	2	0
163.82	5.3	BY	0.283	1	1
173.42	5.3	AX	0.463	2	1
181.82	5.3	BX	0.396	1	1
191.42	5.3	BY	0.372	1	1
201.02	5.3	AX	0.319	2	1
208.22	5.3	Bng	n/a	n/a	1
215.42	5.3	BY	0.292	1	1
222.62	5.3	AX	0.295	2	1
262.219	5.3	AY	0.559	1	1
270.619	5.3	AX	0.406	2	1
277.819	5.3	BX	0.213	1	1
285.019	5.3	AX	0.244	2	1
292.219	5.3	Bng	n/a	n/a	1
300.618	5.3	Bng	n/a	n/a	1
309.018	5.3	Ang	n/a	n/a	1
318.618	5.3	AY	0.442	1	1
328.218	5.3	BY	0.185	1	1
337.818	5.3	Ang	n/a	n/a	1
345.018	5.3	AX	0.27	2	1
354.618	5.3	AX	0.521	2	1
363.018	5.3	AX	0.29	2	1
371.417	5.3	BX	0.324	1	1
378.617	5.3	AX	0.369	1	0
387.017	5.3	BY	0.494	1	1
396.617	5.3	BY	0.314	1	1
405.017	5.3	AX	0.326	2	1
414.617	5.3	BY	0.228	1	1
424.217	5.3	BY	0.096	1	1
432.617	5.3	BY	0.25	1	1
439.816	5.3	AX	0.273	2	1
447.016	5.3	BY	0.382	1	1
454.216	5.3	BY	0.313	1	1
493.816	5.3	AX	0.302	2	1
503.416	5.3	BY	0.088	1	1
510.615	5.3	AX	0.429	2	1
517.815	5.3	BY	0.431	1	1
527.415	5.3	AX	0.261	2	1
535.815	5.3	BX	0.555	2	0
543.015	5.3	BY	0.391	1	1
551.415	5.3	AY	0.432	1	1
561.015	5.3	Ang	n/a	n/a	1
568.215	5.3	BY	0.194	1	1
576.628	5.3	AX	0.598	2	1
586.228	5.3	AX	0.463	2	1
594.628	5.3	AX	0.325	2	1
603.027	5.3	AX	0.395	1	0
612.627	5.3	AY	0.42	1	1
622.227	5.3	BY	0.373	1	1
629.427	5.3	BY	0.341	1	1
636.627	5.3	BY	0.338	1	1
643.827	5.3	Bng	0.458	1	0
653.427	5.3	Bng	0.287	1	0
661.827	5.3	BX	0.637	1	1
670.226	5.3	BY	0.317	1	1
677.426	5.3	Ang	n/a	n/a	1
685.826	5.3	AX	0.36	2	1
