onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.815	10.4	NP	5	1.105	2	1
42.815	10.4	NP	5	0.802	2	1
54.815	10.4	NN	5	0.645	1	1
68.015	10.4	NN	6	0.827	1	1
82.414	10.4	NN	8	1.073	1	1
94.414	10.4	NP	5	0.686	2	1
108.814	10.4	RN	5	n/a	n/a	0
123.214	10.4	NN	5	0.82	1	1
136.414	10.4	NN	7	0.912	1	1
149.613	10.4	NP	6	0.826	2	1
162.813	10.4	NP	8	0.671	2	1
177.213	10.4	NN	8	0.817	1	1
190.413	10.4	NP	7	0.736	2	1
202.413	10.4	NP	8	1.369	2	1
216.812	10.4	RN	7	0.979	2	0
258.812	10.4	NP	5	0.953	2	1
273.212	10.4	NN	8	0.78	1	1
286.411	10.4	RN	8	1.114	1	1
298.411	10.4	NP	5	1.924	1	0
310.411	10.4	RN	5	1.42	1	1
324.811	10.4	NN	6	0.774	1	1
339.211	10.4	NP	8	0.957	1	0
351.21	10.4	NN	7	0.872	1	1
364.41	10.4	NN	5	0.898	1	1
376.41	10.4	NP	8	1.294	1	0
389.61	10.4	NP	5	1.149	2	1
401.61	10.4	NP	7	1.478	1	0
416.01	10.4	NN	5	0.894	1	1
429.209	10.4	NN	8	0.865	1	1
442.409	10.4	NP	7	0.983	2	1
486.809	10.4	NN	7	0.919	1	1
498.808	10.4	NP	7	1.25	1	0
513.208	10.4	NP	6	1.427	2	1
527.608	10.4	NN	7	0.847	1	1
542.008	10.4	NP	8	0.903	2	1
556.408	10.4	NP	8	n/a	n/a	0
568.407	10.4	NP	5	0.943	2	1
580.407	10.4	NN	8	0.804	1	1
592.407	10.4	NN	5	1.609	1	1
605.607	10.4	NP	5	0.847	2	1
618.807	10.4	RN	5	n/a	n/a	0
630.806	10.4	NP	5	0.841	2	1
644.006	10.4	NN	6	0.886	1	1
658.406	10.4	NP	8	1.633	2	1
671.606	10.4	NN	5	1.107	1	1
