onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.709	2	InCon	PC50	0.8455	0
35.509	2	Con	PC50	0.715	1
41.509	2	Con	MC	0.6875	1
45.109	2	Con	MC	0.5885	1
51.109	2	Con	MC	0.765	1
55.909	2	Con	MC	0.634	1
61.909	2	Con	MC	0.6785	1
65.509	2	InCon	MC	0.885	1
69.108	2	Con	MC	0.7605	1
73.908	2	Con	PC50	0.674	1
78.708	2	Con	MC	0.6885	1
82.308	2	Con	MC	0.7005	1
88.308	2	Con	PC50	0.7675	1
94.308	2	Con	MC	0.6995	1
97.908	2	Con	MC	0.8225	1
101.508	2	InCon	PC50	0.9395	1
105.108	2	InCon	PC50	0.8945	1
111.108	2	InCon	MC	0.919	1
114.708	2	InCon	PC50	0.7485	1
120.708	2	Con	MC	0.824	1
125.508	2	Con	MC	0.8195	1
130.308	2	Con	MC	0.9575	1
135.108	2	Con	MC	0.7895	1
141.107	2	Con	PC50	0.9055	1
145.907	2	InCon	MC	0.849	1
151.907	2	InCon	MC	0.9545	1
155.507	2	Con	MC	0.8575	1
160.307	2	Con	MC	0.7645	1
163.907	2	Con	PC50	0.7305	1
168.707	2	Con	MC	0.8925	1
174.707	2	Con	PC50	0.777	1
180.707	2	Con	MC	0.783	1
185.507	2	InCon	PC50	0.885	1
189.107	2	InCon	MC	0.782	1
195.107	2	InCon	MC	0.7525	1
198.707	2	InCon	PC50	0.7555	1
233.506	2	Con	MC	0.6735	1
237.106	2	InCon	MC	0.611	1
243.106	2	InCon	PC50	0.7415	1
247.906	2	Con	MC	0.642	1
253.906	2	Con	PC50	0.728	1
257.506	2	Con	PC50	0.7005	1
262.306	2	InCon	MC	0.711	1
265.906	2	Con	MC	0.622	1
269.506	2	InCon	PC50	0.6685	1
274.306	2	Con	MC	0.8845	1
280.305	2	Con	MC	0.6285	1
286.305	2	InCon	PC50	0.774	1
291.105	2	Con	MC	0.668	1
295.905	2	InCon	MC	0.87	1
299.505	2	Con	MC	0.709	1
305.505	2	Con	MC	0.597	1
310.305	2	Con	MC	0.6465	1
316.305	2	Con	MC	0.6965	1
322.305	2	InCon	PC50	0.692	1
327.105	2	Con	MC	0.7125	1
331.905	2	Con	MC	0.6725	1
337.905	2	InCon	PC50	0.729	1
341.505	2	Con	MC	0.63	1
345.104	2	Con	PC50	0.636	1
348.704	2	Con	MC	0.621	1
352.318	2	Con	MC	n/a	1
357.118	2	Con	PC50	0.5155	1
360.718	2	Con	PC50	0.544	1
365.518	2	InCon	PC50	0.4915	0
369.117	2	Con	PC50	0.6325	1
375.117	2	Con	MC	0.635	1
379.917	2	InCon	MC	0.888	1
384.717	2	Con	MC	0.6205	1
390.717	2	InCon	MC	0.8865	1
394.317	2	InCon	MC	0.9165	1
400.317	2	Con	MC	0.843	1
436.317	2	Con	MC	0.7815	1
442.316	2	Con	MC	0.668	1
445.916	2	Con	MC	0.4995	1
449.516	2	InCon	MC	0.5555	0
454.316	2	Con	MC	n/a	1
457.916	2	Con	MC	0.671	1
463.916	2	InCon	PC50	0.873	1
467.516	2	Con	MC	0.5985	1
472.316	2	InCon	MC	0.6855	1
477.116	2	Con	MC	0.6555	1
481.916	2	Con	MC	0.6165	1
487.916	2	Con	MC	0.5355	1
493.916	2	Con	MC	0.544	1
498.716	2	InCon	MC	0.6875	1
504.716	2	Con	MC	0.587	1
510.715	2	Con	PC50	0.715	1
515.515	2	Con	MC	0.6725	1
519.115	2	Con	MC	0.6945	1
525.115	2	InCon	MC	0.577	1
529.915	2	InCon	PC50	0.706	1
535.915	2	InCon	MC	0.788	1
539.515	2	Con	MC	0.5365	1
543.115	2	InCon	PC50	0.711	1
546.715	2	InCon	PC50	0.6605	1
551.515	2	InCon	PC50	n/a	1
557.515	2	InCon	PC50	0.786	1
562.315	2	Con	MC	n/a	1
565.915	2	Con	MC	0.815	1
569.515	2	Con	MC	0.692	1
574.315	2	InCon	MC	0.689	1
580.314	2	Con	PC50	0.621	1
586.314	2	Con	MC	0.804	1
592.314	2	Con	PC50	0.815	1
597.114	2	Con	PC50	n/a	1
600.714	2	Con	PC50	0.6165	1
604.314	2	Con	PC50	0.724	1
