onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.815	10.4	NP	5	1.285	2	1
44.015	10.4	NP	5	1.335	2	1
56.015	10.4	NN	5	1.154	1	1
70.415	10.4	NN	6	1.083	1	1
83.615	10.4	NN	8	1.426	1	1
95.614	10.4	NP	5	1.721	2	1
107.614	10.4	RN	5	1.636	2	0
120.814	10.4	NN	5	1.704	1	1
135.214	10.4	NN	7	1.418	2	0
147.214	10.4	NP	6	1.682	1	0
159.214	10.4	NP	8	1.039	1	0
172.413	10.4	NN	8	1.23	1	1
186.813	10.4	NP	7	n/a	n/a	0
200.013	10.4	NP	8	0.883	1	0
214.413	10.4	RN	7	1.83	1	1
258.812	10.4	NP	5	1.16	2	1
273.212	10.4	NN	8	1.153	1	1
285.212	10.4	RN	8	n/a	n/a	0
297.212	10.4	NP	5	1.365	2	1
310.411	10.4	RN	5	1.315	1	1
324.811	10.4	NN	6	1.066	1	1
339.211	10.4	NP	8	1.131	1	0
353.611	10.4	NN	7	n/a	n/a	0
365.611	10.4	NN	5	n/a	n/a	0
378.81	10.4	NP	8	1.437	1	0
393.21	10.4	NP	5	1.032	1	0
406.41	10.4	NP	7	1.2	1	0
419.61	10.4	NN	5	0.942	1	1
431.61	10.4	NN	8	n/a	n/a	0
444.809	10.4	NP	7	1.162	2	1
486.809	10.4	NN	7	1.319	1	1
498.809	10.4	NP	7	0.997	1	0
512.008	10.4	NP	6	0.998	2	1
526.408	10.4	NN	7	0.873	1	1
538.408	10.4	NP	8	n/a	n/a	0
550.408	10.4	NP	8	1.293	2	1
563.608	10.4	NP	5	n/a	n/a	0
578.008	10.4	NN	8	1.383	1	1
591.207	10.4	NN	5	1.113	1	1
605.607	10.4	NP	5	1.01	2	1
620.007	10.4	RN	5	1.158	1	1
634.407	10.4	NP	5	1.532	2	1
647.606	10.4	NN	6	1.039	1	1
659.606	10.4	NP	8	1.334	1	0
672.806	10.4	NN	5	1.339	1	1
