onset	duration	trial_type	response_time	response_button	response_accuracy
30.604	5.3	AX	0.454	2	1
37.819	5.3	BY	0.583	1	1
46.218	5.3	Bng	n/a	n/a	1
54.617	5.3	BX	0.486	1	1
61.815	5.3	Ang	n/a	n/a	1
69.014	5.3	AX	0.73	2	1
77.413	5.3	AX	1.201	2	1
84.612	5.3	BY	0.778	1	1
94.21	5.3	BY	0.772	1	1
103.809	5.3	AX	0.904	1	0
113.407	5.3	BY	0.491	1	1
121.806	5.3	AY	0.614	1	1
131.404	5.3	Ang	0.704	1	0
141.02	5.3	BY	0.718	1	1
150.618	5.3	AX	0.475	2	1
157.817	5.3	AY	0.588	2	0
167.415	5.3	BX	0.949	1	1
175.814	5.3	Bng	n/a	n/a	1
184.213	5.3	BY	0.916	1	1
192.611	5.3	BY	1.109	1	1
201.01	5.3	AX	0.76	2	1
208.209	5.3	BY	0.588	1	1
215.408	5.3	AX	1.007	2	1
225.006	5.3	AX	0.357	2	1
262.217	5.3	AX	0.693	1	0
269.416	5.3	BY	1.021	1	1
277.814	5.3	AX	0.457	2	1
287.413	5.3	BY	0.668	1	1
294.612	5.3	BX	0.627	2	0
303.01	5.3	BY	0.865	1	1
312.609	5.3	AX	0.386	2	1
319.808	5.3	AY	0.905	1	1
327.007	5.3	BX	n/a	n/a	0
335.405	5.3	Ang	n/a	n/a	1
343.804	5.3	AX	0.475	2	1
353.419	5.3	BY	0.739	1	1
363.018	5.3	AX	0.65	2	1
372.616	5.3	AX	n/a	n/a	0
379.815	5.3	AY	0.328	2	0
389.413	5.3	BY	0.733	2	0
397.812	5.3	BY	0.788	1	1
406.211	5.3	Bng	1.033	1	0
414.609	5.3	Ang	n/a	n/a	1
424.208	5.3	BY	1.154	1	1
431.407	5.3	AX	0.621	2	1
438.606	5.3	BY	n/a	n/a	0
447.004	5.3	AX	0.377	2	1
456.619	5.3	Bng	n/a	n/a	1
493.814	5.3	AX	0.589	2	1
502.212	5.3	BY	0.5	1	1
509.411	5.3	AX	0.7	2	1
516.61	5.3	BY	n/a	n/a	0
525.009	5.3	Bng	n/a	n/a	1
532.207	5.3	AX	0.429	2	1
540.606	5.3	BY	0.775	1	1
547.805	5.3	BX	n/a	n/a	0
557.42	5.3	BY	0.79	1	1
567.019	5.3	AX	0.432	2	1
576.617	5.3	AX	0.5	2	1
586.216	5.3	BX	0.852	2	0
594.614	5.3	BY	0.48	1	1
604.213	5.3	BY	0.666	1	1
612.611	5.3	AX	0.36	2	1
621.01	5.3	AY	n/a	n/a	0
629.409	5.3	Ang	n/a	n/a	1
636.608	5.3	AY	0.568	2	0
646.206	5.3	AX	n/a	n/a	0
653.405	5.3	AX	0.431	2	1
660.604	5.3	BY	0.549	1	1
670.219	5.3	Bng	n/a	n/a	1
679.817	5.3	BY	0.545	1	1
687.016	5.3	Ang	n/a	n/a	1
