onset	duration	trial_type	response_time	response_button	response_accuracy
30.609	5.3	AX	0.376	2	1
40.207	5.3	BX	0.578	1	1
47.406	5.3	AX	0.999	1	0
54.605	5.3	BY	0.58	1	1
63.004	5.3	BY	0.532	1	1
72.602	5.3	AX	0.421	2	1
82.201	5.3	BY	0.543	1	1
90.616	5.3	BY	0.544	1	1
99.015	5.3	Bng	n/a	n/a	1
106.214	5.3	BY	0.685	1	1
114.612	5.3	AY	1.105	1	1
121.811	5.3	BY	0.527	1	1
131.41	5.3	Bng	n/a	n/a	1
138.608	5.3	AX	n/a	n/a	0
145.807	5.3	AX	0.384	2	1
154.206	5.3	BY	0.532	1	1
163.804	5.3	AX	0.361	2	1
172.203	5.3	AX	0.545	2	1
181.802	5.3	BX	0.829	1	1
191.417	5.3	Ang	n/a	n/a	1
198.616	5.3	AX	0.429	2	1
207.014	5.3	BY	n/a	n/a	0
214.213	5.3	AY	0.588	1	1
223.812	5.3	Ang	0.492	1	0
262.205	5.3	Ang	n/a	n/a	1
271.804	5.3	BY	0.836	1	1
279.003	5.3	BY	0.612	1	1
288.601	5.3	BY	0.428	1	1
297.017	5.3	BY	n/a	n/a	0
306.615	5.3	AX	0.332	2	1
313.814	5.3	AX	0.413	2	1
322.213	5.3	AY	0.552	1	1
329.411	5.3	BY	1.047	1	1
337.81	5.3	AX	0.356	2	1
347.409	5.3	BY	0.679	1	1
354.607	5.3	BX	0.696	1	1
363.006	5.3	BY	0.299	1	1
372.605	5.3	BY	0.51	1	1
381.003	5.3	AX	0.574	2	1
390.602	5.3	Bng	n/a	n/a	1
400.217	5.3	BX	0.531	2	0
408.616	5.3	AX	0.416	2	1
418.214	5.3	AX	0.387	2	1
425.413	5.3	Ang	n/a	n/a	1
433.812	5.3	Bng	n/a	n/a	1
442.21	5.3	AX	n/a	n/a	0
449.409	5.3	AX	0.439	2	1
456.608	5.3	AY	0.905	1	1
493.802	5.3	AX	0.416	2	1
501.001	5.3	AX	0.364	2	1
509.416	5.3	AX	0.982	2	1
516.615	5.3	BY	n/a	n/a	0
526.214	5.3	Ang	n/a	n/a	1
534.612	5.3	BY	0.697	1	1
541.811	5.3	BX	0.535	2	0
549.01	5.3	AX	1.158	2	1
558.608	5.3	AX	0.336	2	1
567.007	5.3	AX	n/a	n/a	0
576.606	5.3	Bng	n/a	n/a	1
585.004	5.3	AY	0.566	1	1
594.603	5.3	Ang	n/a	n/a	1
604.201	5.3	BY	n/a	n/a	0
611.417	5.3	AY	0.419	1	1
618.616	5.3	BY	0.571	1	1
627.014	5.3	BY	n/a	n/a	0
634.213	5.3	BY	0.568	1	1
642.612	5.3	AX	0.437	2	1
651.01	5.3	BY	0.653	1	1
660.609	5.3	AX	0.545	2	1
670.207	5.3	BY	0.512	1	1
679.806	5.3	Bng	n/a	n/a	1
687.005	5.3	BX	0.866	1	1
