onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.119	8.5	Congruent	AttendLetter	n/a	1.057	2	1
44.317	8.5	Congruent	AttendNumber	switch	0.937	1	1
56.315	8.5	Congruent	AttendNumber	repeat	1.163	1	1
67.114	8.5	Incongruent	AttendLetter	switch	1.562	1	1
79.112	8.5	Congruent	AttendLetter	repeat	1.815	1	1
92.31	8.5	Congruent	AttendNumber	switch	1.453	2	1
103.125	8.5	Congruent	AttendLetter	switch	1.849	1	1
115.123	8.5	Congruent	AttendLetter	repeat	1.414	2	1
125.921	8.5	Incongruent	AttendNumber	switch	2.397	1	0
139.119	8.5	Congruent	AttendLetter	switch	1.376	1	1
151.117	8.5	Incongruent	AttendNumber	switch	1.326	2	1
161.915	8.5	Incongruent	AttendNumber	repeat	1.185	1	1
172.714	8.5	Congruent	AttendNumber	repeat	0.922	2	1
183.512	8.5	Incongruent	AttendLetter	switch	1.553	1	0
196.71	8.5	Congruent	AttendLetter	repeat	1.05	2	1
208.725	8.5	Incongruent	AttendLetter	repeat	1.054	2	1
220.723	8.5	Congruent	AttendNumber	switch	0.947	1	1
233.921	8.5	Congruent	AttendNumber	repeat	0.798	2	1
277.114	8.5	Incongruent	AttendLetter	n/a	1.228	1	1
290.312	8.5	Congruent	AttendNumber	switch	2.06	1	1
301.11	8.5	Incongruent	AttendNumber	repeat	1.105	2	1
314.324	8.5	Congruent	AttendNumber	repeat	0.708	1	0
326.323	8.5	Congruent	AttendLetter	switch	1.313	1	1
338.321	8.5	Congruent	AttendLetter	repeat	1.521	2	1
351.519	8.5	Congruent	AttendNumber	switch	0.645	1	1
362.317	8.5	Incongruent	AttendNumber	repeat	1.68	2	0
373.115	8.5	Congruent	AttendLetter	switch	0.721	1	1
385.113	8.5	Incongruent	AttendLetter	repeat	1.284	2	1
395.912	8.5	Incongruent	AttendNumber	switch	0.941	1	1
407.91	8.5	Congruent	AttendLetter	switch	n/a	n/a	0
418.725	8.5	Congruent	AttendLetter	repeat	1.548	1	1
431.923	8.5	Congruent	AttendLetter	repeat	1.577	2	1
445.12	8.5	Incongruent	AttendNumber	switch	1.001	1	1
457.119	8.5	Congruent	AttendLetter	switch	2.12	2	1
469.117	8.5	Congruent	AttendNumber	switch	2.033	1	1
482.315	8.5	Congruent	AttendNumber	repeat	0.768	1	1
523.125	8.5	Incongruent	AttendNumber	n/a	0.745	2	1
535.123	8.5	Congruent	AttendLetter	switch	1.09	2	1
547.121	8.5	Congruent	AttendNumber	switch	1.002	2	1
560.319	8.5	Incongruent	AttendLetter	switch	0.841	1	1
572.317	8.5	Incongruent	AttendNumber	switch	1.062	1	1
585.515	8.5	Congruent	AttendNumber	repeat	0.926	1	1
598.713	8.5	Congruent	AttendNumber	repeat	0.838	1	1
609.511	8.5	Congruent	AttendLetter	switch	0.724	1	1
620.309	8.5	Congruent	AttendNumber	switch	0.831	2	1
631.124	8.5	Incongruent	AttendLetter	switch	0.334	1	1
641.923	8.5	Congruent	AttendLetter	repeat	1.888	2	1
652.721	8.5	Congruent	AttendNumber	switch	2.124	1	1
665.919	8.5	Incongruent	AttendLetter	switch	n/a	n/a	0
677.917	8.5	Incongruent	AttendLetter	repeat	1.922	2	1
688.715	8.5	Congruent	AttendLetter	repeat	1.18	2	1
701.913	8.5	Congruent	AttendNumber	switch	1.379	2	1
713.911	8.5	Incongruent	AttendLetter	switch	0.701	2	1
725.909	8.5	Congruent	AttendNumber	switch	1.533	2	1
