onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.812	10.4	NP	5	1.516	2	1
44.01	10.4	NN	8	1.044	1	1
56.008	10.4	NN	8	0.932	1	1
69.206	10.4	NP	5	0.72	1	0
82.404	10.4	NN	6	0.696	1	1
94.419	10.4	NP	8	1.06	1	0
106.417	10.4	NN	5	1.143	1	1
119.615	10.4	NP	7	0.659	1	0
134.013	10.4	NN	5	0.872	1	1
148.41	10.4	NP	5	1.504	1	0
160.408	10.4	NP	7	1.064	1	0
174.806	10.4	NP	8	0.771	2	1
189.204	10.4	NN	7	1.665	1	1
202.418	10.4	NP	6	1.428	2	1
216.816	10.4	RN	5	0.884	1	1
258.809	10.4	NN	6	0.847	1	1
270.807	10.4	NN	8	0.959	1	1
282.806	10.4	NP	7	0.695	1	0
297.22	10.4	NP	7	0.364	1	0
310.418	10.4	NP	8	1.1	1	0
324.816	10.4	NP	5	1.049	2	1
338.014	10.4	NN	7	0.719	1	1
350.012	10.4	NP	5	0.666	1	0
363.21	10.4	NN	8	1.218	1	1
375.208	10.4	RN	5	0.855	1	1
389.605	10.4	NN	5	n/a	n/a	0
404.02	10.4	NP	8	0.672	1	0
418.417	10.4	NP	8	1.444	1	0
431.615	10.4	NP	5	0.537	2	1
444.813	10.4	NN	5	1.178	1	1
486.807	10.4	NN	5	1.898	1	1
500.004	10.4	NP	5	1.956	1	0
514.419	10.4	NP	8	1.196	1	0
526.417	10.4	RN	5	1.156	1	1
540.815	10.4	NN	8	1.025	1	1
554.013	10.4	NP	7	1.488	2	1
568.41	10.4	NP	8	1.387	1	0
580.408	10.4	NN	5	1.02	1	1
593.606	10.4	NP	6	1.274	1	0
608.004	10.4	RN	8	1.57	1	1
620.019	10.4	NP	5	1.284	1	0
632.017	10.4	NN	8	0.825	1	1
644.015	10.4	NP	5	1.223	1	0
658.413	10.4	NN	7	0.977	1	1
671.611	10.4	NN	7	0.995	1	1
