onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.807	10.4	NP	5	1.202	2	1
42.806	10.4	NP	5	0.877	2	1
57.203	10.4	NN	5	0.703	1	1
71.601	10.4	NN	6	0.834	1	1
83.616	10.4	NN	8	0.634	1	1
98.013	10.4	NP	5	1.415	2	1
112.411	10.4	RN	5	1.011	2	0
125.609	10.4	NN	5	0.683	1	1
137.607	10.4	NN	7	0.689	1	1
150.805	10.4	NP	6	0.954	2	1
164.003	10.4	NP	8	0.98	2	1
178.401	10.4	NN	8	1.218	1	1
191.615	10.4	NP	7	1.66	2	1
203.613	10.4	NP	8	0.752	1	0
215.611	10.4	RN	7	0.943	1	1
258.805	10.4	NP	5	0.988	2	1
270.803	10.4	NN	8	0.936	1	1
284.001	10.4	RN	8	0.839	1	1
297.215	10.4	NP	5	1.224	1	0
309.213	10.4	RN	5	0.414	1	1
322.411	10.4	NN	6	0.683	1	1
335.609	10.4	NP	8	1.508	2	1
350.007	10.4	NN	7	1.194	1	1
364.405	10.4	NN	5	1.364	1	1
376.403	10.4	NP	8	0.757	1	0
388.401	10.4	NP	5	1.166	2	1
402.815	10.4	NP	7	1.337	1	0
414.813	10.4	NN	5	0.856	1	1
429.211	10.4	NN	8	0.919	1	1
442.409	10.4	NP	7	n/a	n/a	0
486.802	10.4	NN	7	0.915	1	1
498.817	10.4	NP	7	n/a	n/a	0
512.015	10.4	NP	6	1.021	2	1
524.013	10.4	NN	7	0.69	1	1
537.211	10.4	NP	8	0.929	2	1
550.408	10.4	NP	8	0.844	1	0
564.806	10.4	NP	5	0.849	2	1
578.004	10.4	NN	8	0.886	1	1
592.402	10.4	NN	5	0.826	1	1
606.816	10.4	NP	5	0.283	1	0
620.014	10.4	RN	5	0.956	1	1
632.012	10.4	NP	5	0.554	1	0
644.01	10.4	NN	6	0.721	1	1
656.008	10.4	NP	8	1.07	1	0
670.406	10.4	NN	5	1.459	1	1
