onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.824	10.4	NP	5	0.886	2	1
42.822	10.4	NN	8	0.827	1	1
57.22	10.4	NN	8	0.7	2	0
69.218	10.4	NP	5	1.583	2	1
82.416	10.4	NN	6	0.765	1	1
96.814	10.4	NP	8	0.65	2	1
110.028	10.4	NN	5	0.59	1	1
124.426	10.4	NP	7	0.662	2	1
138.824	10.4	NN	5	1.314	1	1
152.022	10.4	NP	5	0.434	2	1
164.02	10.4	NP	7	0.517	2	1
177.218	10.4	NP	8	0.57	2	1
189.216	10.4	NN	7	0.589	1	1
203.63	10.4	NP	6	0.568	2	1
215.628	10.4	RN	5	1.059	1	1
258.821	10.4	NN	6	0.678	1	1
272.019	10.4	NN	8	0.685	1	1
286.417	10.4	NP	7	0.895	2	1
298.415	10.4	NP	7	1.328	1	0
311.63	10.4	NP	8	0.906	2	1
323.628	10.4	NP	5	0.756	2	1
338.026	10.4	NN	7	0.605	1	1
352.423	10.4	NP	5	1.486	2	1
364.421	10.4	NN	8	0.62	1	1
378.819	10.4	RN	5	1	2	0
392.017	10.4	NN	5	1.152	1	1
404.015	10.4	NP	8	1.142	1	0
418.429	10.4	NP	8	1.066	2	1
430.428	10.4	NP	5	0.872	2	1
443.625	10.4	NN	5	0.752	1	1
486.819	10.4	NN	5	0.621	1	1
498.817	10.4	NP	5	0.588	2	1
510.815	10.4	NP	8	0.657	2	1
522.83	10.4	RN	5	1.344	1	1
537.227	10.4	NN	8	0.8	1	1
551.625	10.4	NP	7	0.605	2	1
566.023	10.4	NP	8	0.601	2	1
578.021	10.4	NN	5	0.558	1	1
592.419	10.4	NP	6	0.628	2	1
605.616	10.4	RN	8	0.612	1	1
618.814	10.4	NP	5	0.543	2	1
630.829	10.4	NN	8	0.503	1	1
645.227	10.4	NP	5	0.606	2	1
658.425	10.4	NN	7	0.648	1	1
671.623	10.4	NN	7	0.806	1	1
