onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.707	2	Con	MC	0.985	1
34.306	2	Con	PC50	0.93	1
37.906	2	InCon	MC	0.7875	1
43.922	2	Con	MC	0.803	1
47.521	2	InCon	PC50	0.8365	1
53.52	2	Con	MC	0.851	1
57.119	2	Con	MC	0.7585	1
61.919	2	InCon	PC50	0.907	1
67.918	2	Con	MC	0.637	1
73.917	2	Con	MC	0.697	1
78.716	2	InCon	MC	0.967	1
83.515	2	Con	MC	0.7695	1
88.315	2	Con	PC50	0.744	1
93.114	2	InCon	MC	1.175	1
96.713	2	Con	MC	0.796	1
100.313	2	InCon	MC	0.78	1
106.312	2	Con	MC	0.721	1
112.311	2	Con	MC	0.708	1
117.11	2	InCon	PC50	0.933	1
121.909	2	InCon	MC	0.7785	1
125.509	2	Con	PC50	0.778	1
131.508	2	Con	MC	0.6645	1
137.507	2	Con	MC	1.1325	1
142.306	2	InCon	PC50	0.907	1
145.922	2	Con	MC	0.858	1
150.721	2	Con	MC	0.849	1
154.321	2	Con	PC50	1.0055	1
157.92	2	InCon	PC50	0.916	1
162.719	2	Con	PC50	0.863	1
166.319	2	Con	MC	0.767	1
169.918	2	InCon	PC50	0.7545	1
175.917	2	InCon	MC	0.84	1
181.916	2	Con	PC50	0.7915	1
186.716	2	Con	MC	0.745	1
192.715	2	Con	MC	0.666	1
197.514	2	Con	MC	0.808	1
233.508	2	Con	MC	0.803	1
238.307	2	Con	PC50	0.7595	1
243.107	2	Con	MC	0.732	1
249.106	2	Con	MC	0.84	1
252.722	2	Con	MC	0.842	1
258.721	2	InCon	PC50	1.058	1
262.32	2	InCon	PC50	0.918	1
267.12	2	Con	MC	0.762	1
270.719	2	InCon	PC50	0.7245	1
276.718	2	Con	MC	0.6875	1
282.717	2	Con	MC	0.718	1
286.316	2	Con	MC	1.0255	1
291.116	2	Con	PC50	0.702	1
294.715	2	InCon	PC50	0.8155	1
300.714	2	Con	MC	0.667	1
304.314	2	InCon	MC	1.0665	1
309.113	2	InCon	PC50	0.895	1
315.112	2	Con	MC	1.039	1
319.911	2	Con	MC	0.764	1
323.511	2	Con	MC	0.955	1
328.31	2	Con	MC	0.7275	1
334.309	2	Con	MC	0.734	1
339.108	2	Con	PC50	0.826	1
345.107	2	Con	PC50	0.8145	1
348.707	2	Con	MC	0.8435	1
354.706	2	Con	MC	0.89	1
359.522	2	Con	PC50	0.7725	1
364.321	2	Con	MC	0.783	1
369.12	2	InCon	MC	0.7915	1
373.919	2	Con	MC	0.7725	1
377.519	2	InCon	MC	0.944	1
381.118	2	InCon	MC	0.889	1
387.117	2	InCon	PC50	1.166	1
390.717	2	Con	PC50	0.7925	1
396.716	2	InCon	MC	1.4065	1
400.315	2	InCon	MC	0.677	1
436.309	2	InCon	PC50	0.848	1
439.909	2	Con	MC	0.8505	1
444.708	2	InCon	PC50	0.796	1
449.507	2	InCon	PC50	0.8695	1
453.107	2	Con	PC50	0.7765	1
456.706	2	Con	MC	0.989	1
462.722	2	Con	MC	0.789	1
467.521	2	InCon	PC50	1.093	1
473.52	2	InCon	MC	0.6975	1
479.519	2	InCon	PC50	1.7115	1
483.119	2	InCon	MC	1.6785	1
487.918	2	Con	MC	0.662	1
493.917	2	InCon	MC	0.7335	1
499.916	2	Con	MC	0.829	1
503.515	2	Con	PC50	0.857	1
507.115	2	InCon	MC	0.8235	1
513.114	2	Con	MC	0.7075	1
517.913	2	Con	MC	0.914	1
521.513	2	Con	MC	0.909	1
526.312	2	Con	PC50	0.8605	1
532.311	2	InCon	PC50	0.7805	1
537.11	2	InCon	MC	1.063	1
541.909	2	Con	MC	0.908	1
545.509	2	Con	MC	0.781	1
551.508	2	Con	MC	0.7045	1
555.107	2	Con	MC	0.716	1
561.106	2	Con	MC	0.7075	1
564.706	2	Con	PC50	2.535	1
569.522	2	Con	PC50	0.867	1
573.121	2	Con	PC50	0.792	1
577.92	2	Con	MC	0.8225	1
583.919	2	Con	MC	1.3675	1
588.719	2	Con	MC	0.679	1
592.318	2	InCon	MC	1.0375	1
597.117	2	Con	MC	0.6495	1
603.116	2	Con	MC	0.6685	1
