onset	duration	trial_type	response_time	response_button	response_accuracy
30.613	5.3	BY	0.402	1	1
39.012	5.3	BY	0.456	1	1
46.211	5.3	Ang	n/a	n/a	1
54.61	5.3	Bng	n/a	n/a	1
61.809	5.3	AX	0.417	2	1
69.025	5.3	BX	0.812	1	1
78.624	5.3	Ang	n/a	n/a	1
87.022	5.3	AY	1.256	1	1
96.621	5.3	BY	0.821	1	1
106.22	5.3	Bng	n/a	n/a	1
114.619	5.3	AX	0.713	2	1
124.218	5.3	AX	0.399	2	1
131.417	5.3	AX	0.609	2	1
141.015	5.3	AX	0.329	2	1
148.214	5.3	BY	0.627	1	1
157.813	5.3	AX	0.486	2	1
166.212	5.3	BY	1.295	1	1
173.411	5.3	AY	0.5	1	1
180.61	5.3	AX	0.489	2	1
187.809	5.3	BY	0.52	1	1
196.225	5.3	BX	0.782	1	1
205.824	5.3	AX	0.391	2	1
214.222	5.3	BY	0.54	1	1
222.621	5.3	BY	0.588	1	1
262.216	5.3	BY	0.656	1	1
270.615	5.3	AX	0.357	2	1
277.814	5.3	AY	0.657	1	1
285.013	5.3	Ang	n/a	n/a	1
293.412	5.3	BY	0.521	1	1
303.011	5.3	BY	0.401	1	1
311.41	5.3	BY	0.636	1	1
321.025	5.3	AX	0.349	2	1
329.424	5.3	AX	0.712	2	1
339.023	5.3	AX	0.361	2	1
348.621	5.3	AX	0.387	2	1
355.82	5.3	BY	0.769	1	1
363.02	5.3	BX	0.636	1	1
372.618	5.3	BY	0.346	1	1
379.817	5.3	AX	0.52	2	1
387.016	5.3	AY	0.598	1	1
394.215	5.3	BX	1.162	1	1
402.614	5.3	Ang	n/a	n/a	1
412.213	5.3	Bng	n/a	n/a	1
420.612	5.3	BY	0.646	1	1
429.011	5.3	BY	0.407	1	1
437.41	5.3	AX	0.918	1	0
447.009	5.3	Bng	n/a	n/a	1
456.624	5.3	AX	1.437	2	1
493.819	5.3	AX	0.319	2	1
502.218	5.3	AX	0.44	2	1
511.817	5.3	BY	1.375	1	1
521.415	5.3	AX	0.641	2	1
529.814	5.3	BY	0.555	1	1
537.013	5.3	AX	n/a	n/a	0
546.612	5.3	BY	0.415	1	1
553.811	5.3	Bng	n/a	n/a	1
563.41	5.3	Bng	n/a	n/a	1
570.609	5.3	Ang	n/a	n/a	1
579.025	5.3	BX	1.15	1	1
586.224	5.3	AX	0.271	2	1
594.622	5.3	AX	0.35	2	1
603.021	5.3	BY	0.447	1	1
612.62	5.3	BY	0.551	1	1
619.819	5.3	AX	0.376	2	1
628.218	5.3	AY	0.616	1	1
635.417	5.3	BY	0.351	1	1
643.816	5.3	Ang	n/a	n/a	1
653.415	5.3	BX	0.342	1	1
663.013	5.3	AY	0.444	1	1
672.612	5.3	BY	0.341	1	1
681.011	5.3	BY	0.38	1	1
688.21	5.3	AX	0.475	2	1
