onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Congruent	AttendNumber	n/a	1.031	2	1
44.31	8.5	Incongruent	AttendNumber	repeat	0.891	1	1
55.108	8.5	Incongruent	AttendNumber	repeat	1.348	1	1
65.907	8.5	Incongruent	AttendLetter	switch	0.742	1	1
79.122	8.5	Congruent	AttendLetter	repeat	0.666	2	1
91.12	8.5	Incongruent	AttendNumber	switch	2.077	1	1
103.119	8.5	Congruent	AttendNumber	repeat	0.817	1	1
116.317	8.5	Congruent	AttendNumber	repeat	1.266	1	1
127.115	8.5	Incongruent	AttendLetter	switch	1.568	1	1
139.114	8.5	Incongruent	AttendLetter	repeat	n/a	n/a	0
149.912	8.5	Congruent	AttendNumber	switch	0.767	1	1
161.911	8.5	Congruent	AttendNumber	repeat	0.576	1	1
172.709	8.5	Congruent	AttendLetter	switch	1.232	1	1
184.708	8.5	Congruent	AttendLetter	repeat	1.164	1	1
197.923	8.5	Congruent	AttendNumber	switch	1.641	2	1
211.121	8.5	Congruent	AttendLetter	switch	1.549	2	1
221.92	8.5	Congruent	AttendLetter	repeat	1.221	2	1
235.118	8.5	Congruent	AttendLetter	repeat	1.426	2	1
277.112	8.5	Congruent	AttendLetter	n/a	0.386	1	1
289.111	8.5	Congruent	AttendNumber	switch	1.447	1	1
301.109	8.5	Congruent	AttendLetter	switch	0.931	2	1
311.908	8.5	Incongruent	AttendLetter	repeat	1.265	2	1
325.123	8.5	Congruent	AttendNumber	switch	1.618	2	1
335.921	8.5	Congruent	AttendLetter	switch	0.968	2	1
349.12	8.5	Congruent	AttendLetter	repeat	1.286	1	1
361.118	8.5	Incongruent	AttendNumber	switch	1.661	2	1
374.316	8.5	Incongruent	AttendNumber	repeat	1.47	2	1
385.115	8.5	Congruent	AttendNumber	repeat	0.999	2	1
397.113	8.5	Congruent	AttendNumber	repeat	0.858	1	1
410.312	8.5	Incongruent	AttendLetter	switch	0.765	2	1
421.11	8.5	Congruent	AttendLetter	repeat	0.629	2	1
431.909	8.5	Congruent	AttendNumber	switch	1.254	1	1
445.107	8.5	Incongruent	AttendLetter	switch	2.15	1	1
455.922	8.5	Incongruent	AttendNumber	switch	1.253	2	1
467.921	8.5	Incongruent	AttendNumber	repeat	1.32	2	1
481.119	8.5	Congruent	AttendLetter	switch	1.16	1	1
523.113	8.5	Incongruent	AttendNumber	n/a	1.108	1	1
536.312	8.5	Congruent	AttendNumber	repeat	0.506	1	1
549.51	8.5	Incongruent	AttendNumber	repeat	0.789	2	1
560.309	8.5	Congruent	AttendNumber	repeat	0.821	1	1
571.107	8.5	Congruent	AttendLetter	switch	2.128	1	0
584.322	8.5	Congruent	AttendNumber	switch	1.566	1	1
596.32	8.5	Congruent	AttendLetter	switch	1.315	1	1
608.319	8.5	Congruent	AttendLetter	repeat	1.087	2	1
620.317	8.5	Congruent	AttendNumber	switch	0.952	2	1
631.116	8.5	Incongruent	AttendLetter	switch	1.214	1	1
644.314	8.5	Congruent	AttendLetter	repeat	0.862	1	1
656.313	8.5	Congruent	AttendLetter	repeat	1.66	1	1
669.511	8.5	Incongruent	AttendLetter	repeat	1.048	1	1
680.309	8.5	Incongruent	AttendLetter	repeat	1.43	2	1
692.308	8.5	Congruent	AttendNumber	switch	1.329	2	1
703.123	8.5	Congruent	AttendNumber	repeat	2.348	2	1
713.922	8.5	Congruent	AttendLetter	switch	1.451	2	1
725.92	8.5	Incongruent	AttendNumber	switch	1.817	2	1
