onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Incongruent	AttendNumber	n/a	0.699	2	1
41.909	8.5	Incongruent	AttendNumber	repeat	1.675	2	1
53.908	8.5	Congruent	AttendNumber	repeat	1.114	1	1
65.906	8.5	Congruent	AttendLetter	switch	0.85	1	1
79.121	8.5	Congruent	AttendLetter	repeat	1.186	1	1
89.919	8.5	Congruent	AttendNumber	switch	1.135	2	1
103.118	8.5	Congruent	AttendLetter	switch	1.281	1	1
116.316	8.5	Congruent	AttendLetter	repeat	1.751	2	1
127.115	8.5	Congruent	AttendNumber	switch	2.048	1	1
139.113	8.5	Incongruent	AttendLetter	switch	1.039	2	1
149.912	8.5	Incongruent	AttendNumber	switch	1.944	1	1
161.91	8.5	Congruent	AttendLetter	switch	1.42	2	1
172.709	8.5	Incongruent	AttendLetter	repeat	0.994	1	1
184.707	8.5	Incongruent	AttendLetter	repeat	1.495	2	1
197.922	8.5	Congruent	AttendNumber	switch	1.521	1	1
209.92	8.5	Congruent	AttendNumber	repeat	0.959	2	1
223.119	8.5	Congruent	AttendNumber	repeat	1.358	1	0
233.917	8.5	Congruent	AttendLetter	switch	n/a	n/a	0
277.112	8.5	Congruent	AttendLetter	n/a	0.606	1	1
287.91	8.5	Incongruent	AttendNumber	switch	0.969	1	1
301.108	8.5	Congruent	AttendNumber	repeat	1.098	2	1
313.107	8.5	Congruent	AttendNumber	repeat	0.665	1	1
326.322	8.5	Incongruent	AttendNumber	repeat	1.493	2	1
337.12	8.5	Congruent	AttendLetter	switch	2.468	2	1
349.119	8.5	Congruent	AttendLetter	repeat	1.034	1	1
359.917	8.5	Congruent	AttendLetter	repeat	0.991	2	1
373.116	8.5	Incongruent	AttendNumber	switch	1.091	1	1
385.114	8.5	Congruent	AttendNumber	repeat	0.518	1	1
397.112	8.5	Congruent	AttendLetter	switch	0.872	2	1
410.311	8.5	Incongruent	AttendNumber	switch	0.965	1	1
421.109	8.5	Congruent	AttendNumber	repeat	1.245	1	1
433.108	8.5	Congruent	AttendLetter	switch	1.09	2	1
446.306	8.5	Incongruent	AttendLetter	repeat	1.912	2	0
457.121	8.5	Incongruent	AttendLetter	repeat	1.002	2	1
467.92	8.5	Congruent	AttendNumber	switch	2.232	1	1
479.918	8.5	Congruent	AttendLetter	switch	1.147	1	1
523.113	8.5	Congruent	AttendLetter	n/a	0.976	2	1
533.911	8.5	Congruent	AttendNumber	switch	1.84	2	1
544.71	8.5	Congruent	AttendNumber	repeat	0.768	1	1
556.708	8.5	Incongruent	AttendLetter	switch	1.308	1	1
569.906	8.5	Congruent	AttendNumber	switch	1.393	2	1
580.722	8.5	Congruent	AttendLetter	switch	2.019	1	0
593.92	8.5	Congruent	AttendNumber	switch	0.765	1	1
607.118	8.5	Incongruent	AttendNumber	repeat	0.87	2	1
619.117	8.5	Incongruent	AttendLetter	switch	1.077	1	1
631.115	8.5	Incongruent	AttendLetter	repeat	2.937	1	0
641.914	8.5	Incongruent	AttendNumber	switch	0.982	1	1
653.912	8.5	Congruent	AttendNumber	repeat	1.006	2	1
665.91	8.5	Congruent	AttendNumber	repeat	1.313	1	1
679.109	8.5	Congruent	AttendLetter	switch	1.178	1	1
689.907	8.5	Incongruent	AttendLetter	repeat	2.54	2	1
700.706	8.5	Incongruent	AttendLetter	repeat	1.135	2	1
713.921	8.5	Congruent	AttendLetter	repeat	1.768	2	1
725.919	8.5	Congruent	AttendNumber	switch	1.401	2	1
