onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.707	2	Con	MC	1.1795	1
36.706	2	Con	MC	0.6055	1
41.506	2	Con	MC	0.793	1
47.505	2	Con	MC	0.641	1
51.104	2	Con	PC50	0.8045	1
54.704	2	Con	MC	0.621	1
59.503	2	Con	MC	0.6545	1
63.103	2	Con	MC	0.721	1
67.902	2	InCon	MC	0.921	1
73.901	2	InCon	MC	1.2425	1
77.501	2	Con	MC	0.9105	1
82.317	2	Con	PC50	0.773	1
88.316	2	InCon	PC50	1.1425	1
93.116	2	Con	PC50	0.892	1
96.715	2	InCon	MC	1.136	1
102.714	2	Con	MC	0.686	1
107.514	2	InCon	MC	0.888	1
111.113	2	InCon	PC50	0.9825	1
115.913	2	InCon	MC	0.7485	1
121.912	2	Con	PC50	0.828	1
127.911	2	InCon	MC	0.768	1
131.511	2	InCon	PC50	0.8625	1
136.31	2	InCon	PC50	0.796	1
139.909	2	Con	MC	1.053	1
145.909	2	Con	MC	0.8	1
149.508	2	Con	MC	1.1395	1
153.108	2	Con	PC50	0.952	1
159.107	2	Con	MC	0.701	1
165.106	2	Con	MC	0.9175	1
169.906	2	Con	MC	0.6375	1
174.705	2	Con	PC50	0.9715	1
178.304	2	Con	MC	0.8245	1
183.104	2	Con	MC	0.8245	1
187.903	2	InCon	PC50	1.1875	1
193.902	2	InCon	PC50	1.031	1
199.902	2	Con	MC	0.8415	1
233.514	2	InCon	PC50	1.0085	1
239.513	2	InCon	PC50	0.9345	1
245.512	2	Con	MC	0.621	1
250.312	2	InCon	PC50	1.075	1
255.111	2	InCon	PC50	0.8725	1
258.711	2	InCon	MC	1.036	1
263.51	2	Con	MC	1.616	1
267.109	2	Con	MC	0.866	1
270.709	2	Con	MC	0.6445	1
274.308	2	InCon	MC	1.8475	1
280.308	2	Con	PC50	0.678	1
285.107	2	Con	PC50	0.923	1
291.106	2	Con	MC	0.552	1
297.106	2	Con	MC	0.8345	1
300.705	2	InCon	MC	0.8545	1
306.704	2	Con	MC	0.6455	1
312.703	2	Con	PC50	0.7565	1
316.303	2	Con	MC	0.5885	1
321.102	2	InCon	MC	0.9955	1
325.902	2	Con	MC	1.279	0
331.901	2	Con	MC	0.7355	1
336.717	2	InCon	PC50	1.032	1
340.316	2	Con	PC50	0.8215	1
345.116	2	Con	MC	0.926	1
348.715	2	Con	PC50	0.6335	1
354.715	2	Con	MC	0.6915	1
359.514	2	Con	MC	1.0095	1
365.513	2	InCon	MC	0.977	1
369.113	2	Con	PC50	0.8775	1
373.912	2	Con	MC	0.8225	1
379.911	2	InCon	PC50	0.757	1
383.511	2	Con	MC	0.875	1
387.11	2	Con	MC	0.832	1
390.71	2	Con	MC	0.865	1
395.509	2	Con	MC	0.7965	1
401.508	2	InCon	MC	1.154	1
436.304	2	InCon	MC	0.9405	1
439.903	2	Con	MC	0.732	1
445.903	2	Con	MC	0.727	1
449.502	2	Con	MC	0.932	1
454.302	2	Con	MC	0.556	1
460.301	2	InCon	MC	0.962	1
465.117	2	Con	MC	1.4775	1
468.716	2	Con	PC50	0.8045	1
474.716	2	Con	MC	0.691	1
478.315	2	InCon	MC	0.965	1
483.114	2	InCon	MC	1.066	1
489.114	2	InCon	MC	0.6875	1
493.913	2	Con	MC	0.768	1
498.712	2	InCon	PC50	0.735	1
504.712	2	Con	MC	1.5825	1
509.511	2	Con	MC	0.7005	1
515.51	2	InCon	PC50	0.9605	1
520.31	2	Con	MC	0.8565	1
523.909	2	Con	MC	0.7725	1
529.908	2	Con	MC	0.6435	1
533.508	2	Con	PC50	1.0935	1
538.307	2	InCon	PC50	1.025	1
544.306	2	Con	MC	1.207	1
547.906	2	Con	MC	0.857	1
551.505	2	Con	MC	0.4965	1
557.505	2	Con	MC	0.855	1
562.304	2	Con	PC50	0.777	1
568.303	2	InCon	PC50	0.836	1
573.103	2	Con	MC	1.514	1
577.902	2	Con	MC	0.6195	1
581.501	2	Con	PC50	0.8915	1
586.301	2	InCon	PC50	1.018	1
592.317	2	Con	PC50	1.9805	1
595.916	2	Con	PC50	0.8805	1
599.516	2	InCon	PC50	0.806	1
605.515	2	InCon	MC	0.9655	1
