onset	duration	trial_type	response_time	response_button	response_accuracy
30.616	5.3	BY	0.562	1	1
40.215	5.3	AY	0.333	1	1
49.815	5.3	Ang	0.486	1	0
59.414	5.3	BX	0.867	2	0
66.614	5.3	BY	0.366	1	1
75.013	5.3	Bng	n/a	n/a	1
84.612	5.3	AX	0.367	2	1
91.812	5.3	BY	0.273	1	1
99.011	5.3	Bng	0.462	1	0
107.411	5.3	AX	0.341	2	1
114.61	5.3	AY	0.706	1	1
123.009	5.3	AX	0.457	2	1
131.409	5.3	BY	0.399	1	1
138.608	5.3	BY	0.393	1	1
145.808	5.3	Ang	n/a	n/a	1
154.207	5.3	AX	0.491	2	1
162.606	5.3	AX	0.37	2	1
171.006	5.3	BY	0.407	1	1
180.605	5.3	AX	0.431	2	1
190.204	5.3	BY	0.387	1	1
197.404	5.3	BY	0.384	1	1
207.017	5.3	BX	0.307	1	1
215.416	5.3	AX	0.403	2	1
225.015	5.3	AX	0.35	2	1
262.213	5.3	BX	1.006	1	1
271.812	5.3	AX	0.355	2	1
281.411	5.3	AX	0.35	2	1
291.01	5.3	AY	1.133	1	1
299.41	5.3	AX	0.58	2	1
306.609	5.3	AX	0.468	2	1
315.009	5.3	AX	0.381	2	1
322.208	5.3	Bng	n/a	n/a	1
331.807	5.3	BY	0.604	1	1
339.007	5.3	BY	0.422	1	1
347.406	5.3	BY	0.396	1	1
354.606	5.3	BY	0.353	1	1
363.005	5.3	BY	0.377	1	1
370.205	5.3	AX	0.4	2	1
379.804	5.3	AX	0.414	2	1
388.217	5.3	Bng	n/a	n/a	1
397.816	5.3	AX	0.39	2	1
405.015	5.3	Ang	n/a	n/a	1
414.615	5.3	BY	0.428	1	1
424.214	5.3	AY	0.478	1	1
432.613	5.3	BY	0.372	1	1
439.813	5.3	BX	0.74	1	1
448.212	5.3	Ang	n/a	n/a	1
455.412	5.3	BY	0.418	1	1
493.809	5.3	AX	0.562	2	1
503.408	5.3	AX	0.374	2	1
511.808	5.3	BY	0.422	1	1
520.207	5.3	BY	0.351	1	1
529.806	5.3	Ang	n/a	n/a	1
537.006	5.3	Bng	n/a	n/a	1
546.605	5.3	Ang	n/a	n/a	1
553.804	5.3	AX	0.298	2	1
562.204	5.3	BX	0.952	1	1
570.617	5.3	BY	0.369	1	1
580.216	5.3	Bng	n/a	n/a	1
587.415	5.3	AY	0.534	1	1
594.615	5.3	BY	0.325	1	1
603.014	5.3	BX	0.361	1	1
610.214	5.3	AY	0.53	1	1
617.413	5.3	AX	0.487	2	1
627.012	5.3	AX	0.42	2	1
635.412	5.3	AX	0.35	2	1
645.011	5.3	BY	0.307	1	1
654.61	5.3	AX	0.86	1	0
661.81	5.3	BY	0.342	1	1
669.009	5.3	BY	0.272	1	1
678.609	5.3	AX	0.492	2	1
687.008	5.3	BY	0.406	1	1
