onset	duration	trial_type	response_time	response_button	response_accuracy
30.612	5.3	BX	0.593	1	1
37.812	5.3	AX	0.386	2	1
45.011	5.3	AX	0.326	2	1
53.41	5.3	BX	0.833	1	1
63.01	5.3	AY	0.788	1	1
70.209	5.3	Bng	n/a	n/a	1
79.808	5.3	BY	0.368	1	1
88.221	5.3	Ang	n/a	n/a	1
95.421	5.3	AX	0.557	1	0
105.02	5.3	AX	0.628	1	0
113.419	5.3	AX	0.33	1	0
121.819	5.3	Bng	0.386	1	0
131.418	5.3	AX	0.495	1	0
139.817	5.3	BY	0.488	1	1
149.417	5.3	BY	0.417	1	1
156.616	5.3	BY	0.53	1	1
163.816	5.3	BY	0.374	1	1
173.415	5.3	BY	0.368	1	1
181.814	5.3	BY	0.415	1	1
190.214	5.3	Ang	n/a	n/a	1
199.813	5.3	AY	0.415	1	1
208.212	5.3	AX	0.398	2	1
215.412	5.3	AX	0.3	2	1
225.011	5.3	BY	0.441	1	1
262.222	5.3	AX	0.841	2	1
270.621	5.3	BY	0.349	1	1
277.821	5.3	BX	0.319	1	1
286.22	5.3	AY	0.318	1	1
293.42	5.3	BY	0.33	1	1
300.619	5.3	BY	0.376	1	1
310.218	5.3	AX	0.32	2	1
318.618	5.3	AY	0.528	1	1
327.017	5.3	BY	0.383	1	1
336.616	5.3	AX	0.404	2	1
346.216	5.3	AX	0.309	2	1
353.415	5.3	AX	0.354	2	1
363.014	5.3	Bng	n/a	n/a	1
372.614	5.3	Bng	n/a	n/a	1
381.013	5.3	BY	0.33	1	1
388.213	5.3	AX	0.534	2	1
395.412	5.3	Ang	n/a	n/a	1
402.611	5.3	BY	0.336	1	1
411.011	5.3	AX	0.35	2	1
419.41	5.3	Ang	n/a	n/a	1
429.01	5.3	BY	0.423	1	1
436.209	5.3	AX	0.352	2	1
445.822	5.3	BY	0.533	1	1
455.421	5.3	BX	0.51	1	1
493.818	5.3	BY	0.433	1	1
502.218	5.3	BY	0.398	1	1
510.617	5.3	Ang	n/a	n/a	1
520.216	5.3	BY	0.42	1	1
527.416	5.3	AY	0.624	1	1
537.015	5.3	BX	0.431	1	1
544.214	5.3	AX	0.318	2	1
551.414	5.3	BY	0.391	1	1
559.813	5.3	BY	0.32	1	1
567.013	5.3	AX	0.327	2	1
576.612	5.3	BY	0.355	1	1
585.011	5.3	BX	0.545	1	1
594.611	5.3	Bng	n/a	n/a	1
604.21	5.3	AY	0.514	1	1
613.809	5.3	Ang	n/a	n/a	1
621.009	5.3	AX	0.342	2	1
629.422	5.3	AX	0.328	2	1
636.621	5.3	AX	0.305	2	1
645.02	5.3	AX	0.304	2	1
654.62	5.3	AX	0.357	2	1
663.019	5.3	BY	0.448	1	1
670.219	5.3	BY	0.323	1	1
678.618	5.3	Bng	n/a	n/a	1
685.817	5.3	AX	0.379	2	1
