onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.109	8.5	Incongruent	AttendLetter	n/a	1.933	2	0
43.108	8.5	Congruent	AttendNumber	switch	0.807	1	1
56.308	8.5	Congruent	AttendNumber	repeat	0.674	2	1
67.107	8.5	Congruent	AttendLetter	switch	0.745	1	1
79.106	8.5	Incongruent	AttendLetter	repeat	0.895	2	1
89.905	8.5	Congruent	AttendNumber	switch	1.319	1	1
103.104	8.5	Incongruent	AttendNumber	repeat	1.149	2	1
115.103	8.5	Incongruent	AttendNumber	repeat	1.014	1	1
125.902	8.5	Congruent	AttendLetter	switch	0.964	2	1
139.101	8.5	Congruent	AttendLetter	repeat	0.765	1	1
152.3	8.5	Congruent	AttendLetter	repeat	0.94	1	1
164.3	8.5	Congruent	AttendLetter	repeat	0.796	2	1
177.512	8.5	Congruent	AttendNumber	switch	0.833	2	1
188.311	8.5	Incongruent	AttendLetter	switch	1.047	2	1
200.31	8.5	Incongruent	AttendNumber	switch	1.053	2	1
212.309	8.5	Congruent	AttendNumber	repeat	0.844	2	1
223.109	8.5	Congruent	AttendLetter	switch	0.845	2	1
233.908	8.5	Congruent	AttendNumber	switch	1.892	1	1
277.105	8.5	Congruent	AttendLetter	n/a	0.744	2	1
290.304	8.5	Incongruent	AttendNumber	switch	1.167	1	1
302.303	8.5	Congruent	AttendLetter	switch	1.35	1	1
313.102	8.5	Congruent	AttendLetter	repeat	0.989	2	1
325.101	8.5	Congruent	AttendNumber	switch	1.656	1	1
338.3	8.5	Incongruent	AttendLetter	switch	1.279	1	1
350.313	8.5	Incongruent	AttendLetter	repeat	2.974	1	0
361.112	8.5	Incongruent	AttendNumber	switch	1.177	2	1
374.311	8.5	Congruent	AttendLetter	switch	1.205	1	1
385.11	8.5	Congruent	AttendLetter	repeat	0.803	1	1
397.109	8.5	Congruent	AttendLetter	repeat	0.999	2	1
410.308	8.5	Congruent	AttendNumber	switch	1.118	2	1
421.107	8.5	Incongruent	AttendNumber	repeat	0.968	1	1
431.907	8.5	Congruent	AttendNumber	repeat	0.862	1	1
445.106	8.5	Congruent	AttendNumber	repeat	1.966	1	1
457.105	8.5	Incongruent	AttendNumber	repeat	0.903	1	1
469.104	8.5	Congruent	AttendNumber	repeat	0.981	1	1
479.903	8.5	Congruent	AttendLetter	switch	1.323	2	1
523.1	8.5	Incongruent	AttendNumber	n/a	0.903	2	1
535.112	8.5	Incongruent	AttendLetter	switch	2.103	2	1
545.912	8.5	Incongruent	AttendLetter	repeat	0.733	2	1
556.711	8.5	Congruent	AttendLetter	repeat	0.868	2	1
568.71	8.5	Incongruent	AttendNumber	switch	0.719	1	1
579.509	8.5	Congruent	AttendNumber	repeat	0.841	2	1
592.708	8.5	Congruent	AttendNumber	repeat	1.023	2	1
605.907	8.5	Congruent	AttendLetter	switch	0.941	1	1
617.906	8.5	Incongruent	AttendLetter	repeat	1.021	1	1
631.105	8.5	Incongruent	AttendLetter	repeat	0.925	1	1
643.104	8.5	Incongruent	AttendLetter	repeat	1.074	2	1
653.904	8.5	Congruent	AttendLetter	repeat	0.749	2	1
665.903	8.5	Congruent	AttendLetter	repeat	0.751	2	1
679.102	8.5	Congruent	AttendNumber	switch	1.192	2	1
691.101	8.5	Congruent	AttendNumber	repeat	0.597	1	1
701.9	8.5	Congruent	AttendNumber	repeat	0.895	1	1
712.713	8.5	Congruent	AttendNumber	repeat	1.294	1	1
725.912	8.5	Congruent	AttendNumber	repeat	1.141	2	1
