onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.723	2	InCon	PC50	1.2	1
36.723	2	Con	MC	0.98	1
41.522	2	Con	MC	0.804	1
46.322	2	InCon	MC	1.118	1
49.922	2	InCon	PC50	0.939	1
53.522	2	Con	PC50	1.0045	1
57.121	2	InCon	MC	0.9765	1
61.921	2	Con	PC50	n/a	1
67.921	2	Con	MC	1.162	1
73.92	2	Con	MC	1.062	1
77.52	2	Con	MC	1.0275	1
83.519	2	Con	MC	0.998	1
88.319	2	Con	MC	0.8445	1
93.119	2	Con	MC	0.9875	1
96.718	2	Con	MC	0.775	1
101.518	2	Con	PC50	0.82	1
107.518	2	InCon	PC50	1.019	1
111.117	2	Con	MC	0.9565	1
114.717	2	Con	MC	0.788	1
120.717	2	InCon	MC	0.955	1
126.716	2	Con	MC	0.9715	1
131.516	2	InCon	PC50	1.076	1
137.515	2	Con	MC	0.4625	1
141.115	2	Con	PC50	1.1395	1
145.915	2	Con	MC	n/a	1
150.714	2	Con	MC	0.9325	1
156.714	2	Con	MC	0.939	1
160.314	2	InCon	MC	0.9815	1
166.313	2	Con	PC50	0.786	1
171.113	2	InCon	MC	0.9455	1
177.113	2	Con	MC	0.91	1
180.712	2	Con	PC50	n/a	1
185.512	2	InCon	PC50	0.841	1
189.112	2	InCon	PC50	1.1365	1
193.925	2	Con	MC	0.9015	1
197.524	2	InCon	MC	1.026	1
233.522	2	Con	MC	n/a	1
237.121	2	Con	MC	0.735	1
243.121	2	Con	MC	0.9315	1
247.921	2	Con	MC	0.8025	1
253.92	2	Con	MC	n/a	1
257.52	2	InCon	MC	1.0055	1
262.32	2	Con	MC	n/a	1
265.919	2	Con	MC	0.857	1
270.719	2	InCon	PC50	0.974	1
276.719	2	InCon	PC50	0.909	1
282.718	2	InCon	MC	0.9125	1
286.318	2	Con	MC	0.92	1
291.118	2	InCon	MC	0.9395	1
295.917	2	InCon	MC	0.916	1
299.517	2	Con	MC	0.847	1
305.516	2	Con	PC50	0.7655	1
310.316	2	Con	MC	1.26	1
316.316	2	Con	PC50	0.68	1
319.915	2	InCon	PC50	0.82	1
325.915	2	Con	PC50	0.8365	1
330.715	2	Con	MC	0.4625	1
334.314	2	Con	MC	0.874	1
339.114	2	Con	MC	0.855	1
345.114	2	Con	PC50	1.1325	1
348.713	2	InCon	PC50	0.928	1
352.313	2	InCon	MC	0.9265	1
358.313	2	InCon	PC50	0.79	1
363.112	2	Con	MC	0.4545	1
366.712	2	Con	MC	0.796	1
372.712	2	Con	PC50	0.8065	1
376.311	2	InCon	MC	0.979	1
379.924	2	Con	MC	0.768	1
385.924	2	Con	MC	0.969	1
390.724	2	Con	PC50	0.8335	1
395.523	2	InCon	PC50	1.4075	1
400.323	2	Con	MC	0.842	1
436.32	2	Con	MC	0.849	1
442.32	2	InCon	MC	1.096	1
448.319	2	Con	MC	1.3275	1
451.919	2	InCon	PC50	n/a	1
456.719	2	InCon	PC50	n/a	1
460.318	2	Con	MC	0.773	1
466.318	2	Con	MC	1.2265	1
469.918	2	InCon	PC50	0.8475	1
474.717	2	Con	MC	0.7705	1
479.517	2	Con	MC	1.133	1
483.117	2	InCon	PC50	n/a	1
489.116	2	Con	MC	0.9495	1
493.916	2	Con	PC50	0.959	1
497.516	2	Con	MC	n/a	1
502.315	2	Con	PC50	n/a	1
508.315	2	InCon	MC	n/a	1
514.314	2	Con	MC	0.8795	1
517.914	2	Con	PC50	n/a	1
521.514	2	InCon	MC	0.977	1
527.514	2	Con	PC50	0.805	1
532.313	2	Con	PC50	1.4175	1
535.913	2	Con	MC	1.142	1
540.713	2	InCon	PC50	1.0775	1
546.712	2	InCon	MC	1.0175	1
551.512	2	Con	MC	1.3535	1
557.525	2	Con	MC	1.337	1
562.324	2	InCon	MC	1.073	1
568.324	2	Con	MC	1.392	1
571.924	2	Con	MC	1.339	1
575.523	2	InCon	MC	1.1845	1
579.123	2	Con	MC	0.8205	1
582.723	2	Con	MC	0.803	1
587.522	2	Con	PC50	0.4375	1
592.322	2	Con	MC	1.24	1
597.122	2	Con	MC	0.854	1
603.121	2	InCon	PC50	n/a	1
