onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.723	2	InCon	MC	1.109	1
35.523	2	Con	MC	1.2665	1
41.522	2	Con	MC	1.024	1
46.322	2	Con	MC	0.9485	1
52.321	2	InCon	PC50	1.0685	1
55.921	2	InCon	PC50	0.989	1
61.921	2	InCon	PC50	0.94	1
66.72	2	InCon	MC	0.9955	1
70.32	2	Con	PC50	0.4565	1
75.12	2	Con	MC	0.838	1
78.719	2	InCon	MC	0.46	1
82.319	2	Con	PC50	NA	1
88.319	2	Con	MC	0.839	1
93.118	2	Con	MC	0.8745	1
99.118	2	Con	MC	NA	1
102.718	2	Con	MC	0.899	1
108.717	2	Con	PC50	0.9525	1
112.317	2	Con	MC	0.985	1
115.917	2	Con	MC	0.775	1
121.916	2	Con	PC50	0.806	1
126.716	2	Con	MC	0.4555	1
131.515	2	Con	PC50	1.0185	1
137.515	2	Con	MC	0.856	1
141.115	2	Con	PC50	NA	1
145.914	2	InCon	MC	1.49	1
149.514	2	Con	MC	0.9535	1
154.314	2	InCon	MC	0.4585	1
159.127	2	Con	MC	0.846	1
165.126	2	Con	MC	0.8195	1
168.726	2	InCon	PC50	0.965	1
173.526	2	InCon	MC	0.712	1
179.525	2	Con	MC	0.998	1
184.325	2	Con	MC	0.4625	1
187.925	2	InCon	PC50	1.042	1
191.524	2	Con	MC	1.33	1
197.524	2	InCon	PC50	0.9615	1
233.521	2	InCon	PC50	0.457	1
238.321	2	Con	PC50	0.442	0
241.921	2	Con	MC	NA	1
246.72	2	Con	MC	1.227	1
250.32	2	Con	MC	0.9515	1
256.32	2	InCon	MC	0.925	1
262.319	2	Con	PC50	0.715	1
265.919	2	InCon	PC50	0.754	1
269.519	2	Con	MC	0.892	1
274.318	2	Con	MC	0.703	1
279.118	2	InCon	MC	1.0475	1
285.118	2	Con	MC	0.87	1
291.117	2	InCon	MC	0.97	1
295.917	2	Con	MC	0.679	1
300.716	2	Con	MC	1.3095	1
306.716	2	Con	MC	1.4345	1
310.316	2	InCon	PC50	NA	1
316.315	2	InCon	PC50	0.797	1
321.115	2	Con	MC	0.944	1
324.715	2	Con	MC	NA	1
328.314	2	InCon	MC	0.8615	1
334.314	2	InCon	MC	0.858	1
340.314	2	Con	PC50	0.874	1
343.927	2	Con	MC	1.3465	1
348.726	2	Con	MC	0.8515	1
353.526	2	Con	MC	NA	1
357.126	2	Con	PC50	NA	1
360.725	2	InCon	PC50	NA	1
366.725	2	InCon	PC50	1.041	1
372.724	2	InCon	MC	1.078	1
377.524	2	Con	MC	1.3555	1
381.124	2	Con	MC	1.68	1
384.724	2	Con	PC50	0.686	1
390.723	2	Con	MC	0.6945	1
395.523	2	Con	PC50	0.9175	1
400.322	2	Con	MC	1.0455	1
436.32	2	InCon	MC	1.091	1
442.319	2	InCon	PC50	0.4395	1
445.919	2	InCon	PC50	1.033	1
451.919	2	Con	MC	0.921	1
455.518	2	Con	MC	0.9745	1
461.518	2	Con	PC50	NA	1
467.518	2	Con	MC	0.426	1
471.117	2	Con	MC	0.9235	1
475.917	2	Con	PC50	NA	1
480.717	2	InCon	PC50	0.935	1
484.316	2	InCon	MC	1.45	1
489.116	2	Con	MC	NA	1
493.916	2	Con	MC	NA	1
499.915	2	InCon	MC	1.105	1
503.515	2	Con	MC	0.761	1
507.115	2	Con	MC	NA	1
510.714	2	InCon	MC	NA	1
516.714	2	InCon	MC	NA	1
521.514	2	Con	PC50	1.222	1
525.127	2	Con	MC	NA	1
529.926	2	Con	MC	0.879	1
534.726	2	Con	MC	1.1885	1
540.725	2	InCon	PC50	1.105	1
546.725	2	Con	MC	1.2285	1
551.525	2	InCon	PC50	0.2775	1
555.124	2	InCon	MC	1.075	1
561.124	2	Con	MC	1.2665	1
565.924	2	Con	MC	0.892	1
570.723	2	Con	MC	1.362	1
575.523	2	InCon	PC50	1.147	1
580.323	2	Con	PC50	1.356	1
586.322	2	Con	MC	1.285	1
592.322	2	Con	PC50	1.2215	1
595.921	2	Con	MC	1.111	1
599.521	2	Con	PC50	1.031	1
605.521	2	Con	MC	1.516	1
