onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.716	2	Con	PC50	0.757	1
34.316	2	InCon	PC50	1.831	1
39.116	2	Con	MC	0.6475	1
45.115	2	InCon	PC50	0.925	1
48.715	2	Con	PC50	0.68	1
53.515	2	Con	MC	0.707	1
59.514	2	Con	MC	0.6425	1
63.114	2	InCon	MC	1.0295	1
67.914	2	Con	MC	0.7155	1
73.913	2	Con	MC	0.7115	1
78.713	2	Con	MC	0.7155	1
82.313	2	Con	PC50	0.641	1
88.312	2	Con	MC	0.626	1
91.912	2	InCon	MC	0.9625	1
97.912	2	InCon	PC50	NA	1
103.911	2	Con	MC	0.7015	1
107.511	2	InCon	MC	1.0185	1
112.311	2	InCon	MC	1.009	1
118.31	2	Con	MC	0.761	1
121.91	2	Con	MC	0.575	1
126.71	2	InCon	PC50	1.0025	1
131.509	2	Con	PC50	0.618	1
135.109	2	Con	MC	0.6425	1
141.109	2	Con	MC	0.701	1
145.909	2	Con	MC	0.6205	1
151.908	2	InCon	MC	0.7655	1
157.908	2	Con	MC	0.617	1
161.507	2	Con	MC	0.5725	1
166.307	2	Con	MC	0.68	1
169.907	2	Con	MC	0.5425	1
175.907	2	InCon	MC	0.769	1
181.906	2	Con	PC50	0.5905	1
185.506	2	Con	MC	0.6825	1
189.106	2	InCon	PC50	0.975	1
193.919	2	InCon	PC50	0.85	1
198.718	2	Con	PC50	0.7615	1
233.516	2	Con	PC50	0.5965	1
239.516	2	Con	PC50	0.67	1
243.115	2	InCon	PC50	0.905	1
247.915	2	InCon	PC50	0.995	1
251.515	2	Con	MC	0.718	1
256.314	2	Con	MC	0.775	1
261.114	2	InCon	MC	0.8675	1
267.114	2	Con	PC50	0.5855	1
270.713	2	Con	MC	0.6055	1
276.713	2	Con	MC	0.595	1
282.713	2	Con	MC	0.809	1
287.512	2	InCon	MC	0.842	1
291.112	2	Con	MC	0.632	1
294.712	2	Con	MC	0.5525	1
298.312	2	Con	MC	0.5455	1
303.111	2	InCon	MC	0.957	0
309.111	2	Con	MC	0.581	1
315.11	2	InCon	MC	0.772	1
319.91	2	Con	PC50	0.844	1
325.91	2	InCon	MC	0.8985	1
329.51	2	Con	MC	0.6765	1
335.509	2	Con	MC	0.6925	1
339.109	2	InCon	MC	0.875	1
343.909	2	InCon	PC50	0.7785	1
348.708	2	Con	PC50	0.563	1
352.308	2	InCon	PC50	0.7845	1
358.308	2	Con	MC	0.632	1
363.107	2	InCon	PC50	0.9345	1
367.907	2	Con	MC	1.113	1
371.507	2	Con	MC	0.717	1
375.106	2	InCon	PC50	0.91	1
381.106	2	Con	PC50	0.5605	1
387.106	2	Con	MC	0.7395	1
390.719	2	Con	MC	1.0725	1
395.518	2	Con	MC	0.575	1
400.318	2	Con	MC	0.747	1
436.316	2	InCon	MC	1.1165	1
439.915	2	Con	MC	0.8055	1
444.715	2	Con	MC	0.9655	1
448.315	2	Con	MC	0.5505	1
454.314	2	Con	MC	0.5465	1
459.114	2	InCon	MC	0.7715	1
465.114	2	Con	MC	1.0345	1
469.913	2	Con	PC50	0.5855	1
474.713	2	InCon	PC50	1.071	1
478.313	2	Con	MC	0.605	1
484.312	2	Con	MC	0.5635	1
490.312	2	Con	MC	0.6685	1
493.912	2	Con	MC	0.578	1
498.711	2	InCon	PC50	0.691	1
502.311	2	Con	PC50	0.7435	1
507.111	2	Con	PC50	0.604	1
510.711	2	InCon	MC	0.801	1
514.31	2	Con	MC	0.6535	1
519.11	2	Con	MC	0.515	1
523.91	2	InCon	PC50	0.814	1
527.51	2	InCon	MC	1.1535	1
533.509	2	Con	MC	0.734	1
539.509	2	Con	MC	0.635	1
545.508	2	Con	MC	1.113	1
551.508	2	InCon	MC	0.844	1
556.308	2	InCon	PC50	0.9035	1
559.907	2	InCon	MC	0.8595	1
563.507	2	InCon	PC50	1.1425	1
567.107	2	InCon	PC50	0.7205	1
573.106	2	Con	MC	0.7265	1
579.106	2	Con	MC	0.7745	1
583.906	2	Con	MC	0.5685	1
588.719	2	Con	PC50	0.7875	1
592.318	2	Con	MC	0.73	1
598.318	2	Con	PC50	0.6365	1
604.318	2	Con	PC50	0.6435	1
