onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.119	8.5	Congruent	AttendNumber	n/a	0.733	1	1
44.317	8.5	Congruent	AttendLetter	switch	0.902	1	1
55.116	8.5	Congruent	AttendNumber	switch	1.852	2	1
68.314	8.5	Congruent	AttendLetter	switch	1.548	2	1
79.129	8.5	Incongruent	AttendNumber	switch	2.272	2	0
91.127	8.5	Congruent	AttendNumber	repeat	1.236	1	1
103.125	8.5	Congruent	AttendNumber	repeat	1.162	2	1
116.323	8.5	Incongruent	AttendLetter	switch	1.077	2	0
127.121	8.5	Incongruent	AttendLetter	repeat	1.303	1	1
139.119	8.5	Congruent	AttendNumber	switch	1.06	1	1
149.917	8.5	Congruent	AttendNumber	repeat	1.026	1	1
160.716	8.5	Incongruent	AttendNumber	repeat	1.518	1	1
172.714	8.5	Incongruent	AttendNumber	repeat	1.02	1	1
184.728	8.5	Incongruent	AttendLetter	switch	1.334	1	0
197.926	8.5	Congruent	AttendLetter	repeat	1.416	2	1
208.725	8.5	Congruent	AttendLetter	repeat	1.12	2	1
220.723	8.5	Congruent	AttendLetter	repeat	1.033	2	1
233.921	8.5	Congruent	AttendLetter	repeat	1.157	1	1
277.114	8.5	Incongruent	AttendLetter	n/a	0.749	2	1
290.328	8.5	Congruent	AttendLetter	repeat	0.856	2	1
301.127	8.5	Congruent	AttendNumber	switch	1.275	1	1
313.125	8.5	Congruent	AttendNumber	repeat	0.962	1	1
325.123	8.5	Congruent	AttendLetter	switch	0.906	2	0
338.321	8.5	Congruent	AttendLetter	repeat	1.077	1	1
349.119	8.5	Congruent	AttendLetter	repeat	0.843	1	1
359.917	8.5	Congruent	AttendLetter	repeat	1.908	2	1
373.115	8.5	Congruent	AttendNumber	switch	1.135	2	1
385.13	8.5	Incongruent	AttendNumber	repeat	1.343	2	1
397.128	8.5	Congruent	AttendLetter	switch	0.877	2	1
407.926	8.5	Congruent	AttendNumber	switch	1.435	1	1
421.124	8.5	Congruent	AttendNumber	repeat	1.106	2	1
434.322	8.5	Incongruent	AttendNumber	repeat	1.2	2	1
445.121	8.5	Incongruent	AttendNumber	repeat	1.314	2	1
458.318	8.5	Incongruent	AttendLetter	switch	1.658	1	1
470.317	8.5	Incongruent	AttendLetter	repeat	1.02	2	1
482.315	8.5	Incongruent	AttendNumber	switch	1.524	2	1
523.125	8.5	Congruent	AttendNumber	n/a	1.268	2	1
535.123	8.5	Congruent	AttendLetter	switch	1.73	2	1
547.121	8.5	Congruent	AttendLetter	repeat	0.769	1	1
557.919	8.5	Congruent	AttendLetter	repeat	1.089	1	1
568.718	8.5	Incongruent	AttendLetter	repeat	1.121	1	1
581.916	8.5	Incongruent	AttendNumber	switch	1.037	2	1
595.13	8.5	Incongruent	AttendNumber	repeat	1.037	1	1
607.128	8.5	Incongruent	AttendNumber	repeat	1.206	2	1
617.926	8.5	Congruent	AttendLetter	switch	1.744	2	1
631.124	8.5	Congruent	AttendNumber	switch	0.92	1	1
643.122	8.5	Congruent	AttendNumber	repeat	1.243	2	1
653.921	8.5	Congruent	AttendNumber	repeat	1.38	2	1
665.919	8.5	Incongruent	AttendLetter	switch	1.617	2	1
676.717	8.5	Congruent	AttendNumber	switch	0.962	1	1
689.915	8.5	Congruent	AttendNumber	repeat	2.158	1	1
700.73	8.5	Congruent	AttendLetter	switch	1.012	2	1
713.928	8.5	Congruent	AttendLetter	repeat	0.937	1	1
725.926	8.5	Incongruent	AttendLetter	repeat	1.382	1	1
