onset	duration	trial_type	response_time	response_button	response_accuracy
30.618	5.3	Ang	n/a	n/a	1
40.217	5.3	AY	0.643	1	1
49.815	5.3	AX	0.353	2	1
58.214	5.3	AX	0.372	2	1
65.413	5.3	Bng	n/a	n/a	1
75.011	5.3	AX	0.354	2	1
83.41	5.3	Ang	n/a	n/a	1
91.809	5.3	Bng	n/a	n/a	1
100.224	5.3	AX	0.356	2	1
107.423	5.3	BY	0.456	1	1
117.021	5.3	BX	0.391	1	1
124.22	5.3	AY	0.792	1	1
131.419	5.3	AX	0.297	2	1
139.818	5.3	BY	0.425	1	1
149.416	5.3	BY	0.447	1	1
157.815	5.3	BY	0.402	1	1
167.413	5.3	BY	0.361	1	1
177.012	5.3	BX	0.334	1	1
184.211	5.3	AX	0.401	2	1
191.41	5.3	BY	0.392	1	1
199.825	5.3	AX	0.382	2	1
209.423	5.3	BY	0.412	1	1
216.622	5.3	AX	0.392	2	1
223.821	5.3	BY	0.433	1	1
262.215	5.3	BX	0.408	1	1
271.813	5.3	Ang	n/a	n/a	1
279.012	5.3	Ang	n/a	n/a	1
288.611	5.3	AX	0.475	2	1
297.01	5.3	AX	0.392	2	1
304.225	5.3	Bng	n/a	n/a	1
312.624	5.3	AX	0.244	2	1
322.222	5.3	AX	0.345	2	1
329.421	5.3	BY	0.521	1	1
336.62	5.3	BY	0.602	1	1
345.019	5.3	BY	0.359	1	1
353.417	5.3	AY	0.477	1	1
363.016	5.3	AX	0.35	2	1
372.614	5.3	AY	0.62	1	1
381.013	5.3	BY	0.351	1	1
389.412	5.3	Bng	n/a	n/a	1
396.61	5.3	BX	n/a	n/a	0
403.809	5.3	AX	0.226	2	1
413.424	5.3	AX	0.36	2	1
420.623	5.3	BY	1.103	1	1
429.022	5.3	BY	0.489	1	1
438.62	5.3	BY	0.437	1	1
447.019	5.3	AX	0.492	2	1
456.618	5.3	BY	0.351	1	1
493.812	5.3	AX	0.35	2	1
502.21	5.3	AY	0.499	2	0
511.809	5.3	Bng	n/a	n/a	1
519.024	5.3	Ang	n/a	n/a	1
527.423	5.3	AX	0.542	2	1
534.622	5.3	BY	0.682	1	1
543.021	5.3	AX	0.331	2	1
550.219	5.3	BY	0.402	1	1
559.818	5.3	BY	0.382	1	1
567.017	5.3	AX	0.439	2	1
575.415	5.3	Ang	n/a	n/a	1
585.014	5.3	BY	0.885	1	1
594.612	5.3	BY	0.467	1	1
604.211	5.3	AX	0.556	2	1
613.809	5.3	BX	0.75	1	1
622.225	5.3	BX	0.735	1	1
631.823	5.3	Bng	n/a	n/a	1
641.422	5.3	BY	0.524	1	1
648.62	5.3	BY	0.432	1	1
655.819	5.3	AY	0.49	1	1
664.218	5.3	BY	0.41	1	1
671.417	5.3	AX	0.334	2	1
679.815	5.3	AX	0.579	2	1
687.014	5.3	AX	0.317	2	1
