onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.126	8.5	Congruent	AttendNumber	n/a	1.301	1	1
43.124	8.5	Congruent	AttendLetter	switch	0.853	1	1
56.322	8.5	Congruent	AttendLetter	repeat	0.906	1	1
68.32	8.5	Congruent	AttendNumber	switch	0.595	1	1
81.518	8.5	Congruent	AttendNumber	repeat	0.78	2	1
92.317	8.5	Incongruent	AttendNumber	repeat	0.89	1	1
103.115	8.5	Congruent	AttendNumber	repeat	0.706	2	1
113.93	8.5	Incongruent	AttendNumber	repeat	0.804	1	1
125.928	8.5	Congruent	AttendLetter	switch	0.837	2	1
139.126	8.5	Incongruent	AttendNumber	switch	0.624	1	1
151.124	8.5	Congruent	AttendLetter	switch	1.32	2	1
163.122	8.5	Incongruent	AttendLetter	repeat	0.941	1	1
173.92	8.5	Congruent	AttendLetter	repeat	0.674	2	1
185.919	8.5	Congruent	AttendLetter	repeat	0.832	2	1
196.717	8.5	Incongruent	AttendLetter	repeat	0.7	2	1
209.915	8.5	Congruent	AttendNumber	switch	0.658	1	1
223.129	8.5	Incongruent	AttendLetter	switch	0.689	1	1
236.327	8.5	Congruent	AttendNumber	switch	0.779	1	1
277.121	8.5	Incongruent	AttendNumber	n/a	1.281	2	1
287.919	8.5	Incongruent	AttendLetter	switch	0.942	1	0
301.117	8.5	Incongruent	AttendLetter	repeat	0.849	2	1
313.115	8.5	Congruent	AttendNumber	switch	0.833	1	1
323.93	8.5	Congruent	AttendLetter	switch	0.978	2	1
335.928	8.5	Incongruent	AttendNumber	switch	1.526	2	1
349.126	8.5	Congruent	AttendLetter	switch	0.878	1	1
361.124	8.5	Congruent	AttendLetter	repeat	0.666	1	1
374.322	8.5	Incongruent	AttendLetter	repeat	0.939	1	1
385.12	8.5	Congruent	AttendNumber	switch	0.86	1	1
397.118	8.5	Incongruent	AttendNumber	repeat	1.227	2	1
407.917	8.5	Congruent	AttendNumber	repeat	1.385	2	1
419.915	8.5	Congruent	AttendNumber	repeat	1.324	1	1
430.73	8.5	Congruent	AttendLetter	switch	0.894	2	1
442.728	8.5	Congruent	AttendLetter	repeat	0.66	2	1
455.926	8.5	Congruent	AttendNumber	switch	1.187	2	1
469.124	8.5	Incongruent	AttendNumber	repeat	1.609	2	1
479.922	8.5	Congruent	AttendLetter	switch	0.934	1	1
523.115	8.5	Congruent	AttendLetter	n/a	0.778	1	1
535.13	8.5	Congruent	AttendNumber	switch	1.076	2	1
545.928	8.5	Congruent	AttendNumber	repeat	0.731	2	1
559.126	8.5	Incongruent	AttendLetter	switch	1.061	1	1
572.324	8.5	Congruent	AttendLetter	repeat	1.736	2	1
583.122	8.5	Incongruent	AttendLetter	repeat	1.258	2	1
595.12	8.5	Congruent	AttendNumber	switch	2.061	2	1
608.318	8.5	Incongruent	AttendNumber	repeat	1.434	2	1
619.117	8.5	Congruent	AttendLetter	switch	1.183	2	1
631.115	8.5	Congruent	AttendNumber	switch	1.064	1	1
641.93	8.5	Incongruent	AttendLetter	switch	1.513	1	1
655.127	8.5	Incongruent	AttendNumber	switch	1.168	1	1
668.325	8.5	Congruent	AttendLetter	switch	1.06	1	1
681.523	8.5	Congruent	AttendNumber	switch	0.91	1	1
693.521	8.5	Congruent	AttendLetter	switch	1.073	1	1
705.519	8.5	Congruent	AttendNumber	switch	1.111	1	1
716.318	8.5	Incongruent	AttendNumber	repeat	1.569	2	1
728.316	8.5	Congruent	AttendLetter	switch	0.891	2	1
