onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.109	8.5	Congruent	AttendNumber	n/a	0.776	2	1
44.309	8.5	Congruent	AttendLetter	switch	0.898	2	1
55.109	8.5	Congruent	AttendNumber	switch	0.436	1	1
68.308	8.5	Congruent	AttendLetter	switch	1.172	1	1
79.108	8.5	Incongruent	AttendLetter	repeat	0.537	2	1
92.308	8.5	Congruent	AttendNumber	switch	1.195	2	1
104.308	8.5	Congruent	AttendLetter	switch	1.719	1	1
115.108	8.5	Congruent	AttendNumber	switch	0.989	1	1
127.107	8.5	Congruent	AttendLetter	switch	0.928	2	1
139.107	8.5	Incongruent	AttendLetter	repeat	1.15	2	1
151.107	8.5	Congruent	AttendNumber	switch	0.819	2	1
164.307	8.5	Congruent	AttendNumber	repeat	1.185	1	1
175.107	8.5	Incongruent	AttendNumber	repeat	1.276	2	1
187.106	8.5	Incongruent	AttendNumber	repeat	1.343	2	1
197.906	8.5	Congruent	AttendLetter	switch	1.191	1	1
211.106	8.5	Incongruent	AttendNumber	switch	1.864	1	1
224.306	8.5	Incongruent	AttendLetter	switch	1.229	1	1
236.306	8.5	Congruent	AttendLetter	repeat	0.547	2	1
277.105	8.5	Congruent	AttendLetter	n/a	0.6	2	1
290.305	8.5	Congruent	AttendLetter	repeat	0.912	1	1
302.304	8.5	Incongruent	AttendNumber	switch	0.686	2	1
314.304	8.5	Incongruent	AttendNumber	repeat	0.824	1	1
325.104	8.5	Congruent	AttendNumber	repeat	0.839	2	1
338.304	8.5	Congruent	AttendNumber	repeat	1.258	1	1
350.304	8.5	Incongruent	AttendNumber	repeat	0.605	2	0
361.103	8.5	Incongruent	AttendNumber	repeat	0.627	1	1
371.903	8.5	Congruent	AttendLetter	switch	0.808	2	1
385.103	8.5	Congruent	AttendLetter	repeat	0.859	1	1
397.103	8.5	Congruent	AttendNumber	switch	0.824	1	1
410.303	8.5	Congruent	AttendLetter	switch	0.915	2	1
423.502	8.5	Congruent	AttendNumber	switch	1.154	1	1
434.302	8.5	Congruent	AttendLetter	switch	0.84	2	1
446.302	8.5	Incongruent	AttendLetter	repeat	0.897	2	1
459.502	8.5	Incongruent	AttendLetter	repeat	2.372	2	0
471.501	8.5	Congruent	AttendNumber	switch	1.198	1	1
482.301	8.5	Congruent	AttendLetter	switch	1.816	1	1
523.101	8.5	Congruent	AttendNumber	n/a	1.178	1	1
536.314	8.5	Incongruent	AttendLetter	switch	0.981	2	0
549.513	8.5	Incongruent	AttendLetter	repeat	1.632	1	1
560.313	8.5	Congruent	AttendLetter	repeat	0.768	2	1
571.113	8.5	Congruent	AttendNumber	switch	1.255	1	1
581.913	8.5	Congruent	AttendNumber	repeat	0.836	2	1
593.913	8.5	Incongruent	AttendNumber	repeat	0.832	1	1
605.912	8.5	Congruent	AttendLetter	switch	1.199	2	1
617.912	8.5	Incongruent	AttendLetter	repeat	0.842	2	1
631.112	8.5	Congruent	AttendLetter	repeat	0.719	2	1
643.112	8.5	Incongruent	AttendNumber	switch	1.031	1	0
656.312	8.5	Incongruent	AttendLetter	switch	1.302	2	1
668.311	8.5	Congruent	AttendNumber	switch	1.015	2	1
679.111	8.5	Congruent	AttendNumber	repeat	2.658	2	1
689.911	8.5	Incongruent	AttendLetter	switch	1.676	2	1
703.111	8.5	Congruent	AttendNumber	switch	1.223	1	1
713.911	8.5	Congruent	AttendNumber	repeat	0.661	2	1
725.91	8.5	Congruent	AttendLetter	switch	0.637	2	0
