onset	duration	trial_type	response_time	response_button	response_accuracy
30.628	5.3	AX	0.349	2	1
39.018	5.3	AX	0.363	2	1
46.223	5.3	BY	0.417	1	1
53.429	5.3	AY	0.642	1	1
63.019	5.3	AX	0.712	1	0
72.627	5.3	BY	0.381	1	1
81.016	5.3	AX	0.324	1	0
89.422	5.3	BX	0.4	1	1
99.03	5.3	BY	0.483	1	1
106.218	5.3	BY	0.495	1	1
115.826	5.3	BX	0.663	2	0
123.014	5.3	AX	0.41	2	1
131.421	5.3	BY	0.358	1	1
138.626	5.3	Bng	0.35	1	0
148.217	5.3	BY	0.358	1	1
155.422	5.3	AY	0.739	1	1
163.828	5.3	AX	0.364	2	1
172.218	5.3	AX	0.407	2	1
180.624	5.3	Bng	n/a	n/a	1
190.215	5.3	AX	0.522	2	1
197.42	5.3	Ang	0.505	1	0
204.626	5.3	BY	0.384	1	1
214.216	5.3	Ang	n/a	n/a	1
223.823	5.3	BY	0.408	1	1
262.219	5.3	AX	0.379	2	1
269.424	5.3	AX	0.488	2	1
277.814	5.3	BY	0.595	1	1
285.019	5.3	AX	0.603	2	1
294.626	5.3	Ang	n/a	n/a	1
304.217	5.3	BY	0.419	1	1
311.422	5.3	AX	0.362	2	1
319.829	5.3	BY	0.42	1	1
329.419	5.3	BY	0.395	1	1
337.825	5.3	AY	0.529	1	1
347.416	5.3	BY	0.522	1	1
355.822	5.3	AX	0.803	2	1
363.028	5.3	Ang	n/a	n/a	1
370.216	5.3	Bng	n/a	n/a	1
378.623	5.3	AX	0.477	2	1
388.23	5.3	BY	0.428	1	1
397.82	5.3	Bng	n/a	n/a	1
406.227	5.3	BY	0.524	1	1
414.616	5.3	AX	0.501	2	1
424.223	5.3	AY	0.66	1	1
431.429	5.3	BY	0.402	1	1
441.019	5.3	BX	0.375	1	1
448.225	5.3	BX	0.426	1	1
456.614	5.3	AX	0.384	2	1
493.826	5.3	BY	0.542	1	1
502.215	5.3	BY	0.399	1	1
511.822	5.3	Bng	n/a	n/a	1
520.229	5.3	Ang	0.623	1	0
527.417	5.3	AY	0.733	1	1
534.623	5.3	BX	0.943	1	1
541.828	5.3	AY	0.59	1	1
550.218	5.3	Bng	n/a	n/a	1
559.825	5.3	BY	0.497	1	1
567.014	5.3	AX	0.607	2	1
576.621	5.3	AX	0.397	2	1
585.027	5.3	BX	0.855	1	1
594.618	5.3	AX	0.369	2	1
604.225	5.3	AX	0.535	2	1
612.615	5.3	Ang	n/a	n/a	1
619.82	5.3	AX	0.733	1	0
629.427	5.3	AX	0.455	2	1
636.616	5.3	AX	0.46	2	1
643.821	5.3	BY	0.471	1	1
652.228	5.3	AX	0.402	2	1
659.416	5.3	BY	0.405	1	1
669.024	5.3	BY	0.5	1	1
677.43	5.3	BY	0.49	1	1
685.819	5.3	BY	0.445	1	1
