onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.715	2	Con	MC	0.665	1
34.318	2	Con	MC	0.626	1
40.323	2	InCon	PC50	1.2835	0
43.925	2	InCon	PC50	1.1405	0
47.511	2	InCon	PC50	1.234	1
52.315	2	Con	MC	0.8185	1
57.118	2	Con	MC	0.733	1
61.922	2	Con	MC	1.111	1
67.91	2	InCon	PC50	1.2875	1
73.914	2	Con	PC50	0.772	1
79.919	2	Con	MC	0.748	1
83.522	2	Con	MC	0.8295	1
88.325	2	Con	MC	0.853	1
93.112	2	Con	MC	0.9105	1
99.117	2	Con	PC50	0.774	1
102.719	2	Con	MC	0.642	1
106.322	2	Con	PC50	0.781	1
111.126	2	Con	MC	0.724	1
115.913	2	Con	MC	0.8605	1
120.716	2	Con	PC50	0.737	1
126.721	2	InCon	MC	0.9675	1
130.323	2	InCon	MC	0.857	1
136.311	2	Con	MC	0.7775	1
142.316	2	Con	MC	0.8315	1
145.918	2	InCon	PC50	0.9255	1
151.923	2	Con	MC	0.7535	1
156.71	2	InCon	MC	0.846	1
162.714	2	Con	PC50	1.399	1
166.317	2	Con	MC	0.653	1
172.321	2	Con	MC	1.1025	1
175.924	2	InCon	MC	1.236	1
180.711	2	Con	MC	0.8665	1
184.314	2	Con	PC50	1.244	1
190.318	2	InCon	MC	0.979	1
195.122	2	InCon	PC50	0.866	1
199.926	2	InCon	MC	0.8165	1
233.517	2	Con	MC	0.8145	1
237.12	2	Con	MC	0.8175	1
243.125	2	Con	MC	0.759	1
246.711	2	InCon	PC50	1.179	1
252.715	2	InCon	MC	0.989	1
256.318	2	InCon	PC50	0.982	1
262.322	2	Con	PC50	0.8365	1
267.126	2	Con	PC50	0.9865	1
273.114	2	InCon	MC	0.798	1
277.917	2	Con	MC	0.8865	1
281.52	2	Con	MC	0.799	1
286.324	2	Con	MC	0.9155	1
291.111	2	Con	PC50	0.859	1
294.713	2	Con	PC50	0.777	1
299.517	2	Con	MC	0.913	1
305.521	2	Con	MC	0.721	1
310.325	2	Con	MC	0.8005	1
313.911	2	InCon	MC	1.108	1
318.715	2	InCon	MC	1.669	1
324.719	2	Con	MC	0.855	1
329.523	2	Con	MC	0.9305	1
335.51	2	InCon	PC50	1.4235	1
339.113	2	InCon	PC50	0.897	1
345.118	2	InCon	PC50	0.8935	1
348.72	2	InCon	PC50	0.889	1
352.323	2	InCon	MC	0.8695	1
357.11	2	Con	PC50	0.9745	1
363.114	2	Con	MC	0.859	1
367.918	2	InCon	MC	0.8885	1
371.521	2	Con	MC	0.973	1
375.123	2	Con	MC	0.789	1
378.709	2	Con	MC	0.7715	1
384.714	2	Con	MC	0.7255	1
389.518	2	Con	MC	0.854	1
395.522	2	Con	PC50	0.769	1
400.326	2	Con	MC	0.6855	1
436.319	2	Con	MC	0.8355	1
439.922	2	Con	PC50	0.8555	1
445.91	2	InCon	PC50	1.1715	1
451.914	2	Con	MC	0.7435	1
455.517	2	Con	MC	0.696	1
461.522	2	Con	MC	0.7405	1
466.325	2	Con	MC	0.9175	1
472.313	2	Con	MC	0.834	1
477.117	2	Con	MC	0.7275	1
481.92	2	InCon	MC	0.9075	1
486.724	2	InCon	MC	0.837	1
490.31	2	Con	MC	0.7755	1
493.913	2	InCon	MC	0.886	1
497.515	2	Con	MC	0.6445	1
503.52	2	InCon	PC50	0.855	1
508.323	2	Con	MC	0.754	1
513.11	2	Con	MC	0.7365	1
516.713	2	Con	PC50	0.9515	1
522.717	2	InCon	MC	0.877	1
526.32	2	InCon	MC	1.109	1
532.325	2	InCon	MC	0.8775	1
538.312	2	Con	MC	0.833	1
543.116	2	Con	PC50	0.718	1
547.92	2	Con	MC	0.8155	1
551.522	2	Con	MC	0.7285	1
555.125	2	InCon	PC50	1.197	1
559.912	2	Con	MC	0.716	1
563.515	2	Con	PC50	0.676	1
567.117	2	Con	MC	0.871	1
570.72	2	Con	PC50	1.062	1
575.524	2	InCon	PC50	0.9885	1
580.311	2	Con	MC	0.7	1
586.315	2	InCon	PC50	1.1755	1
592.32	2	InCon	PC50	0.8335	1
598.324	2	Con	MC	0.7215	1
604.312	2	Con	PC50	0.7125	1
