onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.106	8.5	Incongruent	AttendNumber	n/a	0.783	2	1
43.105	8.5	Congruent	AttendNumber	repeat	0.977	1	1
53.905	8.5	Congruent	AttendNumber	repeat	0.752	2	1
64.704	8.5	Congruent	AttendLetter	switch	0.773	1	1
76.704	8.5	Incongruent	AttendLetter	repeat	0.84	1	1
87.503	8.5	Congruent	AttendLetter	repeat	0.824	2	1
100.703	8.5	Congruent	AttendNumber	switch	0.978	1	1
113.902	8.5	Incongruent	AttendNumber	repeat	1.109	1	1
127.102	8.5	Incongruent	AttendLetter	switch	1.69	2	1
139.114	8.5	Congruent	AttendNumber	switch	0.946	1	1
149.914	8.5	Congruent	AttendLetter	switch	1.353	2	1
161.913	8.5	Congruent	AttendNumber	switch	1.704	2	1
175.113	8.5	Incongruent	AttendNumber	repeat	0.9	2	1
188.312	8.5	Incongruent	AttendLetter	switch	1.404	2	1
200.312	8.5	Congruent	AttendLetter	repeat	1.503	1	1
213.511	8.5	Congruent	AttendLetter	repeat	1.011	2	1
224.311	8.5	Congruent	AttendLetter	repeat	1.003	1	1
236.31	8.5	Congruent	AttendNumber	switch	1.451	2	1
277.108	8.5	Congruent	AttendLetter	n/a	1.563	1	1
287.908	8.5	Congruent	AttendLetter	repeat	0.76	2	1
301.107	8.5	Congruent	AttendNumber	switch	0.861	1	1
313.107	8.5	Incongruent	AttendNumber	repeat	1.461	1	1
326.306	8.5	Congruent	AttendNumber	repeat	0.923	1	1
337.106	8.5	Congruent	AttendLetter	switch	0.993	1	1
349.105	8.5	Incongruent	AttendLetter	repeat	1.034	2	1
359.905	8.5	Congruent	AttendLetter	repeat	1.588	2	1
373.104	8.5	Congruent	AttendLetter	repeat	1.194	2	1
385.104	8.5	Incongruent	AttendNumber	switch	0.814	2	0
398.303	8.5	Congruent	AttendNumber	repeat	0.582	2	1
411.502	8.5	Incongruent	AttendNumber	repeat	1.491	1	1
422.302	8.5	Congruent	AttendLetter	switch	1.417	1	1
434.315	8.5	Incongruent	AttendNumber	switch	0.986	2	1
445.114	8.5	Incongruent	AttendLetter	switch	1.591	1	1
455.914	8.5	Congruent	AttendLetter	repeat	1.208	2	1
467.913	8.5	Congruent	AttendNumber	switch	1.876	1	1
481.113	8.5	Congruent	AttendNumber	repeat	0.724	1	1
523.111	8.5	Incongruent	AttendLetter	n/a	1.411	1	1
535.11	8.5	Congruent	AttendLetter	repeat	1.095	2	1
545.91	8.5	Congruent	AttendLetter	repeat	0.947	1	1
559.109	8.5	Incongruent	AttendNumber	switch	0.66	2	1
571.109	8.5	Incongruent	AttendLetter	switch	1.024	2	1
584.308	8.5	Congruent	AttendLetter	repeat	1.204	2	1
597.508	8.5	Congruent	AttendNumber	switch	0.966	1	1
608.307	8.5	Incongruent	AttendNumber	repeat	0.787	1	1
620.307	8.5	Congruent	AttendLetter	switch	1.345	2	1
631.106	8.5	Congruent	AttendNumber	switch	0.754	1	1
641.906	8.5	Congruent	AttendNumber	repeat	1.429	2	1
655.105	8.5	Incongruent	AttendLetter	switch	2.04	1	0
665.905	8.5	Congruent	AttendNumber	switch	0.965	2	1
679.104	8.5	Congruent	AttendNumber	repeat	1.03	2	1
689.904	8.5	Incongruent	AttendLetter	switch	1.954	2	1
701.903	8.5	Congruent	AttendNumber	switch	1.158	1	1
715.102	8.5	Congruent	AttendNumber	repeat	0.953	2	1
727.102	8.5	Incongruent	AttendLetter	switch	1.349	1	1
