onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.818	10.4	NP	5	1.476	2	1
45.218	10.4	NN	8	1.309	1	1
59.617	10.4	NN	8	1.252	1	1
72.817	10.4	NP	5	1.406	2	1
84.816	10.4	NN	6	0.976	1	1
96.816	10.4	NP	8	1.335	2	1
110.015	10.4	NN	5	1.018	1	1
124.414	10.4	NP	7	1.489	2	1
137.614	10.4	NN	5	1.031	1	1
152.013	10.4	NP	5	1.465	2	1
166.413	10.4	NP	7	1.097	2	1
179.612	10.4	NP	8	1.036	2	1
191.611	10.4	NN	7	1.064	1	1
203.611	10.4	NP	6	1.137	2	1
215.61	10.4	RN	5	1.081	2	0
258.822	10.4	NN	6	1.056	1	1
272.021	10.4	NN	8	0.927	1	1
286.421	10.4	NP	7	1.248	2	1
298.42	10.4	NP	7	n/a	n/a	0
310.42	10.4	NP	8	1.553	2	1
323.619	10.4	NP	5	0.865	2	1
335.618	10.4	NN	7	1.144	1	1
348.818	10.4	NP	5	1.077	2	1
363.217	10.4	NN	8	1.07	1	1
375.217	10.4	RN	5	1.704	1	1
388.416	10.4	NN	5	n/a	n/a	0
402.815	10.4	NP	8	1.44	1	0
416.015	10.4	NP	8	1.148	2	1
428.014	10.4	NP	5	1.053	2	1
442.414	10.4	NN	5	1.428	1	1
486.812	10.4	NN	5	1.394	1	1
501.211	10.4	NP	5	1.181	2	1
514.411	10.4	NP	8	1.566	1	0
527.61	10.4	RN	5	0.958	1	1
539.623	10.4	NN	8	1.114	2	0
554.022	10.4	NP	7	0.98	2	1
566.022	10.4	NP	8	0.901	2	1
579.221	10.4	NN	5	1.249	1	1
593.62	10.4	NP	6	1.34	2	1
608.02	10.4	RN	8	1.209	1	1
620.019	10.4	NP	5	0.97	2	1
633.219	10.4	NN	8	1.106	1	1
647.618	10.4	NP	5	1.117	2	1
660.818	10.4	NN	7	1.064	1	1
672.817	10.4	NN	7	0.977	1	1
