onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.811	10.4	NP	5	1.295	2	1
44.009	10.4	NP	5	1.084	2	1
57.207	10.4	NN	5	0.964	1	1
71.621	10.4	NN	6	1.13	1	1
83.619	10.4	NN	8	0.902	1	1
96.817	10.4	NP	5	0.948	2	1
111.215	10.4	RN	5	1.647	1	1
123.213	10.4	NN	5	0.808	1	1
137.611	10.4	NN	7	0.985	1	1
149.609	10.4	NP	6	1.258	2	1
164.023	10.4	NP	8	0.78	2	1
177.221	10.4	NN	8	0.852	1	1
191.619	10.4	NP	7	1.174	2	1
203.617	10.4	NP	8	0.995	2	1
216.815	10.4	RN	7	1.209	2	0
258.808	10.4	NP	5	0.996	2	1
272.023	10.4	NN	8	1.344	1	1
286.42	10.4	RN	8	1.036	1	1
300.818	10.4	NP	5	0.934	2	1
314.016	10.4	RN	5	1.462	2	0
327.214	10.4	NN	6	0.646	2	0
339.212	10.4	NP	8	1.112	2	1
353.61	10.4	NN	7	1.017	1	1
366.808	10.4	NN	5	0.83	1	1
380.022	10.4	NP	8	0.992	2	1
394.42	10.4	NP	5	0.874	2	1
408.818	10.4	NP	7	0.904	2	1
420.816	10.4	NN	5	0.928	1	1
432.814	10.4	NN	8	0.881	1	1
444.812	10.4	NP	7	1.228	2	1
486.822	10.4	NN	7	1.181	1	1
498.82	10.4	NP	7	1.231	1	0
513.218	10.4	NP	6	1.031	1	0
526.416	10.4	NN	7	1.075	1	1
538.414	10.4	NP	8	1.318	2	1
550.412	10.4	NP	8	0.942	2	1
563.61	10.4	NP	5	1.748	2	1
576.808	10.4	NN	8	0.979	1	1
591.222	10.4	NN	5	0.939	1	1
605.62	10.4	NP	5	1.059	2	1
618.818	10.4	RN	5	n/a	n/a	0
632.016	10.4	NP	5	1.171	2	1
646.413	10.4	NN	6	n/a	n/a	0
660.811	10.4	NP	8	1.225	2	1
672.809	10.4	NN	5	0.943	1	1
