onset	duration	trial_type	response_time	response_button	response_accuracy
30.62	5.3	Bng	n/a	n/a	1
37.819	5.3	AX	0.489	2	1
47.419	5.3	BY	0.771	1	1
54.618	5.3	AX	0.444	2	1
64.217	5.3	AY	0.505	1	1
72.617	5.3	BY	0.474	1	1
79.816	5.3	AX	0.382	2	1
89.416	5.3	AX	0.371	2	1
97.815	5.3	BX	0.574	1	1
106.214	5.3	BY	0.513	1	1
113.414	5.3	AY	0.652	1	1
123.013	5.3	BY	0.482	1	1
131.413	5.3	Ang	0.501	1	0
138.612	5.3	Ang	n/a	n/a	1
147.012	5.3	AX	0.515	2	1
156.611	5.3	AX	0.387	2	1
166.21	5.3	Bng	n/a	n/a	1
173.41	5.3	BY	0.738	1	1
180.609	5.3	BY	0.561	1	1
189.009	5.3	AX	0.409	2	1
197.421	5.3	BY	0.506	1	1
205.821	5.3	BY	0.438	1	1
213.02	5.3	AX	0.554	2	1
222.62	5.3	BX	0.491	2	0
262.217	5.3	BY	0.447	1	1
271.816	5.3	BY	0.49	1	1
280.216	5.3	AX	0.391	2	1
287.415	5.3	BX	0.411	1	1
294.615	5.3	BY	0.608	1	1
304.214	5.3	BY	0.425	1	1
311.413	5.3	Ang	n/a	n/a	1
319.813	5.3	AX	0.435	2	1
328.212	5.3	AX	0.489	2	1
335.412	5.3	BY	0.669	1	1
345.011	5.3	Bng	n/a	n/a	1
353.41	5.3	AY	0.489	1	1
363.01	5.3	AX	0.389	2	1
371.409	5.3	BX	0.855	1	1
378.609	5.3	Ang	n/a	n/a	1
387.021	5.3	AX	0.424	2	1
394.221	5.3	AX	0.512	2	1
403.82	5.3	AY	0.569	1	1
411.02	5.3	BY	0.559	1	1
420.619	5.3	AX	0.543	2	1
427.818	5.3	Bng	n/a	n/a	1
436.218	5.3	BY	0.589	1	1
445.817	5.3	AX	0.476	2	1
455.417	5.3	BY	0.569	1	1
493.814	5.3	AX	0.471	2	1
501.013	5.3	AX	0.401	2	1
510.613	5.3	AX	0.437	2	1
517.812	5.3	Bng	n/a	n/a	1
527.412	5.3	AX	0.876	1	0
534.611	5.3	BY	0.564	1	1
544.21	5.3	AX	0.568	2	1
551.41	5.3	BY	0.492	1	1
559.809	5.3	BY	0.668	1	1
568.209	5.3	BX	0.734	1	1
577.821	5.3	BY	0.475	1	1
586.221	5.3	BY	0.479	1	1
594.62	5.3	Ang	n/a	n/a	1
601.82	5.3	AY	0.547	1	1
609.019	5.3	BY	0.527	1	1
616.219	5.3	BY	0.38	1	1
625.818	5.3	Ang	n/a	n/a	1
635.417	5.3	BY	0.489	1	1
643.817	5.3	AY	0.487	1	1
652.216	5.3	BX	0.358	1	1
659.416	5.3	Bng	n/a	n/a	1
669.015	5.3	AX	0.463	2	1
678.614	5.3	AX	0.539	2	1
687.014	5.3	AX	0.47	2	1
