onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.808	10.4	NP	5	0.891	2	1
45.207	10.4	NN	8	0.935	1	1
58.406	10.4	NN	8	0.835	1	1
70.405	10.4	NP	5	0.649	2	1
82.404	10.4	NN	6	1.933	1	1
96.803	10.4	NP	8	0.99	2	1
110.002	10.4	NN	5	0.762	1	1
123.215	10.4	NP	7	1.233	1	0
135.214	10.4	NN	5	0.631	1	1
149.613	10.4	NP	5	0.924	2	1
164.012	10.4	NP	7	0.858	2	1
176.011	10.4	NP	8	0.953	2	1
190.41	10.4	NN	7	0.662	1	1
202.409	10.4	NP	6	0.95	2	1
215.608	10.4	RN	5	0.573	1	1
258.805	10.4	NN	6	0.657	1	1
270.804	10.4	NN	8	0.696	1	1
284.003	10.4	NP	7	0.942	1	0
298.402	10.4	NP	7	1.247	2	1
312.815	10.4	NP	8	1.052	2	1
324.814	10.4	NP	5	1.339	2	1
339.213	10.4	NN	7	0.973	1	1
351.212	10.4	NP	5	1	2	1
364.411	10.4	NN	8	0.818	1	1
377.61	10.4	RN	5	0.597	1	1
389.609	10.4	NN	5	0.822	1	1
401.608	10.4	NP	8	1.115	1	0
414.808	10.4	NP	8	1.032	2	1
429.207	10.4	NP	5	1.15	1	0
443.605	10.4	NN	5	0.695	1	1
486.802	10.4	NN	5	0.612	1	1
498.802	10.4	NP	5	0.945	2	1
510.814	10.4	NP	8	0.784	2	1
524.013	10.4	RN	5	0.873	1	1
537.212	10.4	NN	8	0.967	1	1
551.611	10.4	NP	7	0.877	2	1
563.61	10.4	NP	8	0.85	2	1
576.809	10.4	NN	5	1.328	1	1
591.208	10.4	NP	6	0.963	2	1
605.607	10.4	RN	8	0.992	2	0
620.006	10.4	NP	5	0.934	2	1
634.405	10.4	NN	8	0.965	1	1
646.405	10.4	NP	5	0.779	2	1
658.404	10.4	NN	7	0.717	1	1
671.603	10.4	NN	7	0.868	1	1
