onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.715	2	Con	MC	0.774	1
34.314	2	Con	MC	0.67	1
39.114	2	Con	MC	0.814	1
45.114	2	Con	PC50	0.755	1
49.913	2	Con	MC	0.727	1
54.713	2	InCon	MC	0.819	1
60.712	2	Con	MC	0.877	1
64.312	2	InCon	MC	0.871	1
69.112	2	Con	PC50	0.8715	1
75.111	2	Con	MC	0.7825	1
81.111	2	Con	PC50	0.8255	1
84.711	2	Con	MC	0.927	1
88.31	2	InCon	MC	0.898	1
94.31	2	InCon	PC50	0.8875	1
97.91	2	InCon	PC50	0.8035	1
103.909	2	Con	MC	1.066	1
107.509	2	InCon	MC	1.0995	1
113.509	2	Con	MC	0.987	1
118.308	2	InCon	MC	0.78	1
121.908	2	Con	MC	0.8645	1
125.508	2	InCon	PC50	0.7895	1
130.308	2	Con	PC50	0.7935	1
135.107	2	InCon	PC50	0.774	1
141.107	2	Con	PC50	0.8835	1
145.906	2	InCon	PC50	1.068	1
149.506	2	InCon	PC50	0.8705	1
154.306	2	Con	MC	0.8835	1
157.906	2	Con	MC	0.999	1
162.705	2	InCon	MC	1.0485	1
168.705	2	Con	MC	0.7535	1
173.504	2	Con	PC50	0.873	1
177.104	2	Con	MC	0.7885	1
183.104	2	Con	MC	0.8075	1
189.103	2	Con	MC	0.837	1
192.703	2	Con	MC	0.7835	1
197.503	2	Con	MC	0.7835	1
233.514	2	Con	MC	0.777	1
239.513	2	InCon	PC50	0.8105	1
244.313	2	InCon	PC50	0.796	1
249.113	2	Con	MC	0.818	1
253.912	2	Con	MC	0.8785	1
257.512	2	InCon	MC	0.8435	1
262.312	2	Con	MC	0.764	1
268.311	2	Con	MC	0.8185	1
271.911	2	Con	MC	0.846	1
275.511	2	InCon	MC	0.781	1
281.51	2	Con	MC	0.827	1
287.51	2	Con	MC	0.7775	1
291.11	2	Con	PC50	0.933	1
294.709	2	InCon	MC	0.87	1
298.309	2	InCon	PC50	0.7845	1
301.909	2	Con	MC	0.642	1
306.708	2	InCon	PC50	0.73	1
312.708	2	Con	PC50	0.69	1
317.508	2	InCon	MC	0.767	1
323.507	2	Con	PC50	1.0555	1
329.507	2	Con	MC	0.7135	1
334.307	2	Con	PC50	0.7525	1
337.906	2	Con	MC	0.7375	1
342.706	2	Con	MC	0.7965	1
348.706	2	Con	MC	0.7065	1
354.705	2	InCon	MC	0.7295	1
358.305	2	Con	MC	0.763	1
361.905	2	Con	PC50	0.7445	1
366.704	2	InCon	PC50	0.746	1
371.504	2	Con	MC	0.747	1
375.104	2	Con	MC	0.7445	1
379.903	2	InCon	PC50	0.742	1
385.903	2	Con	MC	0.863	1
391.902	2	Con	PC50	0.8865	1
397.902	2	Con	MC	0.792	1
401.502	2	InCon	MC	1.238	1
436.313	2	InCon	MC	0.8045	1
439.912	2	Con	MC	0.781	1
444.712	2	Con	PC50	0.798	1
449.512	2	InCon	PC50	0.762	1
455.511	2	Con	MC	0.7335	1
460.311	2	InCon	PC50	0.7905	1
463.911	2	Con	MC	0.76	1
468.71	2	Con	MC	0.772	1
474.71	2	Con	PC50	0.748	1
480.71	2	Con	PC50	0.749	1
484.309	2	Con	MC	0.7745	1
487.909	2	InCon	MC	0.776	1
493.909	2	Con	MC	0.8645	1
499.908	2	Con	MC	0.672	1
505.908	2	InCon	MC	0.6895	1
510.707	2	InCon	MC	0.715	1
516.707	2	Con	MC	0.755	1
520.307	2	InCon	PC50	0.7355	1
523.907	2	Con	MC	0.7575	1
528.706	2	Con	MC	0.643	1
532.306	2	Con	MC	0.6445	1
537.106	2	Con	MC	0.6865	1
543.105	2	Con	MC	0.662	1
547.905	2	InCon	MC	0.853	1
551.505	2	InCon	PC50	0.764	1
557.504	2	Con	MC	0.7365	1
561.104	2	Con	MC	0.8365	1
567.103	2	Con	MC	0.7295	1
573.103	2	Con	PC50	0.765	1
579.103	2	Con	PC50	0.87	1
583.902	2	Con	PC50	0.851	1
588.702	2	InCon	PC50	0.8035	1
592.302	2	Con	MC	0.8305	1
597.115	2	InCon	PC50	0.75	1
601.914	2	Con	MC	0.7625	1
605.514	2	InCon	MC	0.8755	1
