onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.113	8.5	Congruent	AttendNumber	n/a	1.34	1	1
44.312	8.5	Congruent	AttendNumber	repeat	1.249	1	1
56.312	8.5	Incongruent	AttendNumber	repeat	0.73	1	1
69.511	8.5	Congruent	AttendLetter	switch	0.796	2	1
80.311	8.5	Congruent	AttendLetter	repeat	1.277	2	1
93.51	8.5	Congruent	AttendNumber	switch	0.662	1	1
105.51	8.5	Congruent	AttendNumber	repeat	0.566	2	1
116.31	8.5	Congruent	AttendLetter	switch	0.95	1	1
127.122	8.5	Incongruent	AttendLetter	repeat	1.119	1	1
139.122	8.5	Congruent	AttendLetter	repeat	0.58	2	1
151.121	8.5	Incongruent	AttendNumber	switch	1.855	1	1
163.121	8.5	Incongruent	AttendLetter	switch	0.546	1	1
176.32	8.5	Congruent	AttendLetter	repeat	1.115	2	1
187.12	8.5	Congruent	AttendLetter	repeat	0.704	1	1
200.319	8.5	Incongruent	AttendNumber	switch	0.718	1	1
212.319	8.5	Congruent	AttendNumber	repeat	0.9	2	1
223.119	8.5	Congruent	AttendNumber	repeat	1.353	1	1
233.918	8.5	Incongruent	AttendLetter	switch	0.644	2	1
277.116	8.5	Congruent	AttendLetter	n/a	0.802	1	1
289.116	8.5	Incongruent	AttendLetter	repeat	0.845	2	1
301.115	8.5	Incongruent	AttendNumber	switch	1.194	2	1
311.915	8.5	Incongruent	AttendNumber	repeat	1.32	2	1
325.114	8.5	Congruent	AttendLetter	switch	1.032	2	1
335.914	8.5	Congruent	AttendNumber	switch	1.327	1	1
346.713	8.5	Incongruent	AttendNumber	repeat	2.12	2	1
359.913	8.5	Congruent	AttendLetter	switch	1.035	1	1
371.912	8.5	Congruent	AttendLetter	repeat	0.56	2	1
385.112	8.5	Congruent	AttendNumber	switch	0.917	2	1
397.111	8.5	Incongruent	AttendLetter	switch	2.066	2	1
407.911	8.5	Incongruent	AttendNumber	switch	0.878	2	1
421.11	8.5	Congruent	AttendNumber	repeat	0.837	2	1
433.11	8.5	Congruent	AttendNumber	repeat	1.093	1	1
446.323	8.5	Congruent	AttendLetter	switch	1.274	2	1
459.522	8.5	Congruent	AttendNumber	switch	0.846	1	1
471.522	8.5	Incongruent	AttendLetter	switch	0.669	1	1
482.321	8.5	Congruent	AttendLetter	repeat	1.759	1	1
523.12	8.5	Congruent	AttendLetter	n/a	0.595	2	1
535.119	8.5	Incongruent	AttendLetter	repeat	0.51	1	1
548.319	8.5	Incongruent	AttendNumber	switch	0.913	1	1
560.318	8.5	Incongruent	AttendNumber	repeat	0.799	2	1
573.518	8.5	Congruent	AttendLetter	switch	2.69	1	1
584.317	8.5	Congruent	AttendNumber	switch	1.869	2	1
597.517	8.5	Congruent	AttendLetter	switch	0.614	2	1
609.516	8.5	Incongruent	AttendLetter	repeat	1.058	1	1
620.316	8.5	Congruent	AttendNumber	switch	2.697	1	1
631.115	8.5	Congruent	AttendLetter	switch	0.722	1	1
644.315	8.5	Congruent	AttendNumber	switch	0.86	1	1
656.314	8.5	Incongruent	AttendLetter	switch	0.591	2	1
669.514	8.5	Congruent	AttendLetter	repeat	0.89	2	1
682.713	8.5	Congruent	AttendNumber	switch	1.032	2	1
694.713	8.5	Congruent	AttendNumber	repeat	0.911	2	1
706.712	8.5	Congruent	AttendNumber	repeat	1.224	1	1
717.512	8.5	Incongruent	AttendNumber	repeat	0.474	2	1
728.311	8.5	Congruent	AttendLetter	switch	1.162	1	1
