onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.117	8.5	Congruent	AttendLetter	n/a	0.871	2	1
44.315	8.5	Congruent	AttendLetter	repeat	0.487	1	1
56.313	8.5	Congruent	AttendNumber	switch	1.412	1	1
68.311	8.5	Congruent	AttendLetter	switch	0.954	1	1
81.509	8.5	Incongruent	AttendNumber	switch	2.059	2	0
92.307	8.5	Congruent	AttendNumber	repeat	0.92	2	1
103.105	8.5	Congruent	AttendLetter	switch	0.911	2	1
116.32	8.5	Congruent	AttendLetter	repeat	0.626	2	1
128.318	8.5	Incongruent	AttendLetter	repeat	0.773	1	1
139.116	8.5	Congruent	AttendNumber	switch	1.509	2	0
149.915	8.5	Congruent	AttendNumber	repeat	0.759	1	1
160.713	8.5	Congruent	AttendNumber	repeat	1.134	1	1
172.711	8.5	Incongruent	AttendLetter	switch	1.134	2	1
185.909	8.5	Incongruent	AttendLetter	repeat	0.727	1	1
196.707	8.5	Incongruent	AttendNumber	switch	0.771	1	1
208.705	8.5	Incongruent	AttendNumber	repeat	0.886	1	1
220.72	8.5	Congruent	AttendNumber	repeat	1.193	2	1
233.918	8.5	Congruent	AttendLetter	switch	0.49	2	1
277.111	8.5	Incongruent	AttendNumber	n/a	0.814	2	1
287.909	8.5	Incongruent	AttendNumber	repeat	0.628	2	1
299.907	8.5	Congruent	AttendNumber	repeat	1.122	1	1
311.905	8.5	Congruent	AttendNumber	repeat	0.998	1	1
325.12	8.5	Incongruent	AttendNumber	repeat	0.955	2	1
338.318	8.5	Incongruent	AttendNumber	repeat	0.895	2	1
350.316	8.5	Congruent	AttendNumber	repeat	1.339	1	1
361.114	8.5	Congruent	AttendLetter	switch	0.44	1	1
371.913	8.5	Incongruent	AttendLetter	repeat	0.631	2	1
385.11	8.5	Congruent	AttendNumber	switch	0.709	2	1
397.109	8.5	Congruent	AttendLetter	switch	0.532	2	1
409.107	8.5	Congruent	AttendLetter	repeat	0.596	2	1
419.905	8.5	Congruent	AttendLetter	repeat	0.843	2	1
431.92	8.5	Congruent	AttendLetter	repeat	1.013	1	1
442.718	8.5	Congruent	AttendLetter	repeat	0.828	1	1
455.916	8.5	Congruent	AttendNumber	switch	0.843	2	1
466.714	8.5	Incongruent	AttendLetter	switch	1.114	2	1
479.912	8.5	Incongruent	AttendLetter	repeat	0.734	1	1
523.105	8.5	Congruent	AttendNumber	n/a	0.748	2	1
535.12	8.5	Congruent	AttendLetter	switch	0.521	1	1
547.118	8.5	Congruent	AttendLetter	repeat	0.465	2	1
560.316	8.5	Incongruent	AttendLetter	repeat	0.831	1	1
573.514	8.5	Congruent	AttendNumber	switch	0.63	2	1
586.712	8.5	Incongruent	AttendNumber	repeat	1.537	2	1
597.51	8.5	Congruent	AttendLetter	switch	0.563	2	1
609.508	8.5	Incongruent	AttendNumber	switch	0.946	1	1
620.306	8.5	Congruent	AttendNumber	repeat	0.559	2	1
631.105	8.5	Congruent	AttendLetter	switch	0.463	1	1
643.119	8.5	Congruent	AttendNumber	switch	1.143	1	1
655.117	8.5	Congruent	AttendNumber	repeat	1.142	1	1
668.315	8.5	Congruent	AttendNumber	repeat	0.483	1	1
680.313	8.5	Incongruent	AttendLetter	switch	2.728	2	1
691.112	8.5	Congruent	AttendLetter	repeat	1.481	2	1
701.91	8.5	Congruent	AttendLetter	repeat	0.83	1	1
715.108	8.5	Incongruent	AttendNumber	switch	1.286	2	1
728.306	8.5	Incongruent	AttendLetter	switch	1.009	1	1
