onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.815	10.4	NP	5	1.209	2	1
45.213	10.4	NN	8	0.933	1	1
57.211	10.4	NN	8	1.007	1	1
70.409	10.4	NP	5	0.98	2	1
83.607	10.4	NN	6	0.905	1	1
95.605	10.4	NP	8	1.191	2	1
110.003	10.4	NN	5	1.149	1	1
122.018	10.4	NP	7	1.467	2	1
136.415	10.4	NN	5	1.112	1	1
149.613	10.4	NP	5	1.218	1	0
162.811	10.4	NP	7	1.806	2	1
176.009	10.4	NP	8	1.801	2	1
188.007	10.4	NN	7	1.119	1	1
200.005	10.4	NP	6	1.318	2	1
214.403	10.4	RN	5	1.221	1	1
258.812	10.4	NN	6	1.036	1	1
273.21	10.4	NN	8	0.884	1	1
285.208	10.4	NP	7	1.383	1	0
299.606	10.4	NP	7	1.036	2	1
314.004	10.4	NP	8	1.875	1	0
326.002	10.4	NP	5	0.946	2	1
339.216	10.4	NN	7	1.045	1	1
353.614	10.4	NP	5	1.007	2	1
366.812	10.4	NN	8	1.273	1	1
380.01	10.4	RN	5	1.917	2	0
392.008	10.4	NN	5	1.142	1	1
405.206	10.4	NP	8	1.153	2	1
417.204	10.4	NP	8	0.395	1	0
429.202	10.4	NP	5	0.933	2	1
443.616	10.4	NN	5	1.152	1	1
486.809	10.4	NN	5	1.171	1	1
501.207	10.4	NP	5	1.127	2	1
515.605	10.4	NP	8	0.943	2	1
527.603	10.4	RN	5	1.309	1	1
539.618	10.4	NN	8	n/a	n/a	0
551.616	10.4	NP	7	1.178	2	1
564.814	10.4	NP	8	0.784	2	1
578.012	10.4	NN	5	1.123	1	1
591.21	10.4	NP	6	1.561	1	0
605.607	10.4	RN	8	1.1	1	1
617.605	10.4	NP	5	0.996	2	1
629.603	10.4	NN	8	n/a	n/a	0
644.018	10.4	NP	5	n/a	n/a	0
658.415	10.4	NN	7	1.399	1	1
671.613	10.4	NN	7	1.279	2	0
