onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.812	10.4	NP	5	1.109	2	1
44.01	10.4	NP	5	1.028	2	1
58.408	10.4	NN	5	1.113	1	1
71.606	10.4	NN	6	1.197	1	1
86.003	10.4	NN	8	1.56	1	1
98.002	10.4	NP	5	1.146	2	1
111.216	10.4	RN	5	1.549	2	0
125.614	10.4	NN	5	1.684	1	1
138.812	10.4	NN	7	1.571	1	1
153.209	10.4	NP	6	1.174	1	0
165.207	10.4	NP	8	1.249	2	1
177.206	10.4	NN	8	1.127	1	1
189.204	10.4	NP	7	0.934	2	1
201.202	10.4	NP	8	1.678	2	1
215.616	10.4	RN	7	1.577	2	0
258.809	10.4	NP	5	1.14	2	1
272.007	10.4	NN	8	1.314	1	1
284.005	10.4	RN	8	1.149	2	0
297.203	10.4	NP	5	1.352	2	1
310.418	10.4	RN	5	0.986	1	1
322.416	10.4	NN	6	1.126	1	1
336.814	10.4	NP	8	n/a	n/a	0
351.211	10.4	NN	7	1.078	1	1
363.209	10.4	NN	5	0.966	1	1
377.607	10.4	NP	8	1.323	2	1
389.605	10.4	NP	5	1.585	2	1
404.003	10.4	NP	7	1.881	1	0
418.417	10.4	NN	5	1.184	2	0
431.615	10.4	NN	8	1.3	1	1
444.813	10.4	NP	7	1.08	2	1
486.806	10.4	NN	7	1.838	1	1
501.204	10.4	NP	7	1.278	2	1
514.402	10.4	NP	6	1.262	2	1
526.417	10.4	NN	7	1.238	1	1
539.615	10.4	NP	8	n/a	n/a	0
551.613	10.4	NP	8	1.125	2	1
566.01	10.4	NP	5	1.04	2	1
580.408	10.4	NN	8	1.536	1	1
592.406	10.4	NN	5	1.037	1	1
604.404	10.4	NP	5	1.272	2	1
618.802	10.4	RN	5	1.541	1	1
632.016	10.4	NP	5	1.57	2	1
644.015	10.4	NN	6	1.167	1	1
657.212	10.4	NP	8	0.987	2	1
671.61	10.4	NN	5	1.339	1	1
