onset	duration	trial_type	trial_lwpc	response_time	response_accuracy
30.704	2	Con	MC	0.7375	1
34.303	2	Con	PC50	0.7555	1
40.302	2	InCon	PC50	0.9525	1
43.902	2	Con	MC	0.7645	1
47.518	2	Con	MC	0.626	1
53.517	2	InCon	MC	0.912	1
57.116	2	Con	MC	0.7705	1
61.915	2	Con	PC50	0.8205	1
67.914	2	Con	MC	0.6535	1
72.714	2	InCon	PC50	0.7735	1
77.513	2	Con	PC50	0.6845	1
83.512	2	InCon	MC	0.938	1
88.311	2	Con	MC	0.7455	1
94.31	2	Con	MC	0.6105	1
99.109	2	InCon	MC	0.945	1
102.709	2	Con	MC	0.7735	1
107.508	2	Con	MC	0.7035	1
111.108	2	Con	MC	0.717	1
115.907	2	InCon	MC	0.7665	1
119.506	2	InCon	MC	0.744	1
125.505	2	Con	MC	0.7625	1
129.105	2	InCon	MC	0.806	1
135.104	2	InCon	PC50	0.792	1
141.103	2	Con	MC	0.7935	1
145.902	2	InCon	PC50	0.908	1
149.518	2	InCon	PC50	1.049	1
155.517	2	Con	PC50	0.8165	1
160.316	2	Con	MC	0.793	1
163.916	2	Con	MC	0.589	1
168.715	2	InCon	PC50	0.803	1
172.315	2	Con	PC50	0.785	1
178.314	2	Con	PC50	0.6505	1
183.113	2	Con	MC	0.6675	1
186.712	2	Con	MC	0.8395	1
192.711	2	Con	MC	0.6095	1
198.71	2	Con	MC	0.807	1
233.505	2	Con	MC	0.68	1
237.104	2	InCon	MC	0.918	1
240.704	2	Con	MC	0.6185	1
246.703	2	Con	MC	0.681	1
250.302	2	Con	MC	0.736	1
255.118	2	Con	MC	0.7475	1
259.917	2	InCon	PC50	0.788	1
265.916	2	InCon	PC50	0.6335	1
270.716	2	Con	MC	0.71	1
275.515	2	InCon	PC50	0.7125	1
279.114	2	Con	MC	0.6905	1
285.113	2	InCon	PC50	0.9585	1
291.112	2	Con	PC50	0.6705	1
294.712	2	Con	MC	0.6985	1
300.711	2	Con	PC50	0.5835	1
305.51	2	Con	MC	0.768	1
311.509	2	Con	PC50	0.642	1
316.308	2	InCon	MC	0.8495	1
321.107	2	InCon	MC	0.8475	1
325.907	2	InCon	MC	1.177	1
329.506	2	Con	MC	0.7395	1
335.505	2	InCon	MC	0.7625	1
339.105	2	Con	MC	0.854	1
342.704	2	Con	MC	0.7195	1
348.703	2	InCon	PC50	0.7935	1
353.502	2	Con	MC	0.614	1
357.102	2	Con	PC50	0.903	1
360.718	2	Con	MC	0.6295	1
365.517	2	Con	PC50	0.6425	1
370.316	2	Con	MC	0.649	1
376.315	2	Con	MC	0.6345	1
382.314	2	InCon	PC50	0.8505	1
388.313	2	InCon	MC	0.9325	1
394.312	2	Con	MC	0.7385	1
399.112	2	Con	PC50	0.815	1
402.711	2	Con	MC	0.799	1
436.306	2	InCon	PC50	0.797	1
439.905	2	Con	MC	0.801	1
445.904	2	Con	MC	0.8085	1
451.903	2	InCon	MC	0.9305	1
456.703	2	Con	PC50	0.7945	1
461.502	2	Con	MC	0.8395	1
467.517	2	Con	PC50	0.7735	1
471.117	2	Con	MC	0.726	1
477.116	2	Con	MC	0.7005	1
481.915	2	Con	MC	0.896	1
485.515	2	Con	MC	0.691	1
490.314	2	InCon	MC	0.9325	1
493.913	2	InCon	MC	0.79	1
499.912	2	Con	MC	0.7235	1
505.911	2	InCon	MC	0.947	1
510.711	2	InCon	PC50	1.006	1
515.51	2	Con	PC50	0.841	1
519.109	2	Con	PC50	0.764	1
525.108	2	Con	MC	0.9295	1
531.107	2	InCon	MC	0.98	1
535.907	2	Con	MC	0.8935	1
540.706	2	InCon	PC50	0.7675	1
544.305	2	Con	MC	0.7645	1
547.905	2	Con	PC50	0.8425	1
551.504	2	Con	PC50	0.778	1
557.503	2	InCon	MC	0.992	1
561.103	2	Con	MC	0.8405	1
564.702	2	InCon	PC50	0.946	1
569.518	2	Con	MC	0.7155	1
574.317	2	Con	MC	0.856	1
579.116	2	Con	MC	0.7915	1
582.716	2	InCon	PC50	0.854	1
586.315	2	Con	MC	0.8235	1
592.314	2	Con	MC	0.8595	1
598.313	2	InCon	PC50	0.822	1
604.312	2	Con	MC	0.768	1
