onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.112	8.5	Congruent	AttendNumber	n/a	2.842	2	1
43.127	8.5	Congruent	AttendNumber	repeat	1.406	1	1
53.925	8.5	Incongruent	AttendLetter	switch	1.086	1	1
64.724	8.5	Congruent	AttendLetter	repeat	0.855	2	1
77.921	8.5	Congruent	AttendNumber	switch	0.83	1	1
89.92	8.5	Congruent	AttendLetter	switch	1.353	1	1
103.117	8.5	Congruent	AttendLetter	repeat	0.998	2	1
113.916	8.5	Congruent	AttendNumber	switch	0.9	1	1
125.914	8.5	Congruent	AttendNumber	repeat	1.005	2	1
139.112	8.5	Congruent	AttendNumber	repeat	0.838	1	1
152.326	8.5	Incongruent	AttendLetter	switch	0.921	2	1
164.324	8.5	Congruent	AttendLetter	repeat	1.239	1	1
176.322	8.5	Congruent	AttendLetter	repeat	0.538	2	1
189.52	8.5	Incongruent	AttendNumber	switch	0.716	1	1
202.718	8.5	Congruent	AttendLetter	switch	0.869	2	1
214.716	8.5	Incongruent	AttendNumber	switch	0.67	1	1
225.515	8.5	Incongruent	AttendLetter	switch	1.067	1	1
236.313	8.5	Incongruent	AttendNumber	switch	0.965	1	1
277.123	8.5	Incongruent	AttendNumber	n/a	1.937	2	1
287.921	8.5	Congruent	AttendNumber	repeat	0.836	1	1
299.919	8.5	Congruent	AttendLetter	switch	0.862	2	1
313.117	8.5	Incongruent	AttendNumber	switch	1.598	2	1
325.115	8.5	Congruent	AttendLetter	switch	1.314	2	1
338.313	8.5	Incongruent	AttendNumber	switch	1.656	2	1
349.112	8.5	Incongruent	AttendNumber	repeat	1.123	2	1
362.326	8.5	Congruent	AttendNumber	repeat	1.362	2	1
374.324	8.5	Incongruent	AttendLetter	switch	1.11	2	1
385.123	8.5	Congruent	AttendLetter	repeat	0.705	1	1
397.121	8.5	Incongruent	AttendLetter	repeat	0.837	1	1
407.919	8.5	Congruent	AttendLetter	repeat	0.804	2	1
421.117	8.5	Congruent	AttendNumber	switch	0.688	1	1
433.115	8.5	Congruent	AttendNumber	repeat	0.723	1	1
445.113	8.5	Congruent	AttendNumber	repeat	1.236	2	1
458.311	8.5	Congruent	AttendLetter	switch	0.693	1	1
471.525	8.5	Incongruent	AttendLetter	repeat	1.337	2	1
482.324	8.5	Congruent	AttendLetter	repeat	0.792	1	1
523.117	8.5	Incongruent	AttendNumber	n/a	0.777	1	1
533.916	8.5	Congruent	AttendLetter	switch	0.757	2	1
545.914	8.5	Congruent	AttendNumber	switch	0.797	2	1
556.712	8.5	Congruent	AttendNumber	repeat	0.796	2	1
568.727	8.5	Congruent	AttendNumber	repeat	0.828	1	1
580.725	8.5	Congruent	AttendLetter	switch	1.679	1	1
593.923	8.5	Congruent	AttendLetter	repeat	0.88	2	1
607.121	8.5	Congruent	AttendLetter	repeat	0.569	1	1
617.919	8.5	Congruent	AttendLetter	repeat	0.649	1	1
631.117	8.5	Congruent	AttendNumber	switch	0.566	1	1
641.915	8.5	Incongruent	AttendNumber	repeat	1.036	2	1
652.713	8.5	Congruent	AttendNumber	repeat	0.679	1	1
664.711	8.5	Congruent	AttendNumber	repeat	0.991	2	1
677.926	8.5	Incongruent	AttendNumber	repeat	0.764	2	1
691.124	8.5	Incongruent	AttendLetter	switch	0.921	2	1
704.322	8.5	Congruent	AttendLetter	repeat	0.786	2	1
716.32	8.5	Incongruent	AttendLetter	repeat	1.1	1	1
728.318	8.5	Incongruent	AttendLetter	repeat	0.773	1	1
