onset	duration	trial_type	response_time	response_button	response_accuracy
30.605	5.3	AY	1.191	1	1
37.805	5.3	BY	0.425	1	1
46.205	5.3	Bng	n/a	n/a	1
53.405	5.3	AX	0.615	2	1
63.005	5.3	AX	0.864	2	1
71.405	5.3	AX	1.148	2	1
78.605	5.3	AX	1.043	2	1
85.804	5.3	Ang	n/a	n/a	1
95.404	5.3	Bng	n/a	n/a	1
103.804	5.3	BY	0.753	1	1
113.404	5.3	BY	0.931	1	1
121.804	5.3	BX	0.942	1	1
131.417	5.3	BY	0.868	1	1
139.817	5.3	AX	0.761	2	1
147.016	5.3	AY	1.453	1	1
154.216	5.3	BY	0.727	1	1
161.416	5.3	Ang	n/a	n/a	1
171.016	5.3	BY	0.777	1	1
179.416	5.3	AX	0.961	2	1
189.016	5.3	BY	0.833	1	1
198.615	5.3	AX	0.716	2	1
208.215	5.3	BY	0.839	1	1
215.415	5.3	BX	0.897	1	1
223.815	5.3	AX	0.745	2	1
262.214	5.3	Bng	n/a	n/a	1
270.614	5.3	BY	0.722	1	1
277.814	5.3	AX	0.81	2	1
287.414	5.3	AX	0.648	2	1
294.613	5.3	BY	0.646	1	1
304.213	5.3	AY	0.672	1	1
313.813	5.3	BY	0.701	1	1
322.213	5.3	AX	0.811	2	1
330.613	5.3	Ang	n/a	n/a	1
340.212	5.3	AX	0.718	2	1
348.612	5.3	BY	0.742	1	1
355.812	5.3	AY	0.919	1	1
363.012	5.3	AX	0.714	2	1
372.612	5.3	Bng	n/a	n/a	1
381.012	5.3	BX	0.995	1	1
388.212	5.3	BY	0.631	1	1
396.611	5.3	AX	0.491	2	1
403.811	5.3	AX	0.853	2	1
411.011	5.3	AX	0.779	2	1
420.611	5.3	Ang	n/a	n/a	1
430.211	5.3	BY	0.519	1	1
437.411	5.3	BY	0.738	1	1
447.01	5.3	BX	0.781	1	1
455.41	5.3	BY	0.837	1	1
493.809	5.3	AX	0.892	2	1
502.209	5.3	BX	0.833	1	1
511.809	5.3	BY	0.726	1	1
519.009	5.3	AX	0.861	2	1
528.609	5.3	BY	0.604	1	1
535.808	5.3	BY	0.454	1	1
545.408	5.3	AX	0.473	2	1
553.808	5.3	Ang	n/a	n/a	1
561.008	5.3	BY	0.562	1	1
569.408	5.3	AX	0.76	2	1
579.008	5.3	BY	0.388	1	1
586.207	5.3	AX	0.745	2	1
594.607	5.3	AX	0.616	2	1
601.807	5.3	BX	0.9	1	1
610.207	5.3	BY	0.712	1	1
619.807	5.3	BY	0.639	1	1
627.007	5.3	AX	0.747	2	1
634.206	5.3	BY	0.411	1	1
642.606	5.3	Bng	n/a	n/a	1
652.206	5.3	AY	0.753	1	1
661.806	5.3	AX	0.725	2	1
669.006	5.3	AY	0.727	1	1
677.406	5.3	Ang	n/a	n/a	1
685.805	5.3	Bng	n/a	n/a	1
