onset	duration	trial_type	response_time	response_button	response_accuracy
30.61	5.3	AX	0.671	2	1
37.81	5.3	Ang	n/a	n/a	1
46.21	5.3	BY	0.711	1	1
55.81	5.3	BY	0.629	1	1
63.023	5.3	Bng	n/a	n/a	1
72.623	5.3	BY	0.646	1	1
81.022	5.3	AX	0.532	2	1
88.222	5.3	AY	0.617	1	1
97.822	5.3	AX	0.781	2	1
105.022	5.3	BX	0.93	1	1
114.622	5.3	AX	0.776	2	1
123.022	5.3	Bng	n/a	n/a	1
131.421	5.3	BX	0.809	1	1
141.021	5.3	AX	0.491	2	1
150.621	5.3	BY	0.804	1	1
160.221	5.3	AX	0.437	2	1
169.821	5.3	AX	0.485	2	1
177.02	5.3	BY	0.726	1	1
185.42	5.3	AY	0.99	1	1
192.62	5.3	BY	0.544	1	1
201.02	5.3	Ang	n/a	n/a	1
208.22	5.3	BY	0.45	1	1
215.42	5.3	AX	0.708	2	1
223.82	5.3	BY	0.546	1	1
262.219	5.3	AX	0.805	2	1
271.819	5.3	AX	0.567	2	1
281.418	5.3	BY	0.788	1	1
291.018	5.3	BY	0.611	1	1
298.218	5.3	AX	0.452	2	1
306.618	5.3	BY	0.642	1	1
316.218	5.3	AX	0.681	2	1
323.417	5.3	AX	0.411	2	1
331.817	5.3	Ang	n/a	n/a	1
339.017	5.3	AY	0.717	1	1
347.417	5.3	BY	0.524	1	1
354.617	5.3	AX	0.476	2	1
363.017	5.3	Bng	n/a	n/a	1
371.416	5.3	BY	0.495	1	1
381.016	5.3	AX	0.705	2	1
388.216	5.3	BY	0.482	1	1
395.416	5.3	Bng	n/a	n/a	1
405.016	5.3	AX	0.63	2	1
414.616	5.3	AY	0.755	1	1
423.015	5.3	BX	1.086	1	1
431.415	5.3	BY	0.377	1	1
439.815	5.3	Ang	n/a	n/a	1
447.015	5.3	BY	0.724	1	1
456.615	5.3	BX	0.793	1	1
493.814	5.3	AX	0.456	2	1
502.214	5.3	BY	0.562	1	1
511.814	5.3	AX	0.422	2	1
519.013	5.3	BY	0.413	1	1
527.413	5.3	AY	0.619	2	0
537.013	5.3	BY	0.459	1	1
546.613	5.3	AX	0.488	2	1
555.013	5.3	BY	n/a	n/a	0
563.599	5.3	AY	0.55	1	1
571.812	5.3	Bng	n/a	n/a	1
579.012	5.3	BY	0.588	1	1
586.212	5.3	BY	0.455	1	1
594.612	5.3	AX	0.411	2	1
604.212	5.3	AX	0.645	2	1
611.412	5.3	BY	0.496	1	1
618.611	5.3	Bng	n/a	n/a	1
627.011	5.3	AX	0.672	2	1
634.211	5.3	BX	1.355	1	1
642.611	5.3	Ang	n/a	n/a	1
649.811	5.3	AX	0.585	2	1
659.411	5.3	BY	0.643	1	1
669.01	5.3	AX	0.663	2	1
678.61	5.3	Ang	n/a	n/a	1
687.01	5.3	BX	0.811	1	1
