onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.108	8.5	Congruent	AttendNumber	n/a	0.89	1	1
41.908	8.5	Congruent	AttendLetter	switch	0.828	1	1
55.108	8.5	Congruent	AttendLetter	repeat	0.735	2	1
67.108	8.5	Congruent	AttendNumber	switch	0.588	2	1
79.107	8.5	Congruent	AttendLetter	switch	0.677	2	1
89.907	8.5	Incongruent	AttendLetter	repeat	0.672	2	1
103.107	8.5	Incongruent	AttendNumber	switch	1.048	1	1
115.107	8.5	Incongruent	AttendNumber	repeat	0.801	2	1
128.306	8.5	Congruent	AttendLetter	switch	1.433	1	1
139.106	8.5	Congruent	AttendNumber	switch	1.542	1	1
152.306	8.5	Congruent	AttendNumber	repeat	0.729	1	1
165.506	8.5	Incongruent	AttendLetter	switch	1.767	1	1
178.719	8.5	Congruent	AttendNumber	switch	1.08	2	1
190.718	8.5	Congruent	AttendNumber	repeat	1.161	2	1
202.718	8.5	Incongruent	AttendNumber	repeat	0.99	2	1
214.718	8.5	Incongruent	AttendLetter	switch	1.488	2	1
225.518	8.5	Congruent	AttendLetter	repeat	0.646	1	1
236.317	8.5	Congruent	AttendLetter	repeat	0.885	2	1
277.117	8.5	Congruent	AttendLetter	n/a	1.055	2	1
289.116	8.5	Incongruent	AttendNumber	switch	0.631	1	1
302.316	8.5	Congruent	AttendNumber	repeat	0.585	2	1
314.316	8.5	Congruent	AttendNumber	repeat	0.513	1	1
325.116	8.5	Congruent	AttendLetter	switch	0.939	2	1
338.315	8.5	Congruent	AttendLetter	repeat	0.723	1	1
350.315	8.5	Incongruent	AttendLetter	repeat	0.827	1	1
361.115	8.5	Congruent	AttendNumber	switch	1.156	1	1
374.315	8.5	Congruent	AttendLetter	switch	0.852	1	1
385.114	8.5	Congruent	AttendNumber	switch	0.941	1	1
397.114	8.5	Congruent	AttendNumber	repeat	1.294	1	1
410.314	8.5	Congruent	AttendLetter	switch	0.738	2	1
423.514	8.5	Incongruent	AttendNumber	switch	1.438	1	1
434.313	8.5	Incongruent	AttendLetter	switch	1.028	2	1
446.313	8.5	Congruent	AttendLetter	repeat	0.716	1	1
457.113	8.5	Congruent	AttendLetter	repeat	0.823	2	1
470.313	8.5	Incongruent	AttendNumber	switch	0.9	1	1
481.112	8.5	Incongruent	AttendNumber	repeat	0.944	2	1
523.112	8.5	Congruent	AttendLetter	n/a	0.794	2	1
536.311	8.5	Congruent	AttendNumber	switch	0.764	1	1
547.111	8.5	Congruent	AttendLetter	switch	0.99	1	1
557.911	8.5	Congruent	AttendNumber	switch	1.237	2	1
569.911	8.5	Incongruent	AttendLetter	switch	1.149	1	1
581.91	8.5	Congruent	AttendNumber	switch	1.184	2	1
595.11	8.5	Congruent	AttendLetter	switch	0.556	2	1
605.91	8.5	Congruent	AttendLetter	repeat	0.61	2	1
617.91	8.5	Incongruent	AttendNumber	switch	0.653	1	1
631.109	8.5	Incongruent	AttendNumber	repeat	1.007	2	1
643.109	8.5	Incongruent	AttendLetter	switch	0.605	1	1
656.309	8.5	Congruent	AttendNumber	switch	1.273	1	1
669.509	8.5	Incongruent	AttendLetter	switch	0.979	2	1
681.508	8.5	Incongruent	AttendLetter	repeat	0.701	2	1
693.508	8.5	Incongruent	AttendLetter	repeat	1.23	2	1
704.308	8.5	Congruent	AttendNumber	switch	0.65	2	1
715.108	8.5	Congruent	AttendNumber	repeat	1.009	2	1
728.307	8.5	Congruent	AttendNumber	repeat	1.283	1	1
