onset	duration	trial_type	trial_length	response_time	response_button	response_accuracy
30.809	10.4	NP	5	1.119	2	1
45.209	10.4	NP	5	0.97	2	1
57.208	10.4	NN	5	0.928	1	1
69.208	10.4	NN	6	0.942	1	1
82.408	10.4	NN	8	0.79	1	1
96.808	10.4	NP	5	0.743	2	1
110.007	10.4	RN	5	1.846	2	0
124.407	10.4	NN	5	0.822	1	1
137.607	10.4	NN	7	1.4	1	1
149.607	10.4	NP	6	1.085	2	1
164.006	10.4	NP	8	1.125	2	1
176.006	10.4	NN	8	1.062	1	1
188.006	10.4	NP	7	1.03	2	1
201.206	10.4	NP	8	0.893	2	1
214.405	10.4	RN	7	0.945	1	1
258.804	10.4	NP	5	0.968	2	1
270.804	10.4	NN	8	0.723	1	1
285.204	10.4	RN	8	0.639	1	1
299.604	10.4	NP	5	0.734	2	1
314.003	10.4	RN	5	1.83	2	0
328.403	10.4	NN	6	0.823	1	1
342.803	10.4	NP	8	0.977	2	1
354.802	10.4	NN	7	0.975	1	1
366.802	10.4	NN	5	0.876	1	1
380.002	10.4	NP	8	1.125	2	1
393.202	10.4	NP	5	1.04	2	1
406.415	10.4	NP	7	0.929	2	1
419.614	10.4	NN	5	1.411	1	1
432.814	10.4	NN	8	1.123	1	1
444.814	10.4	NP	7	0.976	2	1
486.813	10.4	NN	7	0.857	1	1
501.213	10.4	NP	7	1.04	1	0
515.612	10.4	NP	6	1.386	2	1
527.612	10.4	NN	7	0.848	1	1
539.612	10.4	NP	8	1.015	2	1
554.012	10.4	NP	8	0.89	2	1
568.411	10.4	NP	5	0.872	2	1
581.611	10.4	NN	8	0.844	1	1
594.811	10.4	NN	5	0.837	1	1
606.811	10.4	NP	5	0.964	2	1
620.01	10.4	RN	5	1.778	1	1
632.01	10.4	NP	5	1.093	2	1
645.21	10.4	NN	6	0.743	1	1
658.41	10.4	NP	8	1.172	1	0
670.409	10.4	NN	5	0.907	1	1
