onset	duration	trial_type	response_time	response_button	response_accuracy
30.614	5.3	AX	0.481	2	1
40.214	5.3	AX	0.563	2	1
47.414	5.3	AX	0.62	2	1
54.614	5.3	BX	0.938	1	1
64.214	5.3	BY	0.546	1	1
72.613	5.3	AX	0.525	2	1
81.013	5.3	Bng	n/a	n/a	1
90.613	5.3	Ang	n/a	n/a	1
100.213	5.3	BY	1.11	1	1
108.612	5.3	Ang	n/a	n/a	1
115.812	5.3	AY	0.949	1	1
123.012	5.3	BX	0.753	1	1
131.412	5.3	AX	0.638	2	1
138.612	5.3	BY	0.788	1	1
147.011	5.3	AX	0.501	2	1
156.611	5.3	AX	0.495	2	1
165.011	5.3	BY	0.54	1	1
174.611	5.3	AY	0.653	1	1
181.81	5.3	BY	0.801	1	1
190.21	5.3	AX	0.398	2	1
199.81	5.3	BY	0.803	1	1
209.41	5.3	Bng	n/a	n/a	1
216.61	5.3	BY	0.452	1	1
225.009	5.3	BY	0.6	1	1
262.222	5.3	Ang	n/a	n/a	1
269.422	5.3	Bng	n/a	n/a	1
277.821	5.3	Ang	n/a	n/a	1
285.021	5.3	BY	0.848	1	1
294.621	5.3	BY	0.78	1	1
303.021	5.3	AX	0.523	2	1
310.22	5.3	AX	0.544	2	1
318.62	5.3	AX	0.421	2	1
325.82	5.3	BX	0.833	1	1
335.42	5.3	AY	0.646	1	1
345.02	5.3	AX	0.379	2	1
353.419	5.3	AX	0.465	2	1
363.019	5.3	BY	0.623	1	1
371.419	5.3	BY	0.592	1	1
378.619	5.3	AX	0.413	2	1
388.218	5.3	AX	0.468	2	1
397.818	5.3	BY	0.665	1	1
405.018	5.3	AY	0.571	1	1
413.418	5.3	BY	0.628	1	1
421.818	5.3	BX	0.711	1	1
429.017	5.3	Bng	n/a	n/a	1
436.217	5.3	BY	0.693	1	1
445.817	5.3	BY	0.554	1	1
455.417	5.3	AX	0.499	2	1
493.816	5.3	BY	0.684	1	1
501.015	5.3	AX	0.407	2	1
510.615	5.3	AX	0.483	2	1
519.015	5.3	AX	0.522	2	1
528.615	5.3	BY	0.676	1	1
537.015	5.3	BX	0.744	1	1
544.214	5.3	Bng	n/a	n/a	1
551.414	5.3	BY	0.689	1	1
561.014	5.3	AX	0.41	2	1
568.214	5.3	BY	0.572	1	1
577.813	5.3	AX	0.372	2	1
586.213	5.3	AX	0.434	2	1
594.613	5.3	BY	0.494	1	1
601.813	5.3	Bng	n/a	n/a	1
609.013	5.3	Ang	n/a	n/a	1
617.412	5.3	BX	1.094	1	1
627.012	5.3	AY	0.537	1	1
634.212	5.3	AX	0.386	2	1
643.812	5.3	BY	0.784	1	1
652.212	5.3	AX	0.815	2	1
661.811	5.3	BY	0.693	1	1
670.211	5.3	BY	0.462	1	1
678.611	5.3	AY	0.495	1	1
688.211	5.3	Ang	n/a	n/a	1
