onset	duration	trial_type	trial_cue	trial_switch	response_time	response_button	response_accuracy
31.111	8.5	Congruent	AttendNumber	n/a	1.799	2	1
41.91	8.5	Congruent	AttendNumber	repeat	0.888	1	1
53.91	8.5	Incongruent	AttendLetter	switch	0.831	1	1
67.11	8.5	Congruent	AttendLetter	repeat	0.779	2	1
77.909	8.5	Incongruent	AttendNumber	switch	0.991	1	1
91.109	8.5	Incongruent	AttendLetter	switch	0.904	2	1
103.109	8.5	Congruent	AttendLetter	repeat	0.951	2	1
113.908	8.5	Congruent	AttendLetter	repeat	1.049	2	1
127.108	8.5	Congruent	AttendLetter	repeat	0.811	1	1
139.108	8.5	Congruent	AttendNumber	switch	0.815	1	1
149.907	8.5	Congruent	AttendNumber	repeat	1.572	1	1
163.107	8.5	Incongruent	AttendNumber	repeat	0.806	1	1
176.307	8.5	Incongruent	AttendLetter	switch	0.774	1	1
187.12	8.5	Congruent	AttendLetter	repeat	1.01	1	1
199.12	8.5	Congruent	AttendNumber	switch	1.124	2	1
211.119	8.5	Incongruent	AttendNumber	repeat	1.033	1	1
223.119	8.5	Congruent	AttendNumber	repeat	1.107	1	1
233.919	8.5	Congruent	AttendLetter	switch	1.668	2	1
277.118	8.5	Congruent	AttendNumber	n/a	1.008	2	1
290.317	8.5	Incongruent	AttendNumber	repeat	1.382	2	1
301.117	8.5	Incongruent	AttendLetter	switch	1.007	2	1
313.117	8.5	Congruent	AttendLetter	repeat	1.248	1	1
323.916	8.5	Congruent	AttendLetter	repeat	1.049	2	1
337.116	8.5	Congruent	AttendLetter	repeat	0.834	1	1
349.116	8.5	Congruent	AttendNumber	switch	1.417	1	1
362.315	8.5	Congruent	AttendLetter	switch	1.434	1	1
373.115	8.5	Incongruent	AttendNumber	switch	1.634	2	1
385.115	8.5	Congruent	AttendLetter	switch	1.386	2	1
395.914	8.5	Congruent	AttendLetter	repeat	1.257	2	1
407.914	8.5	Incongruent	AttendNumber	switch	1.337	2	1
421.114	8.5	Incongruent	AttendLetter	switch	0.904	2	1
431.913	8.5	Incongruent	AttendNumber	switch	1.185	2	1
445.113	8.5	Congruent	AttendNumber	repeat	0.936	1	1
457.113	8.5	Congruent	AttendNumber	repeat	1.312	2	1
467.913	8.5	Congruent	AttendNumber	repeat	1.232	1	1
481.112	8.5	Incongruent	AttendLetter	switch	1.193	1	1
523.111	8.5	Congruent	AttendLetter	n/a	0.943	2	1
535.111	8.5	Incongruent	AttendLetter	repeat	1.05	1	1
547.11	8.5	Congruent	AttendNumber	switch	0.765	2	1
557.91	8.5	Incongruent	AttendNumber	repeat	0.927	1	1
568.71	8.5	Incongruent	AttendLetter	switch	1.439	2	1
581.91	8.5	Incongruent	AttendNumber	switch	1.165	2	1
592.709	8.5	Congruent	AttendLetter	switch	0.906	1	1
605.909	8.5	Congruent	AttendLetter	repeat	1.619	1	1
619.109	8.5	Congruent	AttendNumber	switch	1.504	1	1
631.108	8.5	Congruent	AttendNumber	repeat	0.598	1	1
644.308	8.5	Congruent	AttendNumber	repeat	1.138	2	1
655.108	8.5	Congruent	AttendLetter	switch	1.228	2	1
668.307	8.5	Congruent	AttendNumber	switch	1.231	1	1
679.107	8.5	Congruent	AttendLetter	switch	1.906	2	1
689.907	8.5	Congruent	AttendNumber	switch	0.91	2	1
703.12	8.5	Incongruent	AttendLetter	switch	1.125	1	1
715.119	8.5	Congruent	AttendLetter	repeat	0.824	1	1
727.119	8.5	Incongruent	AttendNumber	switch	0.936	2	1
